country,year,variant,gender,age5yearinterval,population
254,1950,estimates,female,"Region, subregion, country or area *",French Guiana
254,1950,estimates,male,"Region, subregion, country or area *",French Guiana
254,1950,estimates,female,0_4,1.801
254,1950,estimates,male,0_4,1.801
254,1950,estimates,female,5_9,1.159
254,1950,estimates,male,5_9,1.105
254,1950,estimates,female,10_14,1.046
254,1950,estimates,male,10_14,0.906
254,1950,estimates,female,15_19,1.039
254,1950,estimates,male,15_19,1.034
254,1950,estimates,female,20_24,1.006
254,1950,estimates,male,20_24,1.136
254,1950,estimates,female,25_29,1.056
254,1950,estimates,male,25_29,1.151
254,1950,estimates,female,30_34,0.947
254,1950,estimates,male,30_34,1.089
254,1950,estimates,female,35_39,0.841
254,1950,estimates,male,35_39,0.997
254,1950,estimates,female,40_44,0.722
254,1950,estimates,male,40_44,0.901
254,1950,estimates,female,45_49,0.567
254,1950,estimates,male,45_49,0.781
254,1950,estimates,female,50_54,0.554
254,1950,estimates,male,50_54,0.689
254,1950,estimates,female,55_59,0.42
254,1950,estimates,male,55_59,0.495
254,1950,estimates,female,60_64,0.41
254,1950,estimates,male,60_64,0.425
254,1950,estimates,female,65_69,0.308
254,1950,estimates,male,65_69,0.345
254,1950,estimates,female,70_74,0.183
254,1950,estimates,male,70_74,0.193
254,1950,estimates,female,75_79,0.121
254,1950,estimates,male,75_79,0.109
254,1950,estimates,female,80plus,0.087
254,1950,estimates,male,80plus,0.06
254,1955,estimates,female,"Region, subregion, country or area *",French Guiana
254,1955,estimates,male,"Region, subregion, country or area *",French Guiana
254,1955,estimates,female,0_4,2.179
254,1955,estimates,male,0_4,2.164
254,1955,estimates,female,5_9,1.771
254,1955,estimates,male,5_9,1.729
254,1955,estimates,female,10_14,1.162
254,1955,estimates,male,10_14,1.113
254,1955,estimates,female,15_19,1.022
254,1955,estimates,male,15_19,0.905
254,1955,estimates,female,20_24,0.975
254,1955,estimates,male,20_24,1.021
254,1955,estimates,female,25_29,1.0
254,1955,estimates,male,25_29,1.122
254,1955,estimates,female,30_34,1.1
254,1955,estimates,male,30_34,1.134
254,1955,estimates,female,35_39,0.948
254,1955,estimates,male,35_39,1.063
254,1955,estimates,female,40_44,0.807
254,1955,estimates,male,40_44,0.957
254,1955,estimates,female,45_49,0.682
254,1955,estimates,male,45_49,0.851
254,1955,estimates,female,50_54,0.53
254,1955,estimates,male,50_54,0.725
254,1955,estimates,female,55_59,0.51
254,1955,estimates,male,55_59,0.62
254,1955,estimates,female,60_64,0.375
254,1955,estimates,male,60_64,0.426
254,1955,estimates,female,65_69,0.353
254,1955,estimates,male,65_69,0.343
254,1955,estimates,female,70_74,0.245
254,1955,estimates,male,70_74,0.251
254,1955,estimates,female,75_79,0.126
254,1955,estimates,male,75_79,0.119
254,1955,estimates,female,80plus,0.094
254,1955,estimates,male,80plus,0.071
254,1960,estimates,female,"Region, subregion, country or area *",French Guiana
254,1960,estimates,male,"Region, subregion, country or area *",French Guiana
254,1960,estimates,female,0_4,2.289
254,1960,estimates,male,0_4,2.267
254,1960,estimates,female,5_9,2.153
254,1960,estimates,male,5_9,2.05
254,1960,estimates,female,10_14,1.666
254,1960,estimates,male,10_14,1.623
254,1960,estimates,female,15_19,1.104
254,1960,estimates,male,15_19,1.006
254,1960,estimates,female,20_24,1.084
254,1960,estimates,male,20_24,0.856
254,1960,estimates,female,25_29,1.104
254,1960,estimates,male,25_29,1.049
254,1960,estimates,female,30_34,0.929
254,1960,estimates,male,30_34,1.124
254,1960,estimates,female,35_39,0.925
254,1960,estimates,male,35_39,1.099
254,1960,estimates,female,40_44,0.986
254,1960,estimates,male,40_44,1.027
254,1960,estimates,female,45_49,0.857
254,1960,estimates,male,45_49,0.938
254,1960,estimates,female,50_54,0.661
254,1960,estimates,male,50_54,0.843
254,1960,estimates,female,55_59,0.528
254,1960,estimates,male,55_59,0.695
254,1960,estimates,female,60_64,0.503
254,1960,estimates,male,60_64,0.563
254,1960,estimates,female,65_69,0.377
254,1960,estimates,male,65_69,0.378
254,1960,estimates,female,70_74,0.351
254,1960,estimates,male,70_74,0.3
254,1960,estimates,female,75_79,0.229
254,1960,estimates,male,75_79,0.21
254,1960,estimates,female,80plus,0.144
254,1960,estimates,male,80plus,0.114
254,1965,estimates,female,"Region, subregion, country or area *",French Guiana
