country,year,variant,gender,age5yearinterval,population
729,1950,estimates,female,"Region, subregion, country or area *",Sudan
729,1950,estimates,male,"Region, subregion, country or area *",Sudan
729,1950,estimates,female,0_4,511.415
729,1950,estimates,male,0_4,518.824
729,1950,estimates,female,5_9,398.319
729,1950,estimates,male,5_9,401.683
729,1950,estimates,female,10_14,336.79
729,1950,estimates,male,10_14,339.345
729,1950,estimates,female,15_19,288.838
729,1950,estimates,male,15_19,290.52
729,1950,estimates,female,20_24,247.362
729,1950,estimates,male,20_24,247.55
729,1950,estimates,female,25_29,209.679
729,1950,estimates,male,25_29,211.469
729,1950,estimates,female,30_34,175.907
729,1950,estimates,male,30_34,177.871
729,1950,estimates,female,35_39,148.601
729,1950,estimates,male,35_39,150.501
729,1950,estimates,female,40_44,126.971
729,1950,estimates,male,40_44,124.956
729,1950,estimates,female,45_49,104.193
729,1950,estimates,male,45_49,101.299
729,1950,estimates,female,50_54,85.256
729,1950,estimates,male,50_54,83.052
729,1950,estimates,female,55_59,74.558
729,1950,estimates,male,55_59,69.336
729,1950,estimates,female,60_64,59.899
729,1950,estimates,male,60_64,57.067
729,1950,estimates,female,65_69,45.112
729,1950,estimates,male,65_69,41.841
729,1950,estimates,female,70_74,30.829
729,1950,estimates,male,70_74,27.307
729,1950,estimates,female,75_79,16.927
729,1950,estimates,male,75_79,14.723
729,1950,estimates,female,80plus,8.492
729,1950,estimates,male,80plus,7.297
729,1955,estimates,female,"Region, subregion, country or area *",Sudan
729,1955,estimates,male,"Region, subregion, country or area *",Sudan
729,1955,estimates,female,0_4,592.421
729,1955,estimates,male,0_4,602.359
729,1955,estimates,female,5_9,464.584
729,1955,estimates,male,5_9,469.806
729,1955,estimates,female,10_14,385.418
729,1955,estimates,male,10_14,388.773
729,1955,estimates,female,15_19,328.496
729,1955,estimates,male,15_19,330.925
729,1955,estimates,female,20_24,280.645
729,1955,estimates,male,20_24,280.764
729,1955,estimates,female,25_29,239.164
729,1955,estimates,male,25_29,237.412
729,1955,estimates,female,30_34,201.624
729,1955,estimates,male,30_34,202.402
729,1955,estimates,female,35_39,168.163
729,1955,estimates,male,35_39,169.529
729,1955,estimates,female,40_44,141.221
729,1955,estimates,male,40_44,142.258
729,1955,estimates,female,45_49,120.049
729,1955,estimates,male,45_49,116.747
729,1955,estimates,female,50_54,97.576
729,1955,estimates,male,50_54,93.11
729,1955,estimates,female,55_59,78.243
729,1955,estimates,male,55_59,74.479
729,1955,estimates,female,60_64,66.017
729,1955,estimates,male,60_64,59.784
729,1955,estimates,female,65_69,49.873
