variant,region,year,totaldeaths
estimates,954,1950,2.201
estimates,954,1951,2.208
estimates,954,1952,2.222
estimates,954,1953,2.235
estimates,954,1954,2.245
estimates,954,1955,2.254
estimates,954,1956,2.261
estimates,954,1957,2.266
estimates,954,1958,2.269
estimates,954,1959,2.271
estimates,954,1960,2.271
estimates,954,1961,2.268
estimates,954,1962,2.263
estimates,954,1963,2.258
estimates,954,1964,2.25
estimates,954,1965,2.241
estimates,954,1966,2.231
estimates,954,1967,2.22
estimates,954,1968,2.208
estimates,954,1969,2.2
estimates,954,1970,2.191
estimates,954,1971,2.186
estimates,954,1972,2.186
estimates,954,1973,2.189
estimates,954,1974,2.198
estimates,954,1975,2.21
estimates,954,1976,2.23
estimates,954,1977,2.254
estimates,954,1978,2.281
estimates,954,1979,2.312
estimates,954,1980,2.345
estimates,954,1981,2.379
estimates,954,1982,2.415
estimates,954,1983,2.449
estimates,954,1984,2.485
estimates,954,1985,2.521
estimates,954,1986,2.553
estimates,954,1987,2.588
estimates,954,1988,2.616
estimates,954,1989,2.643
estimates,954,1990,2.667
estimates,954,1991,2.685
estimates,954,1992,2.697
estimates,954,1993,2.705
estimates,954,1994,2.705
estimates,954,1995,2.702
estimates,954,1996,2.695
estimates,954,1997,2.69
estimates,954,1998,2.681
estimates,954,1999,2.677
estimates,954,2000,2.674
estimates,954,2001,2.673
estimates,954,2002,2.673
estimates,954,2003,2.677
estimates,954,2004,2.681
estimates,954,2005,2.687
estimates,954,2006,2.694
estimates,954,2007,2.703
estimates,954,2008,2.715
estimates,954,2009,2.73
estimates,954,2010,2.749
estimates,954,2011,2.772
estimates,954,2012,2.8
estimates,954,2013,2.832
estimates,954,2014,2.87
estimates,954,2015,2.912
medium_variant,954,2015,2.912
medium_variant,954,2016,2.961
medium_variant,954,2017,3.013
medium_variant,954,2018,3.068
medium_variant,954,2019,3.127
medium_variant,954,2020,3.192
medium_variant,954,2021,3.256
medium_variant,954,2022,3.325
medium_variant,954,2023,3.397
medium_variant,954,2024,3.471
medium_variant,954,2025,3.548
medium_variant,954,2026,3.626
medium_variant,954,2027,3.709
medium_variant,954,2028,3.79
medium_variant,954,2029,3.875
medium_variant,954,2030,3.961
medium_variant,954,2031,4.048
medium_variant,954,2032,4.136
medium_variant,954,2033,4.226
medium_variant,954,2034,4.312
medium_variant,954,2035,4.401
medium_variant,954,2036,4.488
medium_variant,954,2037,4.574
medium_variant,954,2038,4.661
medium_variant,954,2039,4.746
medium_variant,954,2040,4.83
medium_variant,954,2041,4.91
medium_variant,954,2042,4.989
medium_variant,954,2043,5.068
medium_variant,954,2044,5.141
medium_variant,954,2045,5.214
medium_variant,954,2046,5.282
medium_variant,954,2047,5.348
medium_variant,954,2048,5.412
medium_variant,954,2049,5.473
medium_variant,954,2050,5.53
medium_variant,954,2051,5.585
medium_variant,954,2052,5.636
medium_variant,954,2053,5.684
medium_variant,954,2054,5.729
medium_variant,954,2055,5.774
medium_variant,954,2056,5.814
medium_variant,954,2057,5.853
medium_variant,954,2058,5.889
medium_variant,954,2059,5.927
medium_variant,954,2060,5.964
medium_variant,954,2061,5.999
medium_variant,954,2062,6.034
medium_variant,954,2063,6.069
medium_variant,954,2064,6.104
medium_variant,954,2065,6.138
medium_variant,954,2066,6.176
medium_variant,954,2067,6.214
medium_variant,954,2068,6.256
medium_variant,954,2069,6.298
medium_variant,954,2070,6.344
medium_variant,954,2071,6.394
medium_variant,954,2072,6.445
medium_variant,954,2073,6.5
medium_variant,954,2074,6.559
medium_variant,954,2075,6.619
medium_variant,954,2076,6.681
medium_variant,954,2077,6.747
medium_variant,954,2078,6.813
medium_variant,954,2079,6.883
medium_variant,954,2080,6.952
medium_variant,954,2081,7.023
medium_variant,954,2082,7.095
medium_variant,954,2083,7.165
medium_variant,954,2084,7.236
medium_variant,954,2085,7.303
medium_variant,954,2086,7.367
medium_variant,954,2087,7.427
medium_variant,954,2088,7.482
medium_variant,954,2089,7.532
medium_variant,954,2090,7.575
medium_variant,954,2091,7.612
medium_variant,954,2092,7.646
medium_variant,954,2093,7.671
medium_variant,954,2094,7.69
medium_variant,954,2095,7.704
medium_variant,954,2096,7.713
medium_variant,954,2097,7.713
medium_variant,954,2098,7.71
medium_variant,954,2099,7.7
