variant,region,year,totaldeaths
estimates,5500,1950,272.603
estimates,5500,1951,276.246
estimates,5500,1952,283.443
estimates,5500,1953,290.458
estimates,5500,1954,297.295
estimates,5500,1955,303.94
estimates,5500,1956,310.355
estimates,5500,1957,316.495
estimates,5500,1958,322.27
estimates,5500,1959,327.517
estimates,5500,1960,332.057
estimates,5500,1961,335.733
estimates,5500,1962,338.417
estimates,5500,1963,340.103
estimates,5500,1964,340.925
estimates,5500,1965,341.139
estimates,5500,1966,341.072
estimates,5500,1967,341.095
estimates,5500,1968,341.523
estimates,5500,1969,342.548
estimates,5500,1970,344.296
estimates,5500,1971,346.777
estimates,5500,1972,349.796
estimates,5500,1973,353.17
estimates,5500,1974,356.809
estimates,5500,1975,360.624
estimates,5500,1976,364.54
estimates,5500,1977,368.485
estimates,5500,1978,372.387
estimates,5500,1979,376.167
estimates,5500,1980,379.659
estimates,5500,1981,382.695
estimates,5500,1982,385.303
estimates,5500,1983,387.617
estimates,5500,1984,389.829
estimates,5500,1985,392.364
estimates,5500,1986,395.725
estimates,5500,1987,400.217
estimates,5500,1988,405.936
estimates,5500,1989,412.793
estimates,5500,1990,420.581
estimates,5500,1991,428.966
estimates,5500,1992,437.361
estimates,5500,1993,445.182
estimates,5500,1994,451.997
estimates,5500,1995,457.222
estimates,5500,1996,460.363
estimates,5500,1997,461.451
estimates,5500,1998,460.731
estimates,5500,1999,458.5
estimates,5500,2000,455.414
estimates,5500,2001,452.297
estimates,5500,2002,449.85
estimates,5500,2003,448.529
estimates,5500,2004,448.46
estimates,5500,2005,449.29
estimates,5500,2006,450.326
estimates,5500,2007,450.846
estimates,5500,2008,450.458
estimates,5500,2009,449.252
estimates,5500,2010,447.703
estimates,5500,2011,446.555
estimates,5500,2012,446.57
estimates,5500,2013,448.275
estimates,5500,2014,451.788
estimates,5500,2015,456.949
medium_variant,5500,2015,456.949
medium_variant,5500,2016,463.324
medium_variant,5500,2017,470.256
medium_variant,5500,2018,477.235
medium_variant,5500,2019,484.08
medium_variant,5500,2020,490.739
medium_variant,5500,2021,497.323
medium_variant,5500,2022,504.139
medium_variant,5500,2023,511.453
medium_variant,5500,2024,519.36
medium_variant,5500,2025,527.948
medium_variant,5500,2026,537.259
medium_variant,5500,2027,547.245
medium_variant,5500,2028,557.854
medium_variant,5500,2029,569.058
medium_variant,5500,2030,580.844
medium_variant,5500,2031,593.207
medium_variant,5500,2032,606.082
medium_variant,5500,2033,619.378
medium_variant,5500,2034,632.996
medium_variant,5500,2035,646.859
medium_variant,5500,2036,660.903
medium_variant,5500,2037,675.063
medium_variant,5500,2038,689.254
medium_variant,5500,2039,703.368
medium_variant,5500,2040,717.31
medium_variant,5500,2041,731.012
medium_variant,5500,2042,744.454
medium_variant,5500,2043,757.614
medium_variant,5500,2044,770.456
medium_variant,5500,2045,782.946
medium_variant,5500,2046,795.075
medium_variant,5500,2047,806.879
medium_variant,5500,2048,818.407
medium_variant,5500,2049,829.685
medium_variant,5500,2050,840.741
medium_variant,5500,2051,851.597
medium_variant,5500,2052,862.287
medium_variant,5500,2053,872.853
medium_variant,5500,2054,883.343
medium_variant,5500,2055,893.813
medium_variant,5500,2056,904.322
medium_variant,5500,2057,914.874
medium_variant,5500,2058,925.469
medium_variant,5500,2059,936.087
medium_variant,5500,2060,946.708
medium_variant,5500,2061,957.302
medium_variant,5500,2062,967.801
medium_variant,5500,2063,978.136
medium_variant,5500,2064,988.245
medium_variant,5500,2065,998.104
medium_variant,5500,2066,1007.72
medium_variant,5500,2067,1017.074
medium_variant,5500,2068,1026.117
medium_variant,5500,2069,1034.763
medium_variant,5500,2070,1042.902
medium_variant,5500,2071,1050.416
medium_variant,5500,2072,1057.244
medium_variant,5500,2073,1063.336
medium_variant,5500,2074,1068.664
medium_variant,5500,2075,1073.197
medium_variant,5500,2076,1076.924
medium_variant,5500,2077,1079.936
medium_variant,5500,2078,1082.364
medium_variant,5500,2079,1084.316
medium_variant,5500,2080,1085.886
medium_variant,5500,2081,1087.141
medium_variant,5500,2082,1088.175
medium_variant,5500,2083,1089.126
medium_variant,5500,2084,1090.145
medium_variant,5500,2085,1091.379
medium_variant,5500,2086,1092.937
medium_variant,5500,2087,1094.87
medium_variant,5500,2088,1097.232
medium_variant,5500,2089,1100.099
medium_variant,5500,2090,1103.509
medium_variant,5500,2091,1107.467
medium_variant,5500,2092,1111.952
medium_variant,5500,2093,1116.942
medium_variant,5500,2094,1122.412
medium_variant,5500,2095,1128.345
medium_variant,5500,2096,1134.736
medium_variant,5500,2097,1141.576
medium_variant,5500,2098,1148.864
medium_variant,5500,2099,1156.599
