variant,region,year,totaldeaths
estimates,923,1950,2693.434
estimates,923,1951,2654.856
estimates,923,1952,2580.191
estimates,923,1953,2510.514
estimates,923,1954,2445.821
estimates,923,1955,2386.201
estimates,923,1956,2331.952
estimates,923,1957,2283.458
estimates,923,1958,2241.475
estimates,923,1959,2207.327
estimates,923,1960,2182.508
estimates,923,1961,2168.487
estimates,923,1962,2166.556
estimates,923,1963,2177.28
estimates,923,1964,2200.222
estimates,923,1965,2234.298
estimates,923,1966,2277.828
estimates,923,1967,2328.315
estimates,923,1968,2383.421
estimates,923,1969,2441.588
estimates,923,1970,2501.915
estimates,923,1971,2564.29
estimates,923,1972,2629.216
estimates,923,1973,2696.803
estimates,923,1974,2766.37
estimates,923,1975,2838.092
estimates,923,1976,2912.504
estimates,923,1977,2989.094
estimates,923,1978,3066.404
estimates,923,1979,3142.311
estimates,923,1980,3211.962
estimates,923,1981,3269.833
estimates,923,1982,3313.937
estimates,923,1983,3344.95
estimates,923,1984,3365.664
estimates,923,1985,3383.183
estimates,923,1986,3406.767
estimates,923,1987,3443.883
estimates,923,1988,3498.851
estimates,923,1989,3571.974
estimates,923,1990,3660.106
estimates,923,1991,3756.969
estimates,923,1992,3853.497
estimates,923,1993,3942.185
estimates,923,1994,4019.456
estimates,923,1995,4084.203
estimates,923,1996,4137.917
estimates,923,1997,4184.292
estimates,923,1998,4225.634
estimates,923,1999,4261.42
estimates,923,2000,4289.972
estimates,923,2001,4308.975
estimates,923,2002,4316.41
estimates,923,2003,4311.072
estimates,923,2004,4292.861
estimates,923,2005,4260.688
estimates,923,2006,4213.68
estimates,923,2007,4154.239
estimates,923,2008,4086.371
estimates,923,2009,4014.525
estimates,923,2010,3945.28
estimates,923,2011,3885.487
estimates,923,2012,3839.246
estimates,923,2013,3808.837
estimates,923,2014,3794.877
estimates,923,2015,3795.551
medium_variant,923,2015,3795.551
medium_variant,923,2016,3806.741
medium_variant,923,2017,3822.115
medium_variant,923,2018,3836.405
medium_variant,923,2019,3847.144
medium_variant,923,2020,3852.984
medium_variant,923,2021,3854.148
medium_variant,923,2022,3853.023
medium_variant,923,2023,3851.618
medium_variant,923,2024,3850.468
medium_variant,923,2025,3850.065
medium_variant,923,2026,3850.758
medium_variant,923,2027,3852.61
medium_variant,923,2028,3855.68
medium_variant,923,2029,3860.107
medium_variant,923,2030,3866.161
medium_variant,923,2031,3874.05
medium_variant,923,2032,3883.534
medium_variant,923,2033,3894.17
medium_variant,923,2034,3905.453
medium_variant,923,2035,3916.853
medium_variant,923,2036,3927.831
medium_variant,923,2037,3937.797
medium_variant,923,2038,3946.136
medium_variant,923,2039,3952.279
medium_variant,923,2040,3955.728
medium_variant,923,2041,3956.18
medium_variant,923,2042,3953.751
medium_variant,923,2043,3948.567
medium_variant,923,2044,3940.627
medium_variant,923,2045,3929.828
medium_variant,923,2046,3916.088
medium_variant,923,2047,3899.706
medium_variant,923,2048,3881.156
medium_variant,923,2049,3860.947
medium_variant,923,2050,3839.581
medium_variant,923,2051,3817.498
medium_variant,923,2052,3795.17
medium_variant,923,2053,3773.136
medium_variant,923,2054,3751.939
medium_variant,923,2055,3732.183
medium_variant,923,2056,3714.311
medium_variant,923,2057,3698.288
medium_variant,923,2058,3683.974
medium_variant,923,2059,3671.247
medium_variant,923,2060,3659.994
medium_variant,923,2061,3650.028
medium_variant,923,2062,3640.815
medium_variant,923,2063,3631.71
medium_variant,923,2064,3622.126
medium_variant,923,2065,3611.572
medium_variant,923,2066,3599.711
medium_variant,923,2067,3586.283
medium_variant,923,2068,3570.929
medium_variant,923,2069,3553.174
medium_variant,923,2070,3532.49
medium_variant,923,2071,3508.47
medium_variant,923,2072,3481.085
medium_variant,923,2073,3450.42
medium_variant,923,2074,3416.54
medium_variant,923,2075,3379.394
medium_variant,923,2076,3338.973
medium_variant,923,2077,3295.745
medium_variant,923,2078,3250.414
medium_variant,923,2079,3203.715
medium_variant,923,2080,3156.263
medium_variant,923,2081,3108.543
medium_variant,923,2082,3061.136
medium_variant,923,2083,3014.807
medium_variant,923,2084,2970.423
medium_variant,923,2085,2928.792
medium_variant,923,2086,2890.475
medium_variant,923,2087,2855.664
medium_variant,923,2088,2824.57
medium_variant,923,2089,2797.531
medium_variant,923,2090,2774.697
medium_variant,923,2091,2756.022
medium_variant,923,2092,2741.391
medium_variant,923,2093,2730.64
medium_variant,923,2094,2723.599
medium_variant,923,2095,2720.181
medium_variant,923,2096,2720.345
medium_variant,923,2097,2724.049
medium_variant,923,2098,2731.27
medium_variant,923,2099,2742.015
