global,variant,gender,freq,year,lifeexpectancyat60
900,estimates,female,5yearly,1950,15.1051268917115
900,estimates,male,5yearly,1950,13.0668084660817
900,estimates,female,5yearly,1955,15.5318168676874
900,estimates,male,5yearly,1955,13.2159021272573
900,estimates,female,5yearly,1960,16.1698575954419
900,estimates,male,5yearly,1960,13.6513541221541
900,estimates,female,5yearly,1965,17.3224579362775
900,estimates,male,5yearly,1965,14.6021483046316
900,estimates,female,5yearly,1970,17.8292518476434
900,estimates,male,5yearly,1970,14.9802780815453
900,estimates,female,5yearly,1975,18.4491205894949
900,estimates,male,5yearly,1975,15.4666672689762
900,estimates,female,5yearly,1980,18.8536885880228
900,estimates,male,5yearly,1980,15.813597595807
900,estimates,female,5yearly,1985,19.2250885063844
900,estimates,male,5yearly,1985,16.2162068461569
900,estimates,female,5yearly,1990,19.6251081938136
900,estimates,male,5yearly,1990,16.4968266354036
900,estimates,female,5yearly,1995,20.0235432932059
900,estimates,male,5yearly,1995,16.914707640649
900,estimates,female,5yearly,2000,20.4772011269036
900,estimates,male,5yearly,2000,17.5695292775112
900,estimates,female,5yearly,2005,21.0794709992837
900,estimates,male,5yearly,2005,18.2033212329292
900,estimates,female,5yearly,2010,21.6370157837837
900,estimates,male,5yearly,2010,18.7836603844872
900,medium_variant,female,5yearly,2015,22.0651863274441
900,medium_variant,male,5yearly,2015,19.2196106942149
900,medium_variant,female,5yearly,2020,22.4794757895008
900,medium_variant,male,5yearly,2020,19.6144202161822
900,medium_variant,female,5yearly,2025,22.8789464480186
900,medium_variant,male,5yearly,2025,20.0200721089259
900,medium_variant,female,5yearly,2030,23.273004732434
900,medium_variant,male,5yearly,2030,20.4158755630026
900,medium_variant,female,5yearly,2035,23.593768635325
900,medium_variant,male,5yearly,2035,20.7613032792695
900,medium_variant,female,5yearly,2040,23.9202995422225
900,medium_variant,male,5yearly,2040,21.1131804686145
900,medium_variant,female,5yearly,2045,24.2551620899972
900,medium_variant,male,5yearly,2045,21.4748568095813
900,medium_variant,female,5yearly,2050,24.584895048188
900,medium_variant,male,5yearly,2050,21.8494109403324
900,medium_variant,female,5yearly,2055,24.8992211746121
900,medium_variant,male,5yearly,2055,22.1903356669425
900,medium_variant,female,5yearly,2060,25.195751863162
900,medium_variant,male,5yearly,2060,22.5102768103324
900,medium_variant,female,5yearly,2065,25.4931466582125
900,medium_variant,male,5yearly,2065,22.8069739416929
900,medium_variant,female,5yearly,2070,25.8000401484298
900,medium_variant,male,5yearly,2070,23.1128123518812
900,medium_variant,female,5yearly,2075,26.1155530132971
900,medium_variant,male,5yearly,2075,23.4150263020136
900,medium_variant,female,5yearly,2080,26.4443548571097
900,medium_variant,male,5yearly,2080,23.7104771534462
900,medium_variant,female,5yearly,2085,26.7733190601744
900,medium_variant,male,5yearly,2085,24.0150764984694
900,medium_variant,female,5yearly,2090,27.1010167186126
900,medium_variant,male,5yearly,2090,24.3323276999951
900,medium_variant,female,5yearly,2095,27.4300065592253
900,medium_variant,male,5yearly,2095,24.6619846850794
900,estimates,female,5yearly,Regi,WORLD
900,estimates,male,5yearly,Regi,WORLD
900,medium_variant,female,5yearly,Regi,WORLD
900,medium_variant,male,5yearly,Regi,WORLD
