variant,continent,year,under_five_mortality
estimates,909,1950,91.647
estimates,909,1951,90.344
estimates,909,1952,87.818
estimates,909,1953,85.45
estimates,909,1954,83.242
estimates,909,1955,81.19
estimates,909,1956,79.292
estimates,909,1957,77.537
estimates,909,1958,75.912
estimates,909,1959,74.391
estimates,909,1960,72.945
estimates,909,1961,71.539
estimates,909,1962,70.141
estimates,909,1963,68.725
estimates,909,1964,67.278
estimates,909,1965,65.796
estimates,909,1966,64.29
estimates,909,1967,62.789
estimates,909,1968,61.324
estimates,909,1969,59.913
estimates,909,1970,58.589
estimates,909,1971,57.383
estimates,909,1972,56.298
estimates,909,1973,55.321
estimates,909,1974,54.427
estimates,909,1975,53.564
estimates,909,1976,52.664
estimates,909,1977,51.678
estimates,909,1978,50.584
estimates,909,1979,49.386
estimates,909,1980,48.125
estimates,909,1981,46.867
estimates,909,1982,45.683
estimates,909,1983,44.62
estimates,909,1984,43.688
estimates,909,1985,42.864
estimates,909,1986,42.1
estimates,909,1987,41.336
estimates,909,1988,40.535
estimates,909,1989,39.696
estimates,909,1990,38.846
estimates,909,1991,38.029
estimates,909,1992,37.296
estimates,909,1993,36.675
estimates,909,1994,36.167
estimates,909,1995,35.758
estimates,909,1996,35.42
estimates,909,1997,35.106
estimates,909,1998,34.772
estimates,909,1999,34.391
estimates,909,2000,33.936
estimates,909,2001,33.386
estimates,909,2002,32.75
estimates,909,2003,32.047
estimates,909,2004,31.294
estimates,909,2005,30.519
estimates,909,2006,29.76
estimates,909,2007,29.049
estimates,909,2008,28.406
estimates,909,2009,27.84
estimates,909,2010,27.344
estimates,909,2011,26.899
estimates,909,2012,26.473
estimates,909,2013,26.044
estimates,909,2014,25.604
estimates,909,2015,25.152
medium_variant,909,2015,25.152
medium_variant,909,2016,24.696
medium_variant,909,2017,24.25
medium_variant,909,2018,23.827
medium_variant,909,2019,23.427
medium_variant,909,2020,23.055
medium_variant,909,2021,22.708
medium_variant,909,2022,22.381
medium_variant,909,2023,22.069
medium_variant,909,2024,21.766
medium_variant,909,2025,21.467
medium_variant,909,2026,21.169
medium_variant,909,2027,20.869
medium_variant,909,2028,20.565
medium_variant,909,2029,20.254
medium_variant,909,2030,19.935
medium_variant,909,2031,19.61
medium_variant,909,2032,19.281
medium_variant,909,2033,18.949
medium_variant,909,2034,18.617
medium_variant,909,2035,18.283
medium_variant,909,2036,17.947
medium_variant,909,2037,17.608
medium_variant,909,2038,17.268
medium_variant,909,2039,16.927
medium_variant,909,2040,16.588
medium_variant,909,2041,16.252
medium_variant,909,2042,15.922
medium_variant,909,2043,15.6
medium_variant,909,2044,15.287
medium_variant,909,2045,14.985
medium_variant,909,2046,14.695
medium_variant,909,2047,14.416
medium_variant,909,2048,14.147
medium_variant,909,2049,13.888
medium_variant,909,2050,13.638
medium_variant,909,2051,13.398
medium_variant,909,2052,13.166
medium_variant,909,2053,12.941
medium_variant,909,2054,12.721
medium_variant,909,2055,12.505
medium_variant,909,2056,12.291
medium_variant,909,2057,12.078
medium_variant,909,2058,11.866
medium_variant,909,2059,11.653
medium_variant,909,2060,11.44
medium_variant,909,2061,11.228
medium_variant,909,2062,11.018
medium_variant,909,2063,10.811
medium_variant,909,2064,10.606
medium_variant,909,2065,10.404
medium_variant,909,2066,10.205
medium_variant,909,2067,10.008
medium_variant,909,2068,9.812
medium_variant,909,2069,9.617
medium_variant,909,2070,9.423
medium_variant,909,2071,9.23
medium_variant,909,2072,9.037
medium_variant,909,2073,8.845
medium_variant,909,2074,8.656
medium_variant,909,2075,8.47
medium_variant,909,2076,8.291
medium_variant,909,2077,8.119
medium_variant,909,2078,7.955
medium_variant,909,2079,7.799
medium_variant,909,2080,7.65
medium_variant,909,2081,7.508
medium_variant,909,2082,7.371
medium_variant,909,2083,7.236
medium_variant,909,2084,7.104
medium_variant,909,2085,6.973
medium_variant,909,2086,6.844
medium_variant,909,2087,6.716
medium_variant,909,2088,6.591
medium_variant,909,2089,6.468
medium_variant,909,2090,6.347
medium_variant,909,2091,6.227
medium_variant,909,2092,6.109
medium_variant,909,2093,5.991
medium_variant,909,2094,5.874
medium_variant,909,2095,5.758
medium_variant,909,2096,5.642
medium_variant,909,2097,5.527
medium_variant,909,2098,5.413
medium_variant,909,2099,5.299
