variant,continent,year,under_five_mortality
estimates,908,1950,109.163
estimates,908,1951,104.981
estimates,908,1952,96.883
estimates,908,1953,89.315
estimates,908,1954,82.279
estimates,908,1955,75.774
estimates,908,1956,69.802
estimates,908,1957,64.358
estimates,908,1958,59.439
estimates,908,1959,55.039
estimates,908,1960,51.146
estimates,908,1961,47.741
estimates,908,1962,44.792
estimates,908,1963,42.251
estimates,908,1964,40.058
estimates,908,1965,38.154
estimates,908,1966,36.489
estimates,908,1967,35.023
estimates,908,1968,33.712
estimates,908,1969,32.513
estimates,908,1970,31.402
estimates,908,1971,30.378
estimates,908,1972,29.458
estimates,908,1973,28.64
estimates,908,1974,27.9
estimates,908,1975,27.209
estimates,908,1976,26.536
estimates,908,1977,25.862
estimates,908,1978,25.173
estimates,908,1979,24.458
estimates,908,1980,23.722
estimates,908,1981,22.98
estimates,908,1982,22.252
estimates,908,1983,21.555
estimates,908,1984,20.888
estimates,908,1985,20.243
estimates,908,1986,19.605
estimates,908,1987,18.959
estimates,908,1988,18.296
estimates,908,1989,17.616
estimates,908,1990,16.925
estimates,908,1991,16.234
estimates,908,1992,15.559
estimates,908,1993,14.912
estimates,908,1994,14.297
estimates,908,1995,13.718
estimates,908,1996,13.176
estimates,908,1997,12.662
estimates,908,1998,12.168
estimates,908,1999,11.691
estimates,908,2000,11.223
estimates,908,2001,10.758
estimates,908,2002,10.292
estimates,908,2003,9.826
estimates,908,2004,9.363
estimates,908,2005,8.909
estimates,908,2006,8.474
estimates,908,2007,8.067
estimates,908,2008,7.693
estimates,908,2009,7.354
estimates,908,2010,7.048
estimates,908,2011,6.771
estimates,908,2012,6.514
estimates,908,2013,6.27
estimates,908,2014,6.037
estimates,908,2015,5.814
medium_variant,908,2015,5.814
medium_variant,908,2016,5.602
medium_variant,908,2017,5.404
medium_variant,908,2018,5.222
medium_variant,908,2019,5.055
medium_variant,908,2020,4.901
medium_variant,908,2021,4.758
medium_variant,908,2022,4.623
medium_variant,908,2023,4.493
medium_variant,908,2024,4.368
medium_variant,908,2025,4.246
medium_variant,908,2026,4.128
medium_variant,908,2027,4.016
medium_variant,908,2028,3.909
medium_variant,908,2029,3.809
medium_variant,908,2030,3.715
medium_variant,908,2031,3.627
medium_variant,908,2032,3.546
medium_variant,908,2033,3.469
medium_variant,908,2034,3.399
medium_variant,908,2035,3.333
medium_variant,908,2036,3.272
medium_variant,908,2037,3.217
medium_variant,908,2038,3.166
medium_variant,908,2039,3.118
medium_variant,908,2040,3.074
medium_variant,908,2041,3.031
medium_variant,908,2042,2.99
medium_variant,908,2043,2.95
medium_variant,908,2044,2.91
medium_variant,908,2045,2.87
medium_variant,908,2046,2.829
medium_variant,908,2047,2.788
medium_variant,908,2048,2.746
medium_variant,908,2049,2.704
medium_variant,908,2050,2.662
medium_variant,908,2051,2.62
medium_variant,908,2052,2.579
medium_variant,908,2053,2.538
medium_variant,908,2054,2.497
medium_variant,908,2055,2.458
medium_variant,908,2056,2.419
medium_variant,908,2057,2.381
medium_variant,908,2058,2.345
medium_variant,908,2059,2.31
medium_variant,908,2060,2.276
medium_variant,908,2061,2.244
medium_variant,908,2062,2.213
medium_variant,908,2063,2.183
medium_variant,908,2064,2.155
medium_variant,908,2065,2.128
medium_variant,908,2066,2.103
medium_variant,908,2067,2.078
medium_variant,908,2068,2.055
medium_variant,908,2069,2.033
medium_variant,908,2070,2.011
medium_variant,908,2071,1.99
medium_variant,908,2072,1.969
medium_variant,908,2073,1.949
medium_variant,908,2074,1.928
medium_variant,908,2075,1.908
medium_variant,908,2076,1.887
medium_variant,908,2077,1.867
medium_variant,908,2078,1.846
medium_variant,908,2079,1.825
medium_variant,908,2080,1.804
medium_variant,908,2081,1.783
medium_variant,908,2082,1.762
medium_variant,908,2083,1.741
medium_variant,908,2084,1.721
medium_variant,908,2085,1.7
medium_variant,908,2086,1.679
medium_variant,908,2087,1.659
medium_variant,908,2088,1.639
medium_variant,908,2089,1.62
medium_variant,908,2090,1.601
medium_variant,908,2091,1.583
medium_variant,908,2092,1.566
medium_variant,908,2093,1.55
medium_variant,908,2094,1.535
medium_variant,908,2095,1.521
medium_variant,908,2096,1.508
medium_variant,908,2097,1.497
medium_variant,908,2098,1.486
medium_variant,908,2099,1.477
