variant,continent,year,under_five_mortality
estimates,935,1950,246.286
estimates,935,1951,243.79
estimates,935,1952,239.053
estimates,935,1953,234.826
estimates,935,1954,231.11
estimates,935,1955,227.885
estimates,935,1956,225.094
estimates,935,1957,222.655
estimates,935,1958,220.414
estimates,935,1959,218.101
estimates,935,1960,215.408
estimates,935,1961,212.03
estimates,935,1962,207.692
estimates,935,1963,202.264
estimates,935,1964,195.814
estimates,935,1965,188.587
estimates,935,1966,180.97
estimates,935,1967,173.453
estimates,935,1968,166.439
estimates,935,1969,160.133
estimates,935,1970,154.659
estimates,935,1971,150
estimates,935,1972,145.917
estimates,935,1973,142.182
estimates,935,1974,138.692
estimates,935,1975,135.325
estimates,935,1976,131.977
estimates,935,1977,128.594
estimates,935,1978,125.14
estimates,935,1979,121.587
estimates,935,1980,117.925
estimates,935,1981,114.175
estimates,935,1982,110.42
estimates,935,1983,106.748
estimates,935,1984,103.214
estimates,935,1985,99.899
estimates,935,1986,96.878
estimates,935,1987,94.168
estimates,935,1988,91.758
estimates,935,1989,89.622
estimates,935,1990,87.712
estimates,935,1991,85.961
estimates,935,1992,84.275
estimates,935,1993,82.563
estimates,935,1994,80.761
estimates,935,1995,78.807
estimates,935,1996,76.662
estimates,935,1997,74.347
estimates,935,1998,71.891
estimates,935,1999,69.31
estimates,935,2000,66.63
estimates,935,2001,63.884
estimates,935,2002,61.122
estimates,935,2003,58.393
estimates,935,2004,55.738
estimates,935,2005,53.182
estimates,935,2006,50.735
estimates,935,2007,48.392
estimates,935,2008,46.16
estimates,935,2009,44.057
estimates,935,2010,42.113
estimates,935,2011,40.357
estimates,935,2012,38.795
estimates,935,2013,37.42
estimates,935,2014,36.218
estimates,935,2015,35.165
medium_variant,935,2015,35.165
medium_variant,935,2016,34.23
medium_variant,935,2017,33.374
medium_variant,935,2018,32.561
medium_variant,935,2019,31.767
medium_variant,935,2020,30.975
medium_variant,935,2021,30.184
medium_variant,935,2022,29.406
medium_variant,935,2023,28.651
medium_variant,935,2024,27.917
medium_variant,935,2025,27.202
medium_variant,935,2026,26.505
medium_variant,935,2027,25.827
medium_variant,935,2028,25.168
medium_variant,935,2029,24.528
medium_variant,935,2030,23.905
medium_variant,935,2031,23.301
medium_variant,935,2032,22.715
medium_variant,935,2033,22.147
medium_variant,935,2034,21.598
medium_variant,935,2035,21.067
medium_variant,935,2036,20.554
medium_variant,935,2037,20.061
medium_variant,935,2038,19.586
medium_variant,935,2039,19.127
medium_variant,935,2040,18.685
medium_variant,935,2041,18.257
medium_variant,935,2042,17.844
medium_variant,935,2043,17.443
medium_variant,935,2044,17.053
medium_variant,935,2045,16.675
medium_variant,935,2046,16.307
medium_variant,935,2047,15.95
medium_variant,935,2048,15.604
medium_variant,935,2049,15.268
medium_variant,935,2050,14.943
medium_variant,935,2051,14.629
medium_variant,935,2052,14.325
medium_variant,935,2053,14.03
medium_variant,935,2054,13.745
medium_variant,935,2055,13.467
medium_variant,935,2056,13.196
medium_variant,935,2057,12.931
medium_variant,935,2058,12.671
medium_variant,935,2059,12.415
medium_variant,935,2060,12.163
medium_variant,935,2061,11.914
medium_variant,935,2062,11.668
medium_variant,935,2063,11.428
medium_variant,935,2064,11.193
medium_variant,935,2065,10.964
medium_variant,935,2066,10.742
medium_variant,935,2067,10.529
medium_variant,935,2068,10.323
medium_variant,935,2069,10.125
medium_variant,935,2070,9.934
medium_variant,935,2071,9.75
medium_variant,935,2072,9.57
medium_variant,935,2073,9.394
medium_variant,935,2074,9.221
medium_variant,935,2075,9.051
medium_variant,935,2076,8.884
medium_variant,935,2077,8.721
medium_variant,935,2078,8.562
medium_variant,935,2079,8.407
medium_variant,935,2080,8.257
medium_variant,935,2081,8.111
medium_variant,935,2082,7.97
medium_variant,935,2083,7.833
medium_variant,935,2084,7.7
medium_variant,935,2085,7.571
medium_variant,935,2086,7.445
medium_variant,935,2087,7.324
medium_variant,935,2088,7.205
medium_variant,935,2089,7.089
medium_variant,935,2090,6.975
medium_variant,935,2091,6.864
medium_variant,935,2092,6.754
medium_variant,935,2093,6.647
medium_variant,935,2094,6.542
medium_variant,935,2095,6.439
medium_variant,935,2096,6.337
medium_variant,935,2097,6.237
medium_variant,935,2098,6.14
medium_variant,935,2099,6.044
