variant,continent,year,under_five_mortality
estimates,903,1950,323.262
estimates,903,1951,320.268
estimates,903,1952,314.337
estimates,903,1953,308.519
estimates,903,1954,302.815
estimates,903,1955,297.226
estimates,903,1956,291.755
estimates,903,1957,286.406
estimates,903,1958,281.185
estimates,903,1959,276.106
estimates,903,1960,271.184
estimates,903,1961,266.43
estimates,903,1962,261.853
estimates,903,1963,257.452
estimates,903,1964,253.214
estimates,903,1965,249.125
estimates,903,1966,245.169
estimates,903,1967,241.312
estimates,903,1968,237.517
estimates,903,1969,233.745
estimates,903,1970,229.944
estimates,903,1971,226.063
estimates,903,1972,222.093
estimates,903,1973,218.042
estimates,903,1974,213.93
estimates,903,1975,209.789
estimates,903,1976,205.669
estimates,903,1977,201.633
estimates,903,1978,197.74
estimates,903,1979,194.032
estimates,903,1980,190.525
estimates,903,1981,187.215
estimates,903,1982,184.086
estimates,903,1983,181.137
estimates,903,1984,178.394
estimates,903,1985,175.953
estimates,903,1986,173.931
estimates,903,1987,172.347
estimates,903,1988,171.15
estimates,903,1989,170.232
estimates,903,1990,169.413
estimates,903,1991,168.481
estimates,903,1992,167.241
estimates,903,1993,165.537
estimates,903,1994,163.283
estimates,903,1995,160.447
estimates,903,1996,157.067
estimates,903,1997,153.291
estimates,903,1998,149.258
estimates,903,1999,145.033
estimates,903,2000,140.654
estimates,903,2001,136.129
estimates,903,2002,131.467
estimates,903,2003,126.703
estimates,903,2004,121.904
estimates,903,2005,117.129
estimates,903,2006,112.431
estimates,903,2007,107.852
estimates,903,2008,103.441
estimates,903,2009,99.254
estimates,903,2010,95.348
estimates,903,2011,91.764
estimates,903,2012,88.493
estimates,903,2013,85.514
estimates,903,2014,82.811
estimates,903,2015,80.359
medium_variant,903,2015,80.359
medium_variant,903,2016,78.121
medium_variant,903,2017,76.045
medium_variant,903,2018,74.081
medium_variant,903,2019,72.192
medium_variant,903,2020,70.348
medium_variant,903,2021,68.539
medium_variant,903,2022,66.771
medium_variant,903,2023,65.05
medium_variant,903,2024,63.366
medium_variant,903,2025,61.715
medium_variant,903,2026,60.095
medium_variant,903,2027,58.512
medium_variant,903,2028,56.969
medium_variant,903,2029,55.465
medium_variant,903,2030,54
medium_variant,903,2031,52.571
medium_variant,903,2032,51.18
medium_variant,903,2033,49.826
medium_variant,903,2034,48.509
medium_variant,903,2035,47.232
medium_variant,903,2036,45.996
medium_variant,903,2037,44.803
medium_variant,903,2038,43.652
medium_variant,903,2039,42.544
medium_variant,903,2040,41.479
medium_variant,903,2041,40.455
medium_variant,903,2042,39.472
medium_variant,903,2043,38.525
medium_variant,903,2044,37.61
medium_variant,903,2045,36.722
medium_variant,903,2046,35.854
medium_variant,903,2047,35.006
medium_variant,903,2048,34.174
medium_variant,903,2049,33.358
medium_variant,903,2050,32.56
medium_variant,903,2051,31.782
medium_variant,903,2052,31.03
medium_variant,903,2053,30.306
medium_variant,903,2054,29.613
medium_variant,903,2055,28.951
medium_variant,903,2056,28.319
medium_variant,903,2057,27.716
medium_variant,903,2058,27.138
medium_variant,903,2059,26.582
medium_variant,903,2060,26.046
medium_variant,903,2061,25.529
medium_variant,903,2062,25.027
medium_variant,903,2063,24.54
medium_variant,903,2064,24.067
medium_variant,903,2065,23.608
medium_variant,903,2066,23.163
medium_variant,903,2067,22.733
medium_variant,903,2068,22.319
medium_variant,903,2069,21.92
medium_variant,903,2070,21.536
medium_variant,903,2071,21.165
medium_variant,903,2072,20.806
medium_variant,903,2073,20.458
medium_variant,903,2074,20.12
medium_variant,903,2075,19.791
medium_variant,903,2076,19.473
medium_variant,903,2077,19.167
medium_variant,903,2078,18.871
medium_variant,903,2079,18.587
medium_variant,903,2080,18.312
medium_variant,903,2081,18.046
medium_variant,903,2082,17.789
medium_variant,903,2083,17.539
medium_variant,903,2084,17.295
medium_variant,903,2085,17.056
medium_variant,903,2086,16.822
medium_variant,903,2087,16.592
medium_variant,903,2088,16.367
medium_variant,903,2089,16.146
medium_variant,903,2090,15.929
medium_variant,903,2091,15.717
medium_variant,903,2092,15.508
medium_variant,903,2093,15.304
medium_variant,903,2094,15.105
medium_variant,903,2095,14.91
medium_variant,903,2096,14.72
medium_variant,903,2097,14.535
medium_variant,903,2098,14.354
medium_variant,903,2099,14.178
