agebroad,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",AFRICA,903,estimates,1950
0_1,7.449,903,estimates,1950
0_4,16.926,903,estimates,1950
0_14,41.336,903,estimates,1950
0_17,47.578,903,estimates,1950
0_19,51.499,903,estimates,1950
0_24,60.398,903,estimates,1950
3_4,6.124,903,estimates,1950
3_5,8.948,903,estimates,1950
3_6,11.646,903,estimates,1950
4_5,5.798,903,estimates,1950
4_6,8.496,903,estimates,1950
5_14,24.41,903,estimates,1950
5_10,15.415,903,estimates,1950
5_11,17.737,903,estimates,1950
6_9,10.221,903,estimates,1950
6_10,12.59,903,estimates,1950
6_11,14.913,903,estimates,1950
6_12,17.189,903,estimates,1950
7_10,9.892,903,estimates,1950
7_12,14.492,903,estimates,1950
11_16,13.201,903,estimates,1950
11_17,15.238,903,estimates,1950
11_18,17.225,903,estimates,1950
12_14,6.673,903,estimates,1950
12_16,10.878,903,estimates,1950
12_17,12.915,903,estimates,1950
12_18,14.902,903,estimates,1950
13_17,10.639,903,estimates,1950
13_18,12.625,903,estimates,1950
13_19,14.559,903,estimates,1950
15_17,6.242,903,estimates,1950
18_23,11.146,903,estimates,1950
15_24,19.062,903,estimates,1950
15_49,47.395,903,estimates,1950
15_59,53.367,903,estimates,1950
15_64,55.416,903,estimates,1950
20_64,45.253,903,estimates,1950
20_69,46.737,903,estimates,1950
25_49,28.334,903,estimates,1950
25_64,36.354,903,estimates,1950
25_69,37.838,903,estimates,1950
15plus,58.664,903,estimates,1950
16plus,56.54,903,estimates,1950
17plus,54.458,903,estimates,1950
18plus,52.422,903,estimates,1950
20plus,48.501,903,estimates,1950
21plus,46.618,903,estimates,1950
25plus,39.602,903,estimates,1950
50plus,11.268,903,estimates,1950
60plus,5.297,903,estimates,1950
65plus,3.248,903,estimates,1950
70plus,1.764,903,estimates,1950
75plus,0.803,903,estimates,1950
80plus,0.298,903,estimates,1950
85plus,0.081,903,estimates,1950
90plus,0.016,903,estimates,1950
total,100,903,estimates,1950
"Region, subregion, country or area *",AFRICA,903,estimates,1951
0_1,7.524,903,estimates,1951
0_4,17.15,903,estimates,1951
0_14,41.595,903,estimates,1951
0_17,47.781,903,estimates,1951
0_19,51.68,903,estimates,1951
0_24,60.543,903,estimates,1951
3_4,6.217,903,estimates,1951
3_5,9.077,903,estimates,1951
3_6,11.803,903,estimates,1951
4_5,5.877,903,estimates,1951
4_6,8.604,903,estimates,1951
5_14,24.444,903,estimates,1951
5_10,15.512,903,estimates,1951
5_11,17.816,903,estimates,1951
6_9,10.29,903,estimates,1951
6_10,12.652,903,estimates,1951
6_11,14.956,903,estimates,1951
6_12,17.213,903,estimates,1951
7_10,9.926,903,estimates,1951
7_12,14.487,903,estimates,1951
11_16,13.1,903,estimates,1951
11_17,15.118,903,estimates,1951
11_18,17.092,903,estimates,1951
12_14,6.628,903,estimates,1951
12_16,10.796,903,estimates,1951
12_17,12.814,903,estimates,1951
12_18,14.788,903,estimates,1951
13_17,10.558,903,estimates,1951
13_18,12.531,903,estimates,1951
13_19,14.456,903,estimates,1951
15_17,6.187,903,estimates,1951
18_23,11.09,903,estimates,1951
15_24,18.949,903,estimates,1951
15_49,47.194,903,estimates,1951
15_59,53.138,903,estimates,1951
15_64,55.17,903,estimates,1951
20_64,45.085,903,estimates,1951
20_69,46.552,903,estimates,1951
25_49,28.246,903,estimates,1951
25_64,36.221,903,estimates,1951
25_69,37.688,903,estimates,1951
15plus,58.405,903,estimates,1951
16plus,56.298,903,estimates,1951
17plus,54.237,903,estimates,1951
18plus,52.219,903,estimates,1951
20plus,48.32,903,estimates,1951
21plus,46.447,903,estimates,1951
25plus,39.457,903,estimates,1951
50plus,11.211,903,estimates,1951
60plus,5.268,903,estimates,1951
65plus,3.236,903,estimates,1951
70plus,1.769,903,estimates,1951
75plus,0.816,903,estimates,1951
80plus,0.309,903,estimates,1951
85plus,0.088,903,estimates,1951
90plus,0.018,903,estimates,1951
total,100,903,estimates,1951
"Region, subregion, country or area *",AFRICA,903,estimates,1952
0_1,7.518,903,estimates,1952
0_4,17.269,903,estimates,1952
0_14,41.785,903,estimates,1952
0_17,47.934,903,estimates,1952
0_19,51.808,903,estimates,1952
0_24,60.643,903,estimates,1952
3_4,6.296,903,estimates,1952
3_5,9.188,903,estimates,1952
3_6,11.942,903,estimates,1952
4_5,5.947,903,estimates,1952
4_6,8.7,903,estimates,1952
5_14,24.517,903,estimates,1952
5_10,15.629,903,estimates,1952
5_11,17.929,903,estimates,1952
6_9,10.367,903,estimates,1952
6_10,12.736,903,estimates,1952
6_11,15.037,903,estimates,1952
6_12,17.28,903,estimates,1952
7_10,9.983,903,estimates,1952
7_12,14.526,903,estimates,1952
11_16,13.035,903,estimates,1952
11_17,15.037,903,estimates,1952
11_18,16.996,903,estimates,1952
12_14,6.587,903,estimates,1952
12_16,10.734,903,estimates,1952
12_17,12.736,903,estimates,1952
12_18,14.695,903,estimates,1952
13_17,10.493,903,estimates,1952
13_18,12.452,903,estimates,1952
13_19,14.367,903,estimates,1952
15_17,6.149,903,estimates,1952
18_23,11.04,903,estimates,1952
15_24,18.857,903,estimates,1952
15_49,47.055,903,estimates,1952
15_59,52.981,903,estimates,1952
15_64,55.002,903,estimates,1952
20_64,44.979,903,estimates,1952
20_69,46.434,903,estimates,1952
25_49,28.197,903,estimates,1952
25_64,36.145,903,estimates,1952
25_69,37.599,903,estimates,1952
15plus,58.215,903,estimates,1952
16plus,56.116,903,estimates,1952
17plus,54.068,903,estimates,1952
18plus,52.066,903,estimates,1952
20plus,48.192,903,estimates,1952
21plus,46.326,903,estimates,1952
25plus,39.357,903,estimates,1952
50plus,11.16,903,estimates,1952
60plus,5.234,903,estimates,1952
65plus,3.213,903,estimates,1952
70plus,1.758,903,estimates,1952
75plus,0.817,903,estimates,1952
80plus,0.31,903,estimates,1952
85plus,0.092,903,estimates,1952
90plus,0.019,903,estimates,1952
total,100,903,estimates,1952
"Region, subregion, country or area *",AFRICA,903,estimates,1953
0_1,7.563,903,estimates,1953
0_4,17.323,903,estimates,1953
0_14,41.924,903,estimates,1953
0_17,48.048,903,estimates,1953
0_19,51.897,903,estimates,1953
0_24,60.707,903,estimates,1953
3_4,6.349,903,estimates,1953
3_5,9.265,903,estimates,1953
3_6,12.04,903,estimates,1953
4_5,5.997,903,estimates,1953
4_6,8.772,903,estimates,1953
5_14,24.601,903,estimates,1953
5_10,15.728,903,estimates,1953
5_11,18.036,903,estimates,1953
6_9,10.432,903,estimates,1953
6_10,12.812,903,estimates,1953
6_11,15.12,903,estimates,1953
6_12,17.361,903,estimates,1953
7_10,10.037,903,estimates,1953
7_12,14.587,903,estimates,1953
11_16,13.005,903,estimates,1953
11_17,14.996,903,estimates,1953
11_18,16.942,903,estimates,1953
12_14,6.565,903,estimates,1953
12_16,10.697,903,estimates,1953
12_17,12.689,903,estimates,1953
12_18,14.635,903,estimates,1953
13_17,10.447,903,estimates,1953
13_18,12.393,903,estimates,1953
13_19,14.296,903,estimates,1953
15_17,6.124,903,estimates,1953
18_23,10.993,903,estimates,1953
15_24,18.783,903,estimates,1953
15_49,46.961,903,estimates,1953
15_59,52.88,903,estimates,1953
15_64,54.895,903,estimates,1953
20_64,44.922,903,estimates,1953
20_69,46.368,903,estimates,1953
25_49,28.178,903,estimates,1953
25_64,36.112,903,estimates,1953
25_69,37.559,903,estimates,1953
15plus,58.076,903,estimates,1953
16plus,55.986,903,estimates,1953
17plus,53.944,903,estimates,1953
18plus,51.952,903,estimates,1953
20plus,48.103,903,estimates,1953
21plus,46.244,903,estimates,1953
25plus,39.293,903,estimates,1953
50plus,11.115,903,estimates,1953
60plus,5.196,903,estimates,1953
65plus,3.181,903,estimates,1953
70plus,1.734,903,estimates,1953
75plus,0.804,903,estimates,1953
80plus,0.302,903,estimates,1953
85plus,0.091,903,estimates,1953
90plus,0.02,903,estimates,1953
total,100,903,estimates,1953
"Region, subregion, country or area *",AFRICA,903,estimates,1954
0_1,7.607,903,estimates,1954
0_4,17.363,903,estimates,1954
0_14,42.024,903,estimates,1954
0_17,48.129,903,estimates,1954
0_19,51.96,903,estimates,1954
0_24,60.746,903,estimates,1954
3_4,6.319,903,estimates,1954
3_5,9.246,903,estimates,1954
3_6,12.031,903,estimates,1954
4_5,6.016,903,estimates,1954
4_6,8.801,903,estimates,1954
5_14,24.662,903,estimates,1954
5_10,15.778,903,estimates,1954
5_11,18.095,903,estimates,1954
6_9,10.465,903,estimates,1954
6_10,12.852,903,estimates,1954
6_11,15.169,903,estimates,1954
6_12,17.418,903,estimates,1954
7_10,10.067,903,estimates,1954
7_12,14.634,903,estimates,1954
11_16,13.001,903,estimates,1954
11_17,14.988,903,estimates,1954
11_18,16.926,903,estimates,1954
12_14,6.566,903,estimates,1954
12_16,10.684,903,estimates,1954
12_17,12.671,903,estimates,1954
12_18,14.609,903,estimates,1954
13_17,10.421,903,estimates,1954
13_18,12.359,903,estimates,1954
13_19,14.252,903,estimates,1954
15_17,6.104,903,estimates,1954
18_23,10.955,903,estimates,1954
15_24,18.722,903,estimates,1954
15_49,46.897,903,estimates,1954
15_59,52.818,903,estimates,1954
15_64,54.835,903,estimates,1954
20_64,44.9,903,estimates,1954
20_69,46.342,903,estimates,1954
25_49,28.176,903,estimates,1954
25_64,36.113,903,estimates,1954
25_69,37.556,903,estimates,1954
15plus,57.976,903,estimates,1954
16plus,55.893,903,estimates,1954
17plus,53.858,903,estimates,1954
18plus,51.871,903,estimates,1954
20plus,48.04,903,estimates,1954
21plus,46.19,903,estimates,1954
25plus,39.254,903,estimates,1954
50plus,11.078,903,estimates,1954
60plus,5.158,903,estimates,1954
65plus,3.141,903,estimates,1954
70plus,1.698,903,estimates,1954
75plus,0.776,903,estimates,1954
80plus,0.282,903,estimates,1954
85plus,0.082,903,estimates,1954
90plus,0.018,903,estimates,1954
total,100,903,estimates,1954
"Region, subregion, country or area *",AFRICA,903,estimates,1955
0_1,7.647,903,estimates,1955
0_4,17.443,903,estimates,1955
0_14,42.096,903,estimates,1955
0_17,48.185,903,estimates,1955
0_19,52.007,903,estimates,1955
0_24,60.77,903,estimates,1955
3_4,6.334,903,estimates,1955
3_5,9.251,903,estimates,1955
3_6,12.03,903,estimates,1955
4_5,5.994,903,estimates,1955
4_6,8.773,903,estimates,1955
5_14,24.653,903,estimates,1955
5_10,15.752,903,estimates,1955
5_11,18.071,903,estimates,1955
6_9,10.451,903,estimates,1955
6_10,12.835,903,estimates,1955
6_11,15.153,903,estimates,1955
6_12,17.409,903,estimates,1955
7_10,10.056,903,estimates,1955
7_12,14.631,903,estimates,1955
11_16,13.008,903,estimates,1955
11_17,14.99,903,estimates,1955
11_18,16.924,903,estimates,1955
12_14,6.583,903,estimates,1955
12_16,10.69,903,estimates,1955
12_17,12.672,903,estimates,1955
12_18,14.606,903,estimates,1955
13_17,10.416,903,estimates,1955
13_18,12.35,903,estimates,1955
13_19,14.237,903,estimates,1955
15_17,6.089,903,estimates,1955
18_23,10.925,903,estimates,1955
15_24,18.674,903,estimates,1955
15_49,46.857,903,estimates,1955
15_59,52.785,903,estimates,1955
15_64,54.81,903,estimates,1955
20_64,44.9,903,estimates,1955
20_69,46.343,903,estimates,1955
25_49,28.183,903,estimates,1955
25_64,36.136,903,estimates,1955
25_69,37.58,903,estimates,1955
15plus,57.904,903,estimates,1955
16plus,55.826,903,estimates,1955
17plus,53.796,903,estimates,1955
18plus,51.815,903,estimates,1955
20plus,47.993,903,estimates,1955
21plus,46.152,903,estimates,1955
25plus,39.23,903,estimates,1955
50plus,11.047,903,estimates,1955
60plus,5.118,903,estimates,1955
65plus,3.093,903,estimates,1955
70plus,1.65,903,estimates,1955
75plus,0.734,903,estimates,1955
80plus,0.252,903,estimates,1955
85plus,0.065,903,estimates,1955
90plus,0.012,903,estimates,1955
total,100,903,estimates,1955
"Region, subregion, country or area *",AFRICA,903,estimates,1956
0_1,7.69,903,estimates,1956
0_4,17.631,903,estimates,1956
0_14,42.41,903,estimates,1956
0_17,48.451,903,estimates,1956
0_19,52.238,903,estimates,1956
0_24,60.926,903,estimates,1956
3_4,6.427,903,estimates,1956
3_5,9.386,903,estimates,1956
3_6,12.2,903,estimates,1956
4_5,6.08,903,estimates,1956
4_6,8.895,903,estimates,1956
