agebroad,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",OCEANIA,909,estimates,1950
0_1,5.202,909,estimates,1950
0_4,12.099,909,estimates,1950
0_14,29.833,909,estimates,1950
0_17,34.318,909,estimates,1950
0_19,37.341,909,estimates,1950
0_24,45.359,909,estimates,1950
3_4,4.485,909,estimates,1950
3_5,6.576,909,estimates,1950
3_6,8.575,909,estimates,1950
4_5,4.279,909,estimates,1950
4_6,6.279,909,estimates,1950
5_14,17.734,909,estimates,1950
5_10,11.334,909,estimates,1950
5_11,12.997,909,estimates,1950
6_9,7.53,909,estimates,1950
6_10,9.244,909,estimates,1950
6_11,10.907,909,estimates,1950
6_12,12.524,909,estimates,1950
7_10,7.245,909,estimates,1950
7_12,10.525,909,estimates,1950
11_16,9.404,909,estimates,1950
11_17,10.885,909,estimates,1950
11_18,12.382,909,estimates,1950
12_14,4.737,909,estimates,1950
12_16,7.741,909,estimates,1950
12_17,9.223,909,estimates,1950
12_18,10.719,909,estimates,1950
13_17,7.605,909,estimates,1950
13_18,9.102,909,estimates,1950
13_19,10.628,909,estimates,1950
15_17,4.485,909,estimates,1950
18_23,9.412,909,estimates,1950
15_24,15.526,909,estimates,1950
15_49,49.799,909,estimates,1950
15_59,58.983,909,estimates,1950
15_64,62.795,909,estimates,1950
20_64,55.286,909,estimates,1950
20_69,58.262,909,estimates,1950
25_49,34.273,909,estimates,1950
25_64,47.269,909,estimates,1950
25_69,50.245,909,estimates,1950
15plus,70.167,909,estimates,1950
16plus,68.652,909,estimates,1950
17plus,67.163,909,estimates,1950
18plus,65.682,909,estimates,1950
20plus,62.659,909,estimates,1950
21plus,61.102,909,estimates,1950
25plus,54.641,909,estimates,1950
50plus,20.368,909,estimates,1950
60plus,11.184,909,estimates,1950
65plus,7.372,909,estimates,1950
70plus,4.396,909,estimates,1950
75plus,2.304,909,estimates,1950
80plus,1.037,909,estimates,1950
85plus,0.373,909,estimates,1950
90plus,0.099,909,estimates,1950
total,100,909,estimates,1950
"Region, subregion, country or area *",OCEANIA,909,estimates,1951
0_1,5.163,909,estimates,1951
0_4,12.265,909,estimates,1951
0_14,30.316,909,estimates,1951
0_17,34.786,909,estimates,1951
0_19,37.72,909,estimates,1951
0_24,45.541,909,estimates,1951
3_4,4.622,909,estimates,1951
3_5,6.776,909,estimates,1951
3_6,8.832,909,estimates,1951
4_5,4.411,909,estimates,1951
4_6,6.467,909,estimates,1951
5_14,18.051,909,estimates,1951
5_10,11.602,909,estimates,1951
5_11,13.284,909,estimates,1951
6_9,7.707,909,estimates,1951
6_10,9.448,909,estimates,1951
6_11,11.131,909,estimates,1951
6_12,12.762,909,estimates,1951
7_10,7.392,909,estimates,1951
7_12,10.706,909,estimates,1951
11_16,9.455,909,estimates,1951
11_17,10.92,909,estimates,1951
11_18,12.379,909,estimates,1951
12_14,4.767,909,estimates,1951
12_16,7.772,909,estimates,1951
12_17,9.237,909,estimates,1951
12_18,10.696,909,estimates,1951
13_17,7.606,909,estimates,1951
13_18,9.064,909,estimates,1951
13_19,10.539,909,estimates,1951
15_17,4.47,909,estimates,1951
18_23,9.146,909,estimates,1951
15_24,15.225,909,estimates,1951
15_49,49.441,909,estimates,1951
15_59,58.51,909,estimates,1951
15_64,62.264,909,estimates,1951
20_64,54.861,909,estimates,1951
20_69,57.832,909,estimates,1951
25_49,34.216,909,estimates,1951
25_64,47.039,909,estimates,1951
