agebroad,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",ASIA,935,estimates,1950
0_1,6.299,935,estimates,1950
0_4,14.279,935,estimates,1950
0_14,36.411,935,estimates,1950
0_17,42.487,935,estimates,1950
0_19,46.337,935,estimates,1950
0_24,55.141,935,estimates,1950
3_4,5.161,935,estimates,1950
3_5,7.565,935,estimates,1950
3_6,9.886,935,estimates,1950
4_5,4.916,935,estimates,1950
4_6,7.238,935,estimates,1950
5_14,22.133,935,estimates,1950
5_10,13.569,935,estimates,1950
5_11,15.742,935,estimates,1950
6_9,8.99,935,estimates,1950
6_10,11.165,935,estimates,1950
6_11,13.338,935,estimates,1950
6_12,15.501,935,estimates,1950
7_10,8.843,935,estimates,1950
7_12,13.179,935,estimates,1950
11_16,12.649,935,estimates,1950
11_17,14.64,935,estimates,1950
11_18,16.588,935,estimates,1950
12_14,6.391,935,estimates,1950
12_16,10.476,935,estimates,1950
12_17,12.467,935,estimates,1950
12_18,14.415,935,estimates,1950
13_17,10.304,935,estimates,1950
13_18,12.252,935,estimates,1950
13_19,14.154,935,estimates,1950
15_17,6.076,935,estimates,1950
18_23,10.989,935,estimates,1950
15_24,18.73,935,estimates,1950
15_49,49.876,935,estimates,1950
15_59,56.97,935,estimates,1950
15_64,59.557,935,estimates,1950
20_64,49.631,935,estimates,1950
20_69,51.464,935,estimates,1950
25_49,31.146,935,estimates,1950
25_64,40.827,935,estimates,1950
25_69,42.66,935,estimates,1950
15plus,63.589,935,estimates,1950
16plus,61.53,935,estimates,1950
17plus,59.504,935,estimates,1950
18plus,57.513,935,estimates,1950
20plus,53.663,935,estimates,1950
21plus,51.808,935,estimates,1950
25plus,44.859,935,estimates,1950
50plus,13.713,935,estimates,1950
60plus,6.619,935,estimates,1950
65plus,4.032,935,estimates,1950
70plus,2.199,935,estimates,1950
75plus,1.019,935,estimates,1950
80plus,0.364,935,estimates,1950
85plus,0.099,935,estimates,1950
90plus,0.021,935,estimates,1950
total,100,935,estimates,1950
"Region, subregion, country or area *",ASIA,935,estimates,1951
0_1,6.664,935,estimates,1951
0_4,14.862,935,estimates,1951
0_14,36.814,935,estimates,1951
0_17,42.832,935,estimates,1951
0_19,46.664,935,estimates,1951
0_24,55.456,935,estimates,1951
3_4,5.287,935,estimates,1951
3_5,7.725,935,estimates,1951
3_6,10.062,935,estimates,1951
4_5,5.003,935,estimates,1951
4_6,7.34,935,estimates,1951
5_14,21.952,935,estimates,1951
5_10,13.528,935,estimates,1951
5_11,15.647,935,estimates,1951
6_9,8.956,935,estimates,1951
6_10,11.09,935,estimates,1951
6_11,13.209,935,estimates,1951
6_12,15.327,935,estimates,1951
7_10,8.753,935,estimates,1951
7_12,12.99,935,estimates,1951
11_16,12.469,935,estimates,1951
11_17,14.442,935,estimates,1951
11_18,16.379,935,estimates,1951
12_14,6.305,935,estimates,1951
12_16,10.349,935,estimates,1951
12_17,12.322,935,estimates,1951
12_18,14.259,935,estimates,1951
13_17,10.204,935,estimates,1951
13_18,12.142,935,estimates,1951
13_19,14.037,935,estimates,1951
15_17,6.017,935,estimates,1951
18_23,10.959,935,estimates,1951
15_24,18.641,935,estimates,1951
15_49,49.569,935,estimates,1951
15_59,56.611,935,estimates,1951
15_64,59.152,935,estimates,1951
20_64,49.302,935,estimates,1951
20_69,51.124,935,estimates,1951
25_49,30.927,935,estimates,1951
25_64,40.511,935,estimates,1951
25_69,42.333,935,estimates,1951
15plus,63.186,935,estimates,1951
16plus,61.146,935,estimates,1951
17plus,59.142,935,estimates,1951
18plus,57.168,935,estimates,1951
20plus,53.336,935,estimates,1951
21plus,51.486,935,estimates,1951
25plus,44.544,935,estimates,1951
50plus,13.617,935,estimates,1951
60plus,6.575,935,estimates,1951
65plus,4.033,935,estimates,1951
70plus,2.211,935,estimates,1951
75plus,1.042,935,estimates,1951
80plus,0.387,935,estimates,1951
85plus,0.108,935,estimates,1951
90plus,0.023,935,estimates,1951
total,100,935,estimates,1951
"Region, subregion, country or area *",ASIA,935,estimates,1952
0_1,7.071,935,estimates,1952
0_4,15.492,935,estimates,1952
0_14,37.298,935,estimates,1952
0_17,43.257,935,estimates,1952
0_19,47.059,935,estimates,1952
0_24,55.823,935,estimates,1952
3_4,5.421,935,estimates,1952
3_5,7.902,935,estimates,1952
3_6,10.266,935,estimates,1952
4_5,5.105,935,estimates,1952
4_6,7.469,935,estimates,1952
5_14,21.806,935,estimates,1952
5_10,13.55,935,estimates,1952
5_11,15.628,935,estimates,1952
6_9,8.967,935,estimates,1952
6_10,11.069,935,estimates,1952
6_11,13.147,935,estimates,1952
6_12,15.211,935,estimates,1952
7_10,8.705,935,estimates,1952
7_12,12.847,935,estimates,1952
11_16,12.265,935,estimates,1952
11_17,14.215,935,estimates,1952
11_18,16.134,935,estimates,1952
12_14,6.178,935,estimates,1952
12_16,10.187,935,estimates,1952
12_17,12.138,935,estimates,1952
12_18,14.056,935,estimates,1952
13_17,10.073,935,estimates,1952
13_18,11.992,935,estimates,1952
13_19,13.875,935,estimates,1952
15_17,5.959,935,estimates,1952
18_23,10.903,935,estimates,1952
15_24,18.525,935,estimates,1952
15_49,49.206,935,estimates,1952
15_59,56.204,935,estimates,1952
15_64,58.692,935,estimates,1952
20_64,48.931,935,estimates,1952
20_69,50.742,935,estimates,1952
25_49,30.681,935,estimates,1952
25_64,40.167,935,estimates,1952
25_69,41.977,935,estimates,1952
15plus,62.702,935,estimates,1952
16plus,60.678,935,estimates,1952
17plus,58.694,935,estimates,1952
18plus,56.743,935,estimates,1952
20plus,52.941,935,estimates,1952
21plus,51.099,935,estimates,1952
25plus,44.177,935,estimates,1952
50plus,13.496,935,estimates,1952
60plus,6.498,935,estimates,1952
65plus,4.01,935,estimates,1952
70plus,2.199,935,estimates,1952
75plus,1.046,935,estimates,1952
80plus,0.4,935,estimates,1952
85plus,0.114,935,estimates,1952
90plus,0.025,935,estimates,1952
total,100,935,estimates,1952
"Region, subregion, country or area *",ASIA,935,estimates,1953
0_1,7.224,935,estimates,1953
