agebroad,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",NORTHERN AMERICA,905,estimates,1950
0_1,4.674,905,estimates,1950
0_4,10.94,905,estimates,1950
0_14,27.054,905,estimates,1950
0_17,31.286,905,estimates,1950
0_19,34.181,905,estimates,1950
0_24,41.925,905,estimates,1950
3_4,4.081,905,estimates,1950
3_5,5.987,905,estimates,1950
3_6,7.809,905,estimates,1950
4_5,3.899,905,estimates,1950
4_6,5.721,905,estimates,1950
5_14,16.115,905,estimates,1950
5_10,10.304,905,estimates,1950
5_11,11.803,905,estimates,1950
6_9,6.848,905,estimates,1950
6_10,8.399,905,estimates,1950
6_11,9.897,905,estimates,1950
6_12,11.356,905,estimates,1950
7_10,6.577,905,estimates,1950
7_12,9.534,905,estimates,1950
11_16,8.628,905,estimates,1950
11_17,10.042,905,estimates,1950
11_18,11.475,905,estimates,1950
12_14,4.312,905,estimates,1950
12_16,7.13,905,estimates,1950
12_17,8.543,905,estimates,1950
12_18,9.976,905,estimates,1950
13_17,7.084,905,estimates,1950
13_18,8.518,905,estimates,1950
13_19,9.98,905,estimates,1950
15_17,4.231,905,estimates,1950
18_23,9.044,905,estimates,1950
15_24,14.87,905,estimates,1950
15_49,50.473,905,estimates,1950
15_59,60.614,905,estimates,1950
15_64,64.779,905,estimates,1950
20_64,57.652,905,estimates,1950
20_69,61.073,905,estimates,1950
25_49,35.603,905,estimates,1950
25_64,49.909,905,estimates,1950
25_69,53.329,905,estimates,1950
15plus,72.946,905,estimates,1950
16plus,71.534,905,estimates,1950
17plus,70.128,905,estimates,1950
18plus,68.714,905,estimates,1950
20plus,65.819,905,estimates,1950
21plus,64.326,905,estimates,1950
25plus,58.075,905,estimates,1950
50plus,22.473,905,estimates,1950
60plus,12.332,905,estimates,1950
65plus,8.167,905,estimates,1950
70plus,4.746,905,estimates,1950
75plus,2.519,905,estimates,1950
80plus,1.128,905,estimates,1950
85plus,0.463,905,estimates,1950
90plus,0.142,905,estimates,1950
total,100,905,estimates,1950
"Region, subregion, country or area *",NORTHERN AMERICA,905,estimates,1951
0_1,4.662,905,estimates,1951
0_4,11.122,905,estimates,1951
0_14,27.565,905,estimates,1951
0_17,31.716,905,estimates,1951
0_19,34.504,905,estimates,1951
0_24,41.997,905,estimates,1951
3_4,4.213,905,estimates,1951
3_5,6.183,905,estimates,1951
3_6,8.066,905,estimates,1951
4_5,4.03,905,estimates,1951
4_6,5.913,905,estimates,1951
5_14,16.443,905,estimates,1951
5_10,10.609,905,estimates,1951
5_11,12.135,905,estimates,1951
6_9,7.054,905,estimates,1951
6_10,8.639,905,estimates,1951
6_11,10.165,905,estimates,1951
6_12,11.637,905,estimates,1951
7_10,6.756,905,estimates,1951
7_12,9.754,905,estimates,1951
11_16,8.607,905,estimates,1951
11_17,9.984,905,estimates,1951
11_18,11.368,905,estimates,1951
12_14,4.308,905,estimates,1951
12_16,7.081,905,estimates,1951
12_17,8.458,905,estimates,1951
12_18,9.842,905,estimates,1951
13_17,6.986,905,estimates,1951
13_18,8.37,905,estimates,1951
13_19,9.775,905,estimates,1951
15_17,4.15,905,estimates,1951
18_23,8.726,905,estimates,1951
15_24,14.431,905,estimates,1951
15_49,49.883,905,estimates,1951
15_59,59.99,905,estimates,1951
15_64,64.134,905,estimates,1951
20_64,57.195,905,estimates,1951
20_69,60.607,905,estimates,1951
25_49,35.452,905,estimates,1951
25_64,49.702,905,estimates,1951
25_69,53.115,905,estimates,1951
15plus,72.435,905,estimates,1951
16plus,71.044,905,estimates,1951
17plus,69.661,905,estimates,1951
18plus,68.284,905,estimates,1951
20plus,65.496,905,estimates,1951
21plus,64.06,905,estimates,1951
25plus,58.003,905,estimates,1951
50plus,22.552,905,estimates,1951
60plus,12.444,905,estimates,1951
65plus,8.301,905,estimates,1951
70plus,4.888,905,estimates,1951
75plus,2.595,905,estimates,1951
80plus,1.17,905,estimates,1951
85plus,0.473,905,estimates,1951
90plus,0.152,905,estimates,1951
total,100,905,estimates,1951
"Region, subregion, country or area *",NORTHERN AMERICA,905,estimates,1952
0_1,4.54,905,estimates,1952
0_4,11.17,905,estimates,1952
0_14,28.037,905,estimates,1952
0_17,32.132,905,estimates,1952
0_19,34.836,905,estimates,1952
0_24,42.059,905,estimates,1952
3_4,4.333,905,estimates,1952
3_5,6.368,905,estimates,1952
3_6,8.315,905,estimates,1952
4_5,4.158,905,estimates,1952
4_6,6.105,905,estimates,1952
5_14,16.866,905,estimates,1952
5_10,10.95,905,estimates,1952
5_11,12.512,905,estimates,1952
6_9,7.287,905,estimates,1952
6_10,8.915,905,estimates,1952
6_11,10.477,905,estimates,1952
6_12,11.98,905,estimates,1952
7_10,6.968,905,estimates,1952
7_12,10.033,905,estimates,1952
11_16,8.658,905,estimates,1952
11_17,10.012,905,estimates,1952
11_18,11.361,905,estimates,1952
12_14,4.354,905,estimates,1952
12_16,7.096,905,estimates,1952
12_17,8.45,905,estimates,1952
12_18,9.798,905,estimates,1952
13_17,6.947,905,estimates,1952
13_18,8.296,905,estimates,1952
13_19,9.651,905,estimates,1952
15_17,4.096,905,estimates,1952
18_23,8.415,905,estimates,1952
15_24,14.022,905,estimates,1952
15_49,49.289,905,estimates,1952
15_59,59.402,905,estimates,1952
15_64,63.543,905,estimates,1952
20_64,56.743,905,estimates,1952
20_69,60.142,905,estimates,1952
25_49,35.267,905,estimates,1952
25_64,49.52,905,estimates,1952
25_69,52.919,905,estimates,1952
15plus,71.963,905,estimates,1952
16plus,70.585,905,estimates,1952
17plus,69.222,905,estimates,1952
18plus,67.868,905,estimates,1952
20plus,65.164,905,estimates,1952
21plus,63.786,905,estimates,1952
25plus,57.941,905,estimates,1952
50plus,22.674,905,estimates,1952
60plus,12.561,905,estimates,1952
65plus,8.42,905,estimates,1952
70plus,5.022,905,estimates,1952
75plus,2.659,905,estimates,1952
80plus,1.21,905,estimates,1952
85plus,0.472,905,estimates,1952
90plus,0.159,905,estimates,1952
total,100,905,estimates,1952
"Region, subregion, country or area *",NORTHERN AMERICA,905,estimates,1953
0_1,4.532,905,estimates,1953
0_4,11.201,905,estimates,1953
0_14,28.541,905,estimates,1953
0_17,32.604,905,estimates,1953
0_19,35.25,905,estimates,1953
0_24,42.188,905,estimates,1953
3_4,4.424,905,estimates,1953
3_5,6.516,905,estimates,1953
3_6,8.524,905,estimates,1953
4_5,4.265,905,estimates,1953
4_6,6.273,905,estimates,1953
5_14,17.34,905,estimates,1953
5_10,11.296,905,estimates,1953
5_11,12.901,905,estimates,1953
6_9,7.527,905,estimates,1953
6_10,9.204,905,estimates,1953
6_11,10.809,905,estimates,1953
6_12,12.349,905,estimates,1953
7_10,7.196,905,estimates,1953
7_12,10.341,905,estimates,1953
11_16,8.772,905,estimates,1953
11_17,10.108,905,estimates,1953
11_18,11.434,905,estimates,1953
12_14,4.439,905,estimates,1953
12_16,7.167,905,estimates,1953
12_17,8.503,905,estimates,1953
12_18,9.829,905,estimates,1953
13_17,6.964,905,estimates,1953
13_18,8.29,905,estimates,1953
13_19,9.609,905,estimates,1953
15_17,4.064,905,estimates,1953
18_23,8.126,905,estimates,1953
15_24,13.647,905,estimates,1953
15_49,48.633,905,estimates,1953
15_59,58.786,905,estimates,1953
15_64,62.936,905,estimates,1953
20_64,56.227,905,estimates,1953
20_69,59.619,905,estimates,1953
25_49,34.986,905,estimates,1953
25_64,49.289,905,estimates,1953
25_69,52.681,905,estimates,1953
15plus,71.459,905,estimates,1953
16plus,70.082,905,estimates,1953
17plus,68.732,905,estimates,1953
18plus,67.396,905,estimates,1953
20plus,64.75,905,estimates,1953
21plus,63.423,905,estimates,1953
25plus,57.812,905,estimates,1953
50plus,22.826,905,estimates,1953
60plus,12.673,905,estimates,1953
65plus,8.523,905,estimates,1953
70plus,5.131,905,estimates,1953
75plus,2.713,905,estimates,1953
80plus,1.243,905,estimates,1953
85plus,0.461,905,estimates,1953
90plus,0.159,905,estimates,1953
total,100,905,estimates,1953
