continent,variant,gender,freq,year,mortality15to60per1000aliveat15
903,estimates,female,5yearly,1950,431.403978623803
903,estimates,male,5yearly,1950,495.003450979953
903,estimates,female,5yearly,1955,408.526873371408
903,estimates,male,5yearly,1955,471.310949948165
903,estimates,female,5yearly,1960,385.404468821017
903,estimates,male,5yearly,1960,447.309604520818
903,estimates,female,5yearly,1965,364.479498846954
903,estimates,male,5yearly,1965,425.21843065119
903,estimates,female,5yearly,1970,342.820115545052
903,estimates,male,5yearly,1970,405.489088717477
903,estimates,female,5yearly,1975,322.431930494355
903,estimates,male,5yearly,1975,385.813396380768
903,estimates,female,5yearly,1980,305.85827063752
903,estimates,male,5yearly,1980,369.987114607866
903,estimates,female,5yearly,1985,295.224537151411
903,estimates,male,5yearly,1985,362.939780513768
903,estimates,female,5yearly,1990,304.228221582636
903,estimates,male,5yearly,1990,376.080111801252
903,estimates,female,5yearly,1995,326.988763343404
903,estimates,male,5yearly,1995,391.164779291568
903,estimates,female,5yearly,2000,338.793716216237
903,estimates,male,5yearly,2000,393.183512117999
903,estimates,female,5yearly,2005,298.750186970532
903,estimates,male,5yearly,2005,348.358998217701
903,estimates,female,5yearly,2010,247.59615747656
903,estimates,male,5yearly,2010,304.376003713274
903,medium_variant,female,5yearly,2015,220.332632382899
903,medium_variant,male,5yearly,2015,275.821353085164
903,medium_variant,female,5yearly,2020,204.080321497377
903,medium_variant,male,5yearly,2020,258.447613622679
903,medium_variant,female,5yearly,2025,187.5085965297
903,medium_variant,male,5yearly,2025,240.270412712531
903,medium_variant,female,5yearly,2030,171.300550275648
903,medium_variant,male,5yearly,2030,223.096859784014
903,medium_variant,female,5yearly,2035,156.111906295804
903,medium_variant,male,5yearly,2035,208.228679841389
903,medium_variant,female,5yearly,2040,143.056968575245
903,medium_variant,male,5yearly,2040,195.04075525057
903,medium_variant,female,5yearly,2045,131.393332293298
903,medium_variant,male,5yearly,2045,183.279708034338
903,medium_variant,female,5yearly,2050,121.048976765395
903,medium_variant,male,5yearly,2050,173.368980017062
903,medium_variant,female,5yearly,2055,111.977317634274
903,medium_variant,male,5yearly,2055,164.290174878251
903,medium_variant,female,5yearly,2060,103.769257391874
903,medium_variant,male,5yearly,2060,155.518792603079
903,medium_variant,female,5yearly,2065,96.3358403063906
903,medium_variant,male,5yearly,2065,147.383556448996
903,medium_variant,female,5yearly,2070,89.9963828682223
903,medium_variant,male,5yearly,2070,140.327087002493
903,medium_variant,female,5yearly,2075,84.3573696232832
903,medium_variant,male,5yearly,2075,133.702783690472
903,medium_variant,female,5yearly,2080,79.2934556892303
903,medium_variant,male,5yearly,2080,127.305476889658
903,medium_variant,female,5yearly,2085,74.5303933977547
903,medium_variant,male,5yearly,2085,120.851829416313
903,medium_variant,female,5yearly,2090,70.1166230021074
903,medium_variant,male,5yearly,2090,114.546273523815
903,medium_variant,female,5yearly,2095,66.0623503828096
903,medium_variant,male,5yearly,2095,108.497388792846
903,estimates,female,5yearly,Regi,AFRICA
903,estimates,male,5yearly,Regi,AFRICA
903,medium_variant,female,5yearly,Regi,AFRICA
903,medium_variant,male,5yearly,Regi,AFRICA
