continent,variant,gender,freq,year,mortality15to60per1000aliveat15
904,estimates,female,5yearly,1950,304.72026810375
904,estimates,male,5yearly,1950,358.167360703225
904,estimates,female,5yearly,1955,273.869772152267
904,estimates,male,5yearly,1955,325.968768952062
904,estimates,female,5yearly,1960,244.213459184877
904,estimates,male,5yearly,1960,300.158039080689
904,estimates,female,5yearly,1965,219.666239849892
904,estimates,male,5yearly,1965,283.615845144188
904,estimates,female,5yearly,1970,195.648036187225
904,estimates,male,5yearly,1970,271.599519210159
904,estimates,female,5yearly,1975,179.703590191056
904,estimates,male,5yearly,1975,269.130083527732
904,estimates,female,5yearly,1980,163.00301507934
904,estimates,male,5yearly,1980,264.16298813307
904,estimates,female,5yearly,1985,149.356549958671
904,estimates,male,5yearly,1985,255.426782451303
904,estimates,female,5yearly,1990,136.219815359448
904,estimates,male,5yearly,1990,243.863772045123
904,estimates,female,5yearly,1995,122.898463811791
904,estimates,male,5yearly,1995,223.772858008029
904,estimates,female,5yearly,2000,110.905204716082
904,estimates,male,5yearly,2000,207.627292188576
904,estimates,female,5yearly,2005,102.680045873869
904,estimates,male,5yearly,2005,193.317015023874
904,estimates,female,5yearly,2010,96.085321250786
904,estimates,male,5yearly,2010,180.949680269991
904,medium_variant,female,5yearly,2015,90.0210549951854
904,medium_variant,male,5yearly,2015,170.124023979572
904,medium_variant,female,5yearly,2020,83.8990507836507
904,medium_variant,male,5yearly,2020,157.694978739646
904,medium_variant,female,5yearly,2025,78.3217926516627
904,medium_variant,male,5yearly,2025,145.630816767108
904,medium_variant,female,5yearly,2030,73.1645842230199
904,medium_variant,male,5yearly,2030,133.506036639261
904,medium_variant,female,5yearly,2035,68.3534185753213
904,medium_variant,male,5yearly,2035,121.757794522286
904,medium_variant,female,5yearly,2040,63.7757778730205
904,medium_variant,male,5yearly,2040,110.141901092572
904,medium_variant,female,5yearly,2045,59.4508741828242
904,medium_variant,male,5yearly,2045,99.0920898694112
904,medium_variant,female,5yearly,2050,55.3021890167333
904,medium_variant,male,5yearly,2050,89.427104409333
904,medium_variant,female,5yearly,2055,51.4325511796871
904,medium_variant,male,5yearly,2055,80.705785411452
904,medium_variant,female,5yearly,2060,47.808354407066
904,medium_variant,male,5yearly,2060,73.1238826543142
904,medium_variant,female,5yearly,2065,44.3326043327975
904,medium_variant,male,5yearly,2065,66.4828405490184
904,medium_variant,female,5yearly,2070,41.0563251324505
904,medium_variant,male,5yearly,2070,60.6261920454444
904,medium_variant,female,5yearly,2075,37.8772984776268
904,medium_variant,male,5yearly,2075,55.4347969336806
904,medium_variant,female,5yearly,2080,34.8676424156041
904,medium_variant,male,5yearly,2080,50.723030418528
904,medium_variant,female,5yearly,2085,32.0026688474201
904,medium_variant,male,5yearly,2085,46.3540080585418
904,medium_variant,female,5yearly,2090,29.2529189077728
904,medium_variant,male,5yearly,2090,42.3110133672089
904,medium_variant,female,5yearly,2095,26.7003229948295
904,medium_variant,male,5yearly,2095,38.5453137586549
