continent,variant,gender,freq,year,mortality15to60per1000aliveat15
935,estimates,female,5yearly,1950,439.238973524015
935,estimates,male,5yearly,1950,486.720247777661
935,estimates,female,5yearly,1955,406.009133295549
935,estimates,male,5yearly,1955,460.621890624638
935,estimates,female,5yearly,1960,377.514644962665
935,estimates,male,5yearly,1960,432.313305906696
935,estimates,female,5yearly,1965,300.5183931833
935,estimates,male,5yearly,1965,331.856848315615
935,estimates,female,5yearly,1970,241.662984690137
935,estimates,male,5yearly,1970,282.268683622783
935,estimates,female,5yearly,1975,205.557067121624
935,estimates,male,5yearly,1975,247.302586592284
935,estimates,female,5yearly,1980,182.728338872118
935,estimates,male,5yearly,1980,233.292503025432
935,estimates,female,5yearly,1985,166.945402131186
935,estimates,male,5yearly,1985,214.551408990391
935,estimates,female,5yearly,1990,152.530164812383
935,estimates,male,5yearly,1990,202.476649448615
935,estimates,female,5yearly,1995,140.591558054436
935,estimates,male,5yearly,1995,194.044270016733
935,estimates,female,5yearly,2000,128.383087081138
935,estimates,male,5yearly,2000,177.239575359164
935,estimates,female,5yearly,2005,116.971837058546
935,estimates,male,5yearly,2005,167.368580022274
935,estimates,female,5yearly,2010,105.93961910142
935,estimates,male,5yearly,2010,159.578561339888
935,medium_variant,female,5yearly,2015,98.7620344158249
935,medium_variant,male,5yearly,2015,151.415269429486
935,medium_variant,female,5yearly,2020,92.1566213979671
935,medium_variant,male,5yearly,2020,143.302925738234
935,medium_variant,female,5yearly,2025,86.9087762515576
935,medium_variant,male,5yearly,2025,137.94966571706
935,medium_variant,female,5yearly,2030,82.7171881057028
935,medium_variant,male,5yearly,2030,134.130628401224
935,medium_variant,female,5yearly,2035,78.3541885187986
935,medium_variant,male,5yearly,2035,129.339788190169
935,medium_variant,female,5yearly,2040,74.2949011471393
935,medium_variant,male,5yearly,2040,123.383819929247
935,medium_variant,female,5yearly,2045,71.2134423611395
935,medium_variant,male,5yearly,2045,118.752674776246
935,medium_variant,female,5yearly,2050,68.5126967173845
935,medium_variant,male,5yearly,2050,115.032022844545
935,medium_variant,female,5yearly,2055,65.0474671601471
935,medium_variant,male,5yearly,2055,109.575518312192
935,medium_variant,female,5yearly,2060,61.3144251327825
935,medium_variant,male,5yearly,2060,102.916578875342
935,medium_variant,female,5yearly,2065,57.7789256436073
935,medium_variant,male,5yearly,2065,96.9588266610562
935,medium_variant,female,5yearly,2070,54.6511525118027
935,medium_variant,male,5yearly,2070,91.0940959187755
935,medium_variant,female,5yearly,2075,51.6890228534229
935,medium_variant,male,5yearly,2075,85.4969357156353
935,medium_variant,female,5yearly,2080,48.6789009734613
935,medium_variant,male,5yearly,2080,79.6217083549028
935,medium_variant,female,5yearly,2085,45.6202043334611
935,medium_variant,male,5yearly,2085,73.4937124447693
935,medium_variant,female,5yearly,2090,42.7429598561262
935,medium_variant,male,5yearly,2090,67.6713511891596
935,medium_variant,female,5yearly,2095,39.87429705848
935,medium_variant,male,5yearly,2095,61.7538596648942
935,estimates,female,5yearly,Regi,ASIA
935,estimates,male,5yearly,Regi,ASIA
935,medium_variant,female,5yearly,Regi,ASIA
935,medium_variant,male,5yearly,Regi,ASIA
