continent,year,variant,freq,age1yearinterval,survivorage
935,1950,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1950,estimates,5yearly,0,100000
935,1950,estimates,5yearly,1,84322.8924154
935,1950,estimates,5yearly,5,76260.5581903955
935,1950,estimates,5yearly,10,73238.6336423874
935,1950,estimates,5yearly,15,71444.0955283595
935,1950,estimates,5yearly,20,69420.6537449441
935,1950,estimates,5yearly,25,67021.6072686885
935,1950,estimates,5yearly,30,64376.2686485832
935,1950,estimates,5yearly,35,61515.4513968648
935,1950,estimates,5yearly,40,58275.6985171579
935,1950,estimates,5yearly,45,54373.8665957903
935,1950,estimates,5yearly,50,49830.4525333919
935,1950,estimates,5yearly,55,44687.5475180737
935,1950,estimates,5yearly,60,38299.640934699
935,1950,estimates,5yearly,65,30329.1883620801
935,1950,estimates,5yearly,70,21619.053031696
935,1950,estimates,5yearly,75,13242.5449277693
935,1950,estimates,5yearly,80,6556.81842568986
935,1950,estimates,5yearly,85,2441.96238529997
935,1950,estimates,5yearly,90,632.205653533404
935,1950,estimates,5yearly,95,105.666798267637
935,1950,estimates,5yearly,100plus,10.8136030275917
935,1955,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1955,estimates,5yearly,0,100000
935,1955,estimates,5yearly,1,85304.6133924861
935,1955,estimates,5yearly,5,77963.4628833473
935,1955,estimates,5yearly,10,75328.9899812858
935,1955,estimates,5yearly,15,73771.1908021254
935,1955,estimates,5yearly,20,71978.8567724888
935,1955,estimates,5yearly,25,69847.6413668328
935,1955,estimates,5yearly,30,67475.3777681084
935,1955,estimates,5yearly,35,64824.8011758616
935,1955,estimates,5yearly,40,61740.941164074
935,1955,estimates,5yearly,45,58104.040481015
935,1955,estimates,5yearly,50,53781.8238774448
935,1955,estimates,5yearly,55,48487.7720646275
935,1955,estimates,5yearly,60,41734.6044871224
935,1955,estimates,5yearly,65,33328.5983207907
935,1955,estimates,5yearly,70,23941.7555971647
935,1955,estimates,5yearly,75,14656.293457009
935,1955,estimates,5yearly,80,7152.0481169877
935,1955,estimates,5yearly,85,2566.35913358352
935,1955,estimates,5yearly,90,620.252193031292
935,1955,estimates,5yearly,95,93.2563051133685
