variant,global,year,gender,dependencyratio2064
estimates,900,1950,male,96.755
estimates,900,1951,male,97.754
estimates,900,1952,male,98.765
estimates,900,1953,male,99.609
estimates,900,1954,male,100.137
estimates,900,1955,male,100.356
estimates,900,1956,male,101.37
estimates,900,1957,male,101.862
estimates,900,1958,male,102.161
estimates,900,1959,male,102.585
estimates,900,1960,male,103.263
estimates,900,1961,male,104.262
estimates,900,1962,male,105.619
estimates,900,1963,male,107.094
estimates,900,1964,male,108.339
estimates,900,1965,male,109.195
estimates,900,1966,male,110.603
estimates,900,1967,male,111.537
estimates,900,1968,male,112.064
estimates,900,1969,male,112.27
estimates,900,1970,male,112.178
estimates,900,1971,male,112.081
estimates,900,1972,male,111.569
estimates,900,1973,male,110.784
estimates,900,1974,male,109.861
estimates,900,1975,male,108.881
estimates,900,1976,male,108.325
estimates,900,1977,male,107.643
estimates,900,1978,male,106.821
estimates,900,1979,male,105.839
estimates,900,1980,male,104.705
estimates,900,1981,male,103.621
estimates,900,1982,male,102.499
estimates,900,1983,male,101.335
estimates,900,1984,male,100.118
estimates,900,1985,male,98.865
estimates,900,1986,male,98.093
estimates,900,1987,male,97.219
estimates,900,1988,male,96.286
estimates,900,1989,male,95.309
estimates,900,1990,male,94.276
estimates,900,1991,male,93.608
estimates,900,1992,male,92.69
estimates,900,1993,male,91.654
estimates,900,1994,male,90.654
estimates,900,1995,male,89.757
estimates,900,1996,male,88.841
estimates,900,1997,male,88.108
estimates,900,1998,male,87.444
estimates,900,1999,male,86.691
estimates,900,2000,male,85.792
estimates,900,2001,male,85.101
estimates,900,2002,male,84.303
estimates,900,2003,male,83.386
estimates,900,2004,male,82.35
estimates,900,2005,male,81.199
estimates,900,2006,male,80.151
estimates,900,2007,male,78.96
estimates,900,2008,male,77.75
estimates,900,2009,male,76.654
estimates,900,2010,male,75.742
estimates,900,2011,male,75.098
estimates,900,2012,male,74.563
estimates,900,2013,male,74.144
estimates,900,2014,male,73.833
estimates,900,2015,male,73.621
medium_variant,900,2015,male,73.621
medium_variant,900,2016,male,73.62
medium_variant,900,2017,male,73.689
medium_variant,900,2018,male,73.795
medium_variant,900,2019,male,73.889
medium_variant,900,2020,male,73.942
medium_variant,900,2021,male,74.06
medium_variant,900,2022,male,74.126
medium_variant,900,2023,male,74.154
medium_variant,900,2024,male,74.162
medium_variant,900,2025,male,74.168
medium_variant,900,2026,male,74.277
medium_variant,900,2027,male,74.354
medium_variant,900,2028,male,74.405
medium_variant,900,2029,male,74.438
medium_variant,900,2030,male,74.458
medium_variant,900,2031,male,74.571
medium_variant,900,2032,male,74.648
medium_variant,900,2033,male,74.702
medium_variant,900,2034,male,74.74
medium_variant,900,2035,male,74.772
medium_variant,900,2036,male,74.887
medium_variant,900,2037,male,74.979
medium_variant,900,2038,male,75.047
medium_variant,900,2039,male,75.083
medium_variant,900,2040,male,75.086
medium_variant,900,2041,male,75.146
medium_variant,900,2042,male,75.157
medium_variant,900,2043,male,75.146
medium_variant,900,2044,male,75.147
medium_variant,900,2045,male,75.183
medium_variant,900,2046,male,75.335
medium_variant,900,2047,male,75.484
medium_variant,900,2048,male,75.651
medium_variant,900,2049,male,75.86
medium_variant,900,2050,male,76.124
medium_variant,900,2051,male,76.518
medium_variant,900,2052,male,76.938
medium_variant,900,2053,male,77.358
medium_variant,900,2054,male,77.737
medium_variant,900,2055,male,78.048
medium_variant,900,2056,male,78.372
medium_variant,900,2057,male,78.609
medium_variant,900,2058,male,78.77
medium_variant,900,2059,male,78.876
