country,year,variant,gender,freq,age1yearinterval,lifeexpectancy
214,1950,estimates,female,5yearly,0,47.31
214,1950,estimates,male,5yearly,0,44.74
214,1950,estimates,female,5yearly,1,54.25
214,1950,estimates,male,5yearly,1,52.28
214,1950,estimates,female,5yearly,5,57.23
214,1950,estimates,male,5yearly,5,55.06
214,1950,estimates,female,5yearly,10,53.52
214,1950,estimates,male,5yearly,10,51.38
214,1950,estimates,female,5yearly,15,49.21
214,1950,estimates,male,5yearly,15,47.07
214,1950,estimates,female,5yearly,20,45.1
214,1950,estimates,male,5yearly,20,43.03
214,1950,estimates,female,5yearly,25,41.18
214,1950,estimates,male,5yearly,25,39.17
214,1950,estimates,female,5yearly,30,37.34
214,1950,estimates,male,5yearly,30,35.42
214,1950,estimates,female,5yearly,35,33.53
214,1950,estimates,male,5yearly,35,31.62
214,1950,estimates,female,5yearly,40,29.72
214,1950,estimates,male,5yearly,40,27.81
214,1950,estimates,female,5yearly,45,25.93
214,1950,estimates,male,5yearly,45,24.08
214,1950,estimates,female,5yearly,50,22.16
214,1950,estimates,male,5yearly,50,20.47
214,1950,estimates,female,5yearly,55,18.38
214,1950,estimates,male,5yearly,55,17.04
214,1950,estimates,female,5yearly,60,14.95
214,1950,estimates,male,5yearly,60,13.82
214,1950,estimates,female,5yearly,65,11.86
214,1950,estimates,male,5yearly,65,10.97
214,1950,estimates,female,5yearly,70,9.2
214,1950,estimates,male,5yearly,70,8.44
214,1950,estimates,female,5yearly,75,7.03
214,1950,estimates,male,5yearly,75,6.51
214,1950,estimates,female,5yearly,80,5.37
214,1950,estimates,male,5yearly,80,5.11
214,1950,estimates,female,5yearly,85,4.1674866
214,1950,estimates,male,5yearly,85,4.0577362
214,1950,estimates,female,5yearly,90,3.3224692
214,1950,estimates,male,5yearly,90,3.2974959
214,1950,estimates,female,5yearly,95,2.7309659
214,1950,estimates,male,5yearly,95,2.7519775
214,1950,estimates,female,5yearly,100plus,2.3161087
214,1950,estimates,male,5yearly,100plus,2.3593336
214,1955,estimates,female,5yearly,0,51.41
214,1955,estimates,male,5yearly,0,48.56
214,1955,estimates,female,5yearly,1,58.04
214,1955,estimates,male,5yearly,1,55.87
214,1955,estimates,female,5yearly,5,59.79
214,1955,estimates,male,5yearly,5,57.5
214,1955,estimates,female,5yearly,10,55.83
214,1955,estimates,male,5yearly,10,53.58
214,1955,estimates,female,5yearly,15,51.4
214,1955,estimates,male,5yearly,15,49.16
214,1955,estimates,female,5yearly,20,47.15
214,1955,estimates,male,5yearly,20,44.95
214,1955,estimates,female,5yearly,25,43.03
214,1955,estimates,male,5yearly,25,40.91
214,1955,estimates,female,5yearly,30,39.01
214,1955,estimates,male,5yearly,30,36.96
214,1955,estimates,female,5yearly,35,35.01
214,1955,estimates,male,5yearly,35,32.98
214,1955,estimates,female,5yearly,40,31.03
214,1955,estimates,male,5yearly,40,29.01
214,1955,estimates,female,5yearly,45,27.07
214,1955,estimates,male,5yearly,45,25.1
214,1955,estimates,female,5yearly,50,23.17
214,1955,estimates,male,5yearly,50,21.32
214,1955,estimates,female,5yearly,55,19.32
214,1955,estimates,male,5yearly,55,17.75
214,1955,estimates,female,5yearly,60,15.78
214,1955,estimates,male,5yearly,60,14.39
214,1955,estimates,female,5yearly,65,12.54
214,1955,estimates,male,5yearly,65,11.41
214,1955,estimates,female,5yearly,70,9.72
214,1955,estimates,male,5yearly,70,8.85
214,1955,estimates,female,5yearly,75,7.39
214,1955,estimates,male,5yearly,75,6.84
214,1955,estimates,female,5yearly,80,5.63
214,1955,estimates,male,5yearly,80,5.31
214,1955,estimates,female,5yearly,85,4.3467112
214,1955,estimates,male,5yearly,85,4.1813481
214,1955,estimates,female,5yearly,90,3.4411356
214,1955,estimates,male,5yearly,90,3.3741015
214,1955,estimates,female,5yearly,95,2.8088578
214,1955,estimates,male,5yearly,95,2.7980124
214,1955,estimates,female,5yearly,100plus,2.3672022
214,1955,estimates,male,5yearly,100plus,2.3859934
214,1960,estimates,female,5yearly,0,55.22
214,1960,estimates,male,5yearly,0,52.14
214,1960,estimates,female,5yearly,1,61.38
214,1960,estimates,male,5yearly,1,59.03
214,1960,estimates,female,5yearly,5,62.04
214,1960,estimates,male,5yearly,5,59.64
214,1960,estimates,female,5yearly,10,57.87
214,1960,estimates,male,5yearly,10,55.52
214,1960,estimates,female,5yearly,15,53.34
214,1960,estimates,male,5yearly,15,51.01
214,1960,estimates,female,5yearly,20,48.95
214,1960,estimates,male,5yearly,20,46.63
214,1960,estimates,female,5yearly,25,44.67
214,1960,estimates,male,5yearly,25,42.43
