country,year,variant,gender,freq,age1yearinterval,lifeexpectancy
800,1950,estimates,female,5yearly,0,41.600024
800,1950,estimates,male,5yearly,0,38.469982
800,1950,estimates,female,5yearly,1,47.759551
800,1950,estimates,male,5yearly,1,45.426136
800,1950,estimates,female,5yearly,5,50.556899
800,1950,estimates,male,5yearly,5,48.221327
800,1950,estimates,female,5yearly,10,48.384505
800,1950,estimates,male,5yearly,10,45.971977
800,1950,estimates,female,5yearly,15,44.780852
800,1950,estimates,male,5yearly,15,42.272747
800,1950,estimates,female,5yearly,20,41.145485
800,1950,estimates,male,5yearly,20,38.621091
800,1950,estimates,female,5yearly,25,37.5879
800,1950,estimates,male,5yearly,25,35.367927
800,1950,estimates,female,5yearly,30,34.12488
800,1950,estimates,male,5yearly,30,32.057395
800,1950,estimates,female,5yearly,35,30.737686
800,1950,estimates,male,5yearly,35,28.68288
800,1950,estimates,female,5yearly,40,27.393254
800,1950,estimates,male,5yearly,40,25.321427
800,1950,estimates,female,5yearly,45,24.009984
800,1950,estimates,male,5yearly,45,22.058155
800,1950,estimates,female,5yearly,50,20.534661
800,1950,estimates,male,5yearly,50,18.859626
800,1950,estimates,female,5yearly,55,17.125308
800,1950,estimates,male,5yearly,55,15.775695
800,1950,estimates,female,5yearly,60,13.90249
800,1950,estimates,male,5yearly,60,12.842568
800,1950,estimates,female,5yearly,65,10.98504
800,1950,estimates,male,5yearly,65,10.153968
800,1950,estimates,female,5yearly,70,8.4561623
800,1950,estimates,male,5yearly,70,7.7562527
800,1950,estimates,female,5yearly,75,6.3980088
800,1950,estimates,male,5yearly,75,5.8053145
800,1950,estimates,female,5yearly,80,4.7405131
800,1950,estimates,male,5yearly,80,4.2441342
800,1950,estimates,female,5yearly,85,3.533947
800,1950,estimates,male,5yearly,85,3.0861394
800,1950,estimates,female,5yearly,90,2.6884764
800,1950,estimates,male,5yearly,90,2.2944808
800,1950,estimates,female,5yearly,95,2.0960537
800,1950,estimates,male,5yearly,95,1.7537833
800,1950,estimates,female,5yearly,100plus,1.6986597
800,1950,estimates,male,5yearly,100plus,1.4490789
800,1955,estimates,female,5yearly,0,44.2
800,1955,estimates,male,5yearly,0,41.069972
800,1955,estimates,female,5yearly,1,49.985529
800,1955,estimates,male,5yearly,1,47.614517
800,1955,estimates,female,5yearly,5,52.253193
800,1955,estimates,male,5yearly,5,49.875757
800,1955,estimates,female,5yearly,10,49.85239
800,1955,estimates,male,5yearly,10,47.412086
800,1955,estimates,female,5yearly,15,46.142341
800,1955,estimates,male,5yearly,15,43.616419
800,1955,estimates,female,5yearly,20,42.413288
800,1955,estimates,male,5yearly,20,39.88724
800,1955,estimates,female,5yearly,25,38.763949
800,1955,estimates,male,5yearly,25,36.535902
800,1955,estimates,female,5yearly,30,35.203363
800,1955,estimates,male,5yearly,30,33.129525
800,1955,estimates,female,5yearly,35,31.709805
800,1955,estimates,male,5yearly,35,29.663413
800,1955,estimates,female,5yearly,40,28.254429
800,1955,estimates,male,5yearly,40,26.206964
800,1955,estimates,female,5yearly,45,24.774795
800,1955,estimates,male,5yearly,45,22.844867
800,1955,estimates,female,5yearly,50,21.215523
800,1955,estimates,male,5yearly,50,19.546702
800,1955,estimates,female,5yearly,55,17.733537
800,1955,estimates,male,5yearly,55,16.37542
800,1955,estimates,female,5yearly,60,14.431086
800,1955,estimates,male,5yearly,60,13.352888
800,1955,estimates,female,5yearly,65,11.43259
800,1955,estimates,male,5yearly,65,10.583817
800,1955,estimates,female,5yearly,70,8.8227018
800,1955,estimates,male,5yearly,70,8.114338
800,1955,estimates,female,5yearly,75,6.6830708
800,1955,estimates,male,5yearly,75,6.0878731
800,1955,estimates,female,5yearly,80,4.9539654
800,1955,estimates,male,5yearly,80,4.4580693
800,1955,estimates,female,5yearly,85,3.6865139
800,1955,estimates,male,5yearly,85,3.2395171
800,1955,estimates,female,5yearly,90,2.7925962
800,1955,estimates,male,5yearly,90,2.39917
800,1955,estimates,female,5yearly,95,2.1630797
800,1955,estimates,male,5yearly,95,1.8212308
800,1955,estimates,female,5yearly,100plus,1.7408937
800,1955,estimates,male,5yearly,100plus,1.4911164
800,1960,estimates,female,5yearly,0,47
800,1960,estimates,male,5yearly,0,43.84
800,1960,estimates,female,5yearly,1,52.365315
800,1960,estimates,male,5yearly,1,49.921856
800,1960,estimates,female,5yearly,5,54.065573
800,1960,estimates,male,5yearly,5,51.621301
800,1960,estimates,female,5yearly,10,51.422274
800,1960,estimates,male,5yearly,10,48.932584
800,1960,estimates,female,5yearly,15,47.59939
800,1960,estimates,male,5yearly,15,45.037424
800,1960,estimates,female,5yearly,20,43.770957
800,1960,estimates,male,5yearly,20,41.228394
800,1960,estimates,female,5yearly,25,40.024336
800,1960,estimates,male,5yearly,25,37.775981
800,1960,estimates,female,5yearly,30,36.360264
800,1960,estimates,male,5yearly,30,34.271089
800,1960,estimates,female,5yearly,35,32.753767
800,1960,estimates,male,5yearly,35,30.710791
800,1960,estimates,female,5yearly,40,29.180914
800,1960,estimates,male,5yearly,40,27.156818
800,1960,estimates,female,5yearly,45,25.599304
800,1960,estimates,male,5yearly,45,23.692528
800,1960,estimates,female,5yearly,50,21.95126
800,1960,estimates,male,5yearly,50,20.289316
800,1960,estimates,female,5yearly,55,18.392304
800,1960,estimates,male,5yearly,55,17.025227
800,1960,estimates,female,5yearly,60,15.005316
800,1960,estimates,male,5yearly,60,13.903798
800,1960,estimates,female,5yearly,65,11.919194
800,1960,estimates,male,5yearly,65,11.045328
800,1960,estimates,female,5yearly,70,9.2239328
800,1960,estimates,male,5yearly,70,8.4975575
800,1960,estimates,female,5yearly,75,6.9964076
800,1960,estimates,male,5yearly,75,6.3883574
800,1960,estimates,female,5yearly,80,5.1902673
800,1960,estimates,male,5yearly,80,4.6846411
800,1960,estimates,female,5yearly,85,3.8561782
800,1960,estimates,male,5yearly,85,3.400905
800,1960,estimates,female,5yearly,90,2.9085512
800,1960,estimates,male,5yearly,90,2.5083914
800,1960,estimates,female,5yearly,95,2.2377281
800,1960,estimates,male,5yearly,95,1.8909621
800,1960,estimates,female,5yearly,100plus,1.7878751
800,1960,estimates,male,5yearly,100plus,1.5341259
800,1965,estimates,female,5yearly,0,49.67
800,1965,estimates,male,5yearly,0,46.61
800,1965,estimates,female,5yearly,1,54.619261
800,1965,estimates,male,5yearly,1,52.224173
800,1965,estimates,female,5yearly,5,55.699279
800,1965,estimates,male,5yearly,5,53.267351
800,1965,estimates,female,5yearly,10,52.796146
800,1965,estimates,male,5yearly,10,50.332333
800,1965,estimates,female,5yearly,15,48.866732
