country,year,variant,gender,freq,age1yearinterval,lifeexpectancy
834,1950,estimates,female,5yearly,0,42.93
834,1950,estimates,male,5yearly,0,39.590026
834,1950,estimates,female,5yearly,1,48.900364
834,1950,estimates,male,5yearly,1,46.371235
834,1950,estimates,female,5yearly,5,51.4269
834,1950,estimates,male,5yearly,5,48.936636
834,1950,estimates,female,5yearly,10,49.13762
834,1950,estimates,male,5yearly,10,46.594853
834,1950,estimates,female,5yearly,15,45.479454
834,1950,estimates,male,5yearly,15,42.854007
834,1950,estimates,female,5yearly,20,41.796077
834,1950,estimates,male,5yearly,20,39.16884
834,1950,estimates,female,5yearly,25,38.19151
834,1950,estimates,male,5yearly,25,35.873261
834,1950,estimates,female,5yearly,30,34.67851
834,1950,estimates,male,5yearly,30,32.521305
834,1950,estimates,female,5yearly,35,31.236802
834,1950,estimates,male,5yearly,35,29.107263
834,1950,estimates,female,5yearly,40,27.835525
834,1950,estimates,male,5yearly,40,25.704828
834,1950,estimates,female,5yearly,45,24.402832
834,1950,estimates,male,5yearly,45,22.39893
834,1950,estimates,female,5yearly,50,20.884461
834,1950,estimates,male,5yearly,50,19.157413
834,1950,estimates,female,5yearly,55,17.4379
834,1950,estimates,male,5yearly,55,16.035761
834,1950,estimates,female,5yearly,60,14.17434
834,1950,estimates,male,5yearly,60,13.06409
834,1950,estimates,female,5yearly,65,11.215482
834,1950,estimates,male,5yearly,65,10.340786
834,1950,estimates,female,5yearly,70,8.645232
834,1950,estimates,male,5yearly,70,7.9121871
834,1950,estimates,female,5yearly,75,6.545421
834,1950,estimates,male,5yearly,75,5.9287344
834,1950,estimates,female,5yearly,80,4.8511689
834,1950,estimates,male,5yearly,80,4.3377572
834,1950,estimates,female,5yearly,85,3.6133376
834,1950,estimates,male,5yearly,85,3.1534308
834,1950,estimates,female,5yearly,90,2.7428745
834,1950,estimates,male,5yearly,90,2.3405683
834,1950,estimates,female,5yearly,95,2.1312184
834,1950,estimates,male,5yearly,95,1.7835603
834,1950,estimates,female,5yearly,100plus,1.7209549
834,1950,estimates,male,5yearly,100plus,1.4677041
834,1955,estimates,female,5yearly,0,44.71
834,1955,estimates,male,5yearly,0,41.360004
834,1955,estimates,female,5yearly,1,50.420019
834,1955,estimates,male,5yearly,1,47.857418
834,1955,estimates,female,5yearly,5,52.584514
834,1955,estimates,male,5yearly,5,50.059285
834,1955,estimates,female,5yearly,10,50.139511
834,1955,estimates,male,5yearly,10,47.571896
834,1955,estimates,female,5yearly,15,46.408876
834,1955,estimates,male,5yearly,15,43.76556
834,1955,estimates,female,5yearly,20,42.66164
834,1955,estimates,male,5yearly,20,40.027793
834,1955,estimates,female,5yearly,25,38.994434
834,1955,estimates,male,5yearly,25,36.665568
834,1955,estimates,female,5yearly,30,35.41486
834,1955,estimates,male,5yearly,30,33.248569
834,1955,estimates,female,5yearly,35,31.900646
834,1955,estimates,male,5yearly,35,29.772285
834,1955,estimates,female,5yearly,40,28.423743
834,1955,estimates,male,5yearly,40,26.305286
834,1955,estimates,female,5yearly,45,24.925377
834,1955,estimates,male,5yearly,45,22.932211
834,1955,estimates,female,5yearly,50,21.349757
834,1955,estimates,male,5yearly,50,19.622982
834,1955,estimates,female,5yearly,55,17.853547
834,1955,estimates,male,5yearly,55,16.441993
834,1955,estimates,female,5yearly,60,14.535472
834,1955,estimates,male,5yearly,60,13.409499
834,1955,estimates,female,5yearly,65,11.521001
834,1955,estimates,male,5yearly,65,10.63145
834,1955,estimates,female,5yearly,70,8.8950817
834,1955,estimates,male,5yearly,70,8.1539255
834,1955,estimates,female,5yearly,75,6.7392998
834,1955,estimates,male,5yearly,75,6.1189901
834,1955,estimates,female,5yearly,80,4.9960075
834,1955,estimates,male,5yearly,80,4.4815737
834,1955,estimates,female,5yearly,85,3.716459
834,1955,estimates,male,5yearly,85,3.2563095
834,1955,estimates,female,5yearly,90,2.8129387
834,1955,estimates,male,5yearly,90,2.4105722
834,1955,estimates,female,5yearly,95,2.1761041
834,1955,estimates,male,5yearly,95,1.8285429
834,1955,estimates,female,5yearly,100plus,1.7490333
834,1955,estimates,male,5yearly,100plus,1.4956454
834,1960,estimates,female,5yearly,0,46.01
834,1960,estimates,male,5yearly,0,42.619966
834,1960,estimates,female,5yearly,1,51.525817
834,1960,estimates,male,5yearly,1,48.909529
834,1960,estimates,female,5yearly,5,53.425944
834,1960,estimates,male,5yearly,5,50.855521
834,1960,estimates,female,5yearly,10,50.867761
834,1960,estimates,male,5yearly,10,48.26608
834,1960,estimates,female,5yearly,15,47.084497
834,1960,estimates,male,5yearly,15,44.413985
834,1960,estimates,female,5yearly,20,43.290987
834,1960,estimates,male,5yearly,20,40.639218
834,1960,estimates,female,5yearly,25,39.578547
834,1960,estimates,male,5yearly,25,37.230082
834,1960,estimates,female,5yearly,30,35.950848
834,1960,estimates,male,5yearly,30,33.767342
834,1960,estimates,female,5yearly,35,32.38406
834,1960,estimates,male,5yearly,35,30.247263
834,1960,estimates,female,5yearly,40,28.852458
834,1960,estimates,male,5yearly,40,26.734893
834,1960,estimates,female,5yearly,45,25.306679
834,1960,estimates,male,5yearly,45,23.314536
834,1960,estimates,female,5yearly,50,21.689824
834,1960,estimates,male,5yearly,50,19.957462
834,1960,estimates,female,5yearly,55,18.157939
834,1960,estimates,male,5yearly,55,16.734326
834,1960,estimates,female,5yearly,60,14.800689
834,1960,estimates,male,5yearly,60,13.658235
834,1960,estimates,female,5yearly,65,11.745604
834,1960,estimates,male,5yearly,65,10.840777
834,1960,estimates,female,5yearly,70,9.0802864
