variant,region,year,gender,childdependencyratio1564
estimates,5500,1950,male,57.525
estimates,5500,1951,male,57.734
estimates,5500,1952,male,57.192
estimates,5500,1953,male,56.687
estimates,5500,1954,male,56.844
estimates,5500,1955,male,57.939
estimates,5500,1956,male,60.375
estimates,5500,1957,male,63.247
estimates,5500,1958,male,66.515
estimates,5500,1959,male,69.952
estimates,5500,1960,male,73.348
estimates,5500,1961,male,76.44
estimates,5500,1962,male,79.636
estimates,5500,1963,male,82.616
estimates,5500,1964,male,84.938
estimates,5500,1965,male,86.354
estimates,5500,1966,male,87.532
estimates,5500,1967,male,87.699
estimates,5500,1968,male,87.097
estimates,5500,1969,male,86.13
estimates,5500,1970,male,84.996
estimates,5500,1971,male,83.058
estimates,5500,1972,male,81.375
estimates,5500,1973,male,79.788
estimates,5500,1974,male,78.023
estimates,5500,1975,male,76.002
estimates,5500,1976,male,74.617
estimates,5500,1977,male,72.925
estimates,5500,1978,male,71.186
estimates,5500,1979,male,69.743
estimates,5500,1980,male,68.715
estimates,5500,1981,male,67.883
estimates,5500,1982,male,67.432
estimates,5500,1983,male,67.269
estimates,5500,1984,male,67.195
estimates,5500,1985,male,67.086
estimates,5500,1986,male,67.22
estimates,5500,1987,male,67.303
estimates,5500,1988,male,67.342
estimates,5500,1989,male,67.344
estimates,5500,1990,male,67.277
estimates,5500,1991,male,67.629
estimates,5500,1992,male,67.707
estimates,5500,1993,male,67.552
estimates,5500,1994,male,67.188
estimates,5500,1995,male,66.597
estimates,5500,1996,male,65.765
estimates,5500,1997,male,64.73
estimates,5500,1998,male,63.495
estimates,5500,1999,male,62.069
estimates,5500,2000,male,60.482
estimates,5500,2001,male,58.399
estimates,5500,2002,male,56.361
estimates,5500,2003,male,54.353
estimates,5500,2004,male,52.403
estimates,5500,2005,male,50.578
estimates,5500,2006,male,49.083
estimates,5500,2007,male,47.732
estimates,5500,2008,male,46.563
estimates,5500,2009,male,45.623
estimates,5500,2010,male,44.951
estimates,5500,2011,male,44.824
estimates,5500,2012,male,44.813
estimates,5500,2013,male,44.961
estimates,5500,2014,male,45.266
estimates,5500,2015,male,45.676
medium_variant,5500,2015,male,45.676
medium_variant,5500,2016,male,46.225
medium_variant,5500,2017,male,46.763
medium_variant,5500,2018,male,47.242
medium_variant,5500,2019,male,47.595
medium_variant,5500,2020,male,47.772
medium_variant,5500,2021,male,47.585
medium_variant,5500,2022,male,47.341
medium_variant,5500,2023,male,46.956
medium_variant,5500,2024,male,46.36
medium_variant,5500,2025,male,45.547
medium_variant,5500,2026,male,44.705
medium_variant,5500,2027,male,43.67
medium_variant,5500,2028,male,42.513
medium_variant,5500,2029,male,41.355
medium_variant,5500,2030,male,40.27
medium_variant,5500,2031,male,39.312
medium_variant,5500,2032,male,38.428
medium_variant,5500,2033,male,37.628
medium_variant,5500,2034,male,36.902
medium_variant,5500,2035,male,36.245
medium_variant,5500,2036,male,35.759
medium_variant,5500,2037,male,35.334
medium_variant,5500,2038,male,34.976
medium_variant,5500,2039,male,34.682
medium_variant,5500,2040,male,34.447
medium_variant,5500,2041,male,34.329
medium_variant,5500,2042,male,34.247
medium_variant,5500,2043,male,34.195
medium_variant,5500,2044,male,34.158
medium_variant,5500,2045,male,34.122
medium_variant,5500,2046,male,34.123
medium_variant,5500,2047,male,34.109
medium_variant,5500,2048,male,34.077
medium_variant,5500,2049,male,34.025
medium_variant,5500,2050,male,33.951
medium_variant,5500,2051,male,33.875
medium_variant,5500,2052,male,33.773
medium_variant,5500,2053,male,33.635
medium_variant,5500,2054,male,33.454
medium_variant,5500,2055,male,33.23
medium_variant,5500,2056,male,32.997
medium_variant,5500,2057,male,32.729
medium_variant,5500,2058,male,32.425
medium_variant,5500,2059,male,32.09
medium_variant,5500,2060,male,31.729
medium_variant,5500,2061,male,31.39
medium_variant,5500,2062,male,31.037
medium_variant,5500,2063,male,30.678
medium_variant,5500,2064,male,30.323
medium_variant,5500,2065,male,29.978
medium_variant,5500,2066,male,29.694
medium_variant,5500,2067,male,29.418
medium_variant,5500,2068,male,29.164
medium_variant,5500,2069,male,28.944
medium_variant,5500,2070,male,28.767
medium_variant,5500,2071,male,28.663
medium_variant,5500,2072,male,28.59
medium_variant,5500,2073,male,28.545
medium_variant,5500,2074,male,28.524
medium_variant,5500,2075,male,28.52
medium_variant,5500,2076,male,28.561
medium_variant,5500,2077,male,28.611
medium_variant,5500,2078,male,28.663
medium_variant,5500,2079,male,28.705
medium_variant,5500,2080,male,28.726
medium_variant,5500,2081,male,28.746
medium_variant,5500,2082,male,28.743
medium_variant,5500,2083,male,28.716
medium_variant,5500,2084,male,28.665
medium_variant,5500,2085,male,28.592
medium_variant,5500,2086,male,28.515
medium_variant,5500,2087,male,28.415
medium_variant,5500,2088,male,28.295
medium_variant,5500,2089,male,28.16
medium_variant,5500,2090,male,28.012
medium_variant,5500,2091,male,27.878
medium_variant,5500,2092,male,27.733
medium_variant,5500,2093,male,27.584
medium_variant,5500,2094,male,27.437
medium_variant,5500,2095,male,27.296
medium_variant,5500,2096,male,27.185
medium_variant,5500,2097,male,27.08
medium_variant,5500,2098,male,26.983
medium_variant,5500,2099,male,26.898
medium_variant,5500,2100,male,26.828
estimates,5500,1950,female,48.788
estimates,5500,1951,female,48.898
estimates,5500,1952,female,48.252
estimates,5500,1953,female,47.727
estimates,5500,1954,female,47.888
estimates,5500,1955,female,48.932
estimates,5500,1956,female,50.949
estimates,5500,1957,female,53.487
estimates,5500,1958,female,56.428
estimates,5500,1959,female,59.509
estimates,5500,1960,female,62.521
estimates,5500,1961,female,65.396
estimates,5500,1962,female,68.261
estimates,5500,1963,female,70.888
estimates,5500,1964,female,73.003
estimates,5500,1965,female,74.456
estimates,5500,1966,female,75.765
estimates,5500,1967,female,76.289
estimates,5500,1968,female,76.201
estimates,5500,1969,female,75.79
estimates,5500,1970,female,75.2
estimates,5500,1971,female,73.972
estimates,5500,1972,female,72.925
estimates,5500,1973,female,71.922
estimates,5500,1974,female,70.733
estimates,5500,1975,female,69.29
estimates,5500,1976,female,68.246
estimates,5500,1977,female,66.916
estimates,5500,1978,female,65.528
estimates,5500,1979,female,64.37
estimates,5500,1980,female,63.545
estimates,5500,1981,female,62.885
estimates,5500,1982,female,62.54
estimates,5500,1983,female,62.452
estimates,5500,1984,female,62.469
estimates,5500,1985,female,62.499
estimates,5500,1986,female,62.737
estimates,5500,1987,female,62.989
estimates,5500,1988,female,63.242
estimates,5500,1989,female,63.456
estimates,5500,1990,female,63.564
estimates,5500,1991,female,63.973
estimates,5500,1992,female,64.048
estimates,5500,1993,female,63.852
estimates,5500,1994,female,63.45
estimates,5500,1995,female,62.849
estimates,5500,1996,female,61.824
estimates,5500,1997,female,60.662
estimates,5500,1998,female,59.35
estimates,5500,1999,female,57.867
estimates,5500,2000,female,56.236
estimates,5500,2001,female,54.339
estimates,5500,2002,female,52.433
estimates,5500,2003,female,50.523
estimates,5500,2004,female,48.673
estimates,5500,2005,female,46.96
estimates,5500,2006,female,45.522
estimates,5500,2007,female,44.247
estimates,5500,2008,female,43.158
estimates,5500,2009,female,42.28
estimates,5500,2010,female,41.636
estimates,5500,2011,female,41.491
estimates,5500,2012,female,41.452
estimates,5500,2013,female,41.559
estimates,5500,2014,female,41.817
estimates,5500,2015,female,42.182
medium_variant,5500,2015,female,42.182
medium_variant,5500,2016,female,42.647
medium_variant,5500,2017,female,43.121
medium_variant,5500,2018,female,43.556
medium_variant,5500,2019,female,43.887
medium_variant,5500,2020,female,44.067
medium_variant,5500,2021,female,43.905
medium_variant,5500,2022,female,43.693
medium_variant,5500,2023,female,43.363
medium_variant,5500,2024,female,42.854
medium_variant,5500,2025,female,42.165
medium_variant,5500,2026,female,41.434
medium_variant,5500,2027,female,40.541
medium_variant,5500,2028,female,39.545
medium_variant,5500,2029,female,38.546
medium_variant,5500,2030,female,37.608
medium_variant,5500,2031,female,36.758
medium_variant,5500,2032,female,35.972
medium_variant,5500,2033,female,35.262
medium_variant,5500,2034,female,34.62
medium_variant,5500,2035,female,34.046
medium_variant,5500,2036,female,33.613
medium_variant,5500,2037,female,33.239
medium_variant,5500,2038,female,32.931
medium_variant,5500,2039,female,32.686
medium_variant,5500,2040,female,32.5
medium_variant,5500,2041,female,32.404
medium_variant,5500,2042,female,32.345
medium_variant,5500,2043,female,32.319
medium_variant,5500,2044,female,32.311
medium_variant,5500,2045,female,32.309
medium_variant,5500,2046,female,32.326
medium_variant,5500,2047,female,32.332
medium_variant,5500,2048,female,32.327
medium_variant,5500,2049,female,32.313
medium_variant,5500,2050,female,32.287
medium_variant,5500,2051,female,32.249
medium_variant,5500,2052,female,32.197
medium_variant,5500,2053,female,32.118
medium_variant,5500,2054,female,32.001
medium_variant,5500,2055,female,31.839
medium_variant,5500,2056,female,31.649
medium_variant,5500,2057,female,31.423
medium_variant,5500,2058,female,31.162
medium_variant,5500,2059,female,30.869
medium_variant,5500,2060,female,30.553
medium_variant,5500,2061,female,30.241
medium_variant,5500,2062,female,29.914
medium_variant,5500,2063,female,29.581
medium_variant,5500,2064,female,29.251
medium_variant,5500,2065,female,28.935
medium_variant,5500,2066,female,28.664
