variant,global,year,potentialsupport2069_65
estimates,900,1950,18.294
estimates,900,1951,18.004
estimates,900,1952,17.824
estimates,900,1953,17.76
estimates,900,1954,17.81
estimates,900,1955,17.968
estimates,900,1956,17.664
estimates,900,1957,17.491
estimates,900,1958,17.433
estimates,900,1959,17.481
estimates,900,1960,17.626
estimates,900,1961,17.31
estimates,900,1962,17.093
estimates,900,1963,16.968
estimates,900,1964,16.929
estimates,900,1965,16.972
estimates,900,1966,16.627
estimates,900,1967,16.371
estimates,900,1968,16.193
estimates,900,1969,16.08
estimates,900,1970,16.02
estimates,900,1971,15.736
estimates,900,1972,15.54
estimates,900,1973,15.41
estimates,900,1974,15.324
estimates,900,1975,15.264
estimates,900,1976,14.986
estimates,900,1977,14.767
estimates,900,1978,14.6
estimates,900,1979,14.48
estimates,900,1980,14.398
estimates,900,1981,14.176
estimates,900,1982,14.004
estimates,900,1983,13.896
estimates,900,1984,13.872
estimates,900,1985,13.934
estimates,900,1986,13.898
estimates,900,1987,13.947
estimates,900,1988,14.044
estimates,900,1989,14.143
estimates,900,1990,14.217
estimates,900,1991,14.107
estimates,900,1992,14.005
estimates,900,1993,13.911
estimates,900,1994,13.824
estimates,900,1995,13.741
estimates,900,1996,13.519
estimates,900,1997,13.32
estimates,900,1998,13.149
estimates,900,1999,13.015
estimates,900,2000,12.916
estimates,900,2001,12.727
estimates,900,2002,12.582
estimates,900,2003,12.469
estimates,900,2004,12.375
estimates,900,2005,12.295
estimates,900,2006,12.129
estimates,900,2007,11.982
estimates,900,2008,11.859
estimates,900,2009,11.77
estimates,900,2010,11.713
estimates,900,2011,11.615
estimates,900,2012,11.547
estimates,900,2013,11.488
estimates,900,2014,11.416
estimates,900,2015,11.321
medium_variant,900,2015,11.321
medium_variant,900,2016,11.145
medium_variant,900,2017,10.965
medium_variant,900,2018,10.773
medium_variant,900,2019,10.56
medium_variant,900,2020,10.326
medium_variant,900,2021,10.027
medium_variant,900,2022,9.726
medium_variant,900,2023,9.435
medium_variant,900,2024,9.17
medium_variant,900,2025,8.934
medium_variant,900,2026,8.692
medium_variant,900,2027,8.479
medium_variant,900,2028,8.282
medium_variant,900,2029,8.09
medium_variant,900,2030,7.9
medium_variant,900,2031,7.697
medium_variant,900,2032,7.503
medium_variant,900,2033,7.317
medium_variant,900,2034,7.139
medium_variant,900,2035,6.966
medium_variant,900,2036,6.792
medium_variant,900,2037,6.627
medium_variant,900,2038,6.472
medium_variant,900,2039,6.327
medium_variant,900,2040,6.191
medium_variant,900,2041,6.059
medium_variant,900,2042,5.936
medium_variant,900,2043,5.824
medium_variant,900,2044,5.724
medium_variant,900,2045,5.637
medium_variant,900,2046,5.557
medium_variant,900,2047,5.488
medium_variant,900,2048,5.425
medium_variant,900,2049,5.363
medium_variant,900,2050,5.297
medium_variant,900,2051,5.226
medium_variant,900,2052,5.155
medium_variant,900,2053,5.082
medium_variant,900,2054,5.005
medium_variant,900,2055,4.922
medium_variant,900,2056,4.835
medium_variant,900,2057,4.746
medium_variant,900,2058,4.657
medium_variant,900,2059,4.576
medium_variant,900,2060,4.504
medium_variant,900,2061,4.441
medium_variant,900,2062,4.386
medium_variant,900,2063,4.337
medium_variant,900,2064,4.295
medium_variant,900,2065,4.258
medium_variant,900,2066,4.23
medium_variant,900,2067,4.206
medium_variant,900,2068,4.185
medium_variant,900,2069,4.166
medium_variant,900,2070,4.147
medium_variant,900,2071,4.129
medium_variant,900,2072,4.111
medium_variant,900,2073,4.091
medium_variant,900,2074,4.069
medium_variant,900,2075,4.045
medium_variant,900,2076,4.023
medium_variant,900,2077,3.999
medium_variant,900,2078,3.972
medium_variant,900,2079,3.942
medium_variant,900,2080,3.91
medium_variant,900,2081,3.88
medium_variant,900,2082,3.847
medium_variant,900,2083,3.812
medium_variant,900,2084,3.778
medium_variant,900,2085,3.743
medium_variant,900,2086,3.712
medium_variant,900,2087,3.681
medium_variant,900,2088,3.65
medium_variant,900,2089,3.618
medium_variant,900,2090,3.587
medium_variant,900,2091,3.563
medium_variant,900,2092,3.538
medium_variant,900,2093,3.514
medium_variant,900,2094,3.489
medium_variant,900,2095,3.463
medium_variant,900,2096,3.445
medium_variant,900,2097,3.426
medium_variant,900,2098,3.405
medium_variant,900,2099,3.383
medium_variant,900,2100,3.36
high_variant,900,2015,11.3205135277188
low_variant,900,2015,11.3205135277188
constant_fertility,900,2015,11.3205135277188
instant_replacement,900,2015,11.3205135277188
zero_migration,900,2015,11.3205135277188
constant_mortality,900,2015,11.3205135277188
