variant,region,year,gender,dependencyratio2569
estimates,926,1950,male,86.412
estimates,926,1951,male,86.752
estimates,926,1952,male,86.654
estimates,926,1953,male,86.591
estimates,926,1954,male,86.619
estimates,926,1955,male,86.638
estimates,926,1956,male,86.82
estimates,926,1957,male,87.139
estimates,926,1958,male,87.435
estimates,926,1959,male,87.554
estimates,926,1960,male,87.461
estimates,926,1961,male,87.794
estimates,926,1962,male,87.834
estimates,926,1963,male,87.699
estimates,926,1964,male,87.57
estimates,926,1965,male,87.528
estimates,926,1966,male,88.256
estimates,926,1967,male,88.878
estimates,926,1968,male,89.344
estimates,926,1969,male,89.568
estimates,926,1970,male,89.49
estimates,926,1971,male,89.827
estimates,926,1972,male,89.8
estimates,926,1973,male,89.446
estimates,926,1974,male,88.85
estimates,926,1975,male,88.079
estimates,926,1976,male,87.563
estimates,926,1977,male,86.99
estimates,926,1978,male,86.282
estimates,926,1979,male,85.36
estimates,926,1980,male,84.211
estimates,926,1981,male,83.508
estimates,926,1982,male,82.654
estimates,926,1983,male,81.548
estimates,926,1984,male,80.043
estimates,926,1985,male,78.099
estimates,926,1986,male,76.344
estimates,926,1987,male,74.134
estimates,926,1988,male,71.768
estimates,926,1989,male,69.579
estimates,926,1990,male,67.719
estimates,926,1991,male,66.582
estimates,926,1992,male,65.647
estimates,926,1993,male,64.876
estimates,926,1994,male,64.224
estimates,926,1995,male,63.673
estimates,926,1996,male,63.4
estimates,926,1997,male,63.31
estimates,926,1998,male,63.327
estimates,926,1999,male,63.36
estimates,926,2000,male,63.369
estimates,926,2001,male,63.72
estimates,926,2002,male,63.993
estimates,926,2003,male,64.208
estimates,926,2004,male,64.401
estimates,926,2005,male,64.587
estimates,926,2006,male,65.034
estimates,926,2007,male,65.463
estimates,926,2008,male,65.829
estimates,926,2009,male,66.072
estimates,926,2010,male,66.177
estimates,926,2011,male,66.435
estimates,926,2012,male,66.532
estimates,926,2013,male,66.541
estimates,926,2014,male,66.564
estimates,926,2015,male,66.659
medium_variant,926,2015,male,66.659
medium_variant,926,2016,male,66.944
medium_variant,926,2017,male,67.3
medium_variant,926,2018,male,67.691
medium_variant,926,2019,male,68.059
medium_variant,926,2020,male,68.38
medium_variant,926,2021,male,68.88
medium_variant,926,2022,male,69.347
medium_variant,926,2023,male,69.807
medium_variant,926,2024,male,70.301
medium_variant,926,2025,male,70.851
medium_variant,926,2026,male,71.596
medium_variant,926,2027,male,72.364
medium_variant,926,2028,male,73.171
medium_variant,926,2029,male,74.042
medium_variant,926,2030,male,74.995
medium_variant,926,2031,male,76.146
medium_variant,926,2032,male,77.341
medium_variant,926,2033,male,78.558
medium_variant,926,2034,male,79.771
medium_variant,926,2035,male,80.966
medium_variant,926,2036,male,82.225
medium_variant,926,2037,male,83.431
medium_variant,926,2038,male,84.55
medium_variant,926,2039,male,85.522
medium_variant,926,2040,male,86.313
medium_variant,926,2041,male,86.976
medium_variant,926,2042,male,87.425
medium_variant,926,2043,male,87.691
medium_variant,926,2044,male,87.836
medium_variant,926,2045,male,87.912
medium_variant,926,2046,male,87.941
medium_variant,926,2047,male,87.859
medium_variant,926,2048,male,87.729
medium_variant,926,2049,male,87.625
medium_variant,926,2050,male,87.605
medium_variant,926,2051,male,87.679
medium_variant,926,2052,male,87.794
medium_variant,926,2053,male,87.956
medium_variant,926,2054,male,88.164
medium_variant,926,2055,male,88.427
medium_variant,926,2056,male,88.783
medium_variant,926,2057,male,89.148
medium_variant,926,2058,male,89.514
medium_variant,926,2059,male,89.873
medium_variant,926,2060,male,90.232
medium_variant,926,2061,male,90.612
medium_variant,926,2062,male,90.927
medium_variant,926,2063,male,91.201
medium_variant,926,2064,male,91.472
medium_variant,926,2065,male,91.776
medium_variant,926,2066,male,92.055
medium_variant,926,2067,male,92.299
medium_variant,926,2068,male,92.53
medium_variant,926,2069,male,92.77
medium_variant,926,2070,male,93.035
medium_variant,926,2071,male,93.193
medium_variant,926,2072,male,93.324
medium_variant,926,2073,male,93.447
medium_variant,926,2074,male,93.585
medium_variant,926,2075,male,93.759
medium_variant,926,2076,male,93.821
medium_variant,926,2077,male,93.866
medium_variant,926,2078,male,93.91
medium_variant,926,2079,male,93.979
medium_variant,926,2080,male,94.111
medium_variant,926,2081,male,94.146
medium_variant,926,2082,male,94.173
medium_variant,926,2083,male,94.222
medium_variant,926,2084,male,94.333
medium_variant,926,2085,male,94.546
medium_variant,926,2086,male,94.655
medium_variant,926,2087,male,94.784
medium_variant,926,2088,male,94.964
medium_variant,926,2089,male,95.222
medium_variant,926,2090,male,95.584
medium_variant,926,2091,male,95.798
medium_variant,926,2092,male,96.033
medium_variant,926,2093,male,96.311
medium_variant,926,2094,male,96.656
medium_variant,926,2095,male,97.098
medium_variant,926,2096,male,97.339
medium_variant,926,2097,male,97.588
medium_variant,926,2098,male,97.874
medium_variant,926,2099,male,98.226
medium_variant,926,2100,male,98.675
estimates,926,1950,female,73.562
estimates,926,1951,female,73.735
estimates,926,1952,female,73.787
estimates,926,1953,female,74.029
estimates,926,1954,female,74.429
estimates,926,1955,female,74.863
estimates,926,1956,female,75.363
estimates,926,1957,female,76.011
estimates,926,1958,female,76.706
estimates,926,1959,female,77.35
estimates,926,1960,female,77.915
estimates,926,1961,female,78.761
estimates,926,1962,female,79.473
estimates,926,1963,female,80.124
estimates,926,1964,female,80.839
estimates,926,1965,female,81.672
estimates,926,1966,female,82.933
estimates,926,1967,female,84.151
estimates,926,1968,female,85.282
estimates,926,1969,female,86.225
estimates,926,1970,female,86.909
estimates,926,1971,female,87.654
estimates,926,1972,female,88.064
estimates,926,1973,female,88.211
estimates,926,1974,female,88.214
estimates,926,1975,female,88.142
estimates,926,1976,female,88.114
estimates,926,1977,female,88.075
estimates,926,1978,female,87.963
estimates,926,1979,female,87.722
estimates,926,1980,female,87.341
estimates,926,1981,female,87.235
estimates,926,1982,female,87.038
estimates,926,1983,female,86.609
estimates,926,1984,female,85.724
estimates,926,1985,female,84.286
estimates,926,1986,female,82.786
estimates,926,1987,female,80.682
estimates,926,1988,female,78.355
estimates,926,1989,female,76.269
estimates,926,1990,female,74.657
estimates,926,1991,female,73.687
estimates,926,1992,female,73.052
estimates,926,1993,female,72.647
estimates,926,1994,female,72.313
estimates,926,1995,female,71.966
estimates,926,1996,female,71.758
estimates,926,1997,female,71.64
estimates,926,1998,female,71.567
estimates,926,1999,female,71.504
estimates,926,2000,female,71.439
estimates,926,2001,female,71.638
estimates,926,2002,female,71.744
estimates,926,2003,female,71.787
estimates,926,2004,female,71.821
estimates,926,2005,female,71.875
estimates,926,2006,female,72.152
estimates,926,2007,female,72.444
estimates,926,2008,female,72.695
estimates,926,2009,female,72.834
estimates,926,2010,female,72.843
estimates,926,2011,female,72.815
estimates,926,2012,female,72.621
estimates,926,2013,female,72.368
estimates,926,2014,female,72.183
estimates,926,2015,female,72.136
medium_variant,926,2015,female,72.136
medium_variant,926,2016,female,72.248
medium_variant,926,2017,female,72.485
medium_variant,926,2018,female,72.798
medium_variant,926,2019,female,73.129
medium_variant,926,2020,female,73.47
medium_variant,926,2021,female,73.952
medium_variant,926,2022,female,74.437
medium_variant,926,2023,female,74.96
medium_variant,926,2024,female,75.552
medium_variant,926,2025,female,76.232
medium_variant,926,2026,female,76.999
medium_variant,926,2027,female,77.805
medium_variant,926,2028,female,78.672
medium_variant,926,2029,female,79.631
medium_variant,926,2030,female,80.707
medium_variant,926,2031,female,81.886
medium_variant,926,2032,female,83.132
medium_variant,926,2033,female,84.427
medium_variant,926,2034,female,85.756
medium_variant,926,2035,female,87.116
medium_variant,926,2036,female,88.438
medium_variant,926,2037,female,89.74
medium_variant,926,2038,female,90.996
medium_variant,926,2039,female,92.143
medium_variant,926,2040,female,93.138
medium_variant,926,2041,female,93.867
medium_variant,926,2042,female,94.393
medium_variant,926,2043,female,94.742
medium_variant,926,2044,female,94.978
medium_variant,926,2045,female,95.173
