variant,region,year,gender,dependencyratio2569
estimates,922,1950,male,159.952
estimates,922,1951,male,161.115
estimates,922,1952,male,161.847
estimates,922,1953,male,161.927
estimates,922,1954,male,161.441
estimates,922,1955,male,160.617
estimates,922,1956,male,161.244
estimates,922,1957,male,161.127
estimates,922,1958,male,160.675
estimates,922,1959,male,160.197
estimates,922,1960,male,159.824
estimates,922,1961,male,159.952
estimates,922,1962,male,160.311
estimates,922,1963,male,160.841
estimates,922,1964,male,161.43
estimates,922,1965,male,162.059
estimates,922,1966,male,163.965
estimates,922,1967,male,165.733
estimates,922,1968,male,167.366
estimates,922,1969,male,168.884
estimates,922,1970,male,170.251
estimates,922,1971,male,171.569
estimates,922,1972,male,172.596
estimates,922,1973,male,173.254
estimates,922,1974,male,173.412
estimates,922,1975,male,173.062
estimates,922,1976,male,173.306
estimates,922,1977,male,172.781
estimates,922,1978,male,171.702
estimates,922,1979,male,170.381
estimates,922,1980,male,169.02
estimates,922,1981,male,168.147
estimates,922,1982,male,167.081
estimates,922,1983,male,165.708
estimates,922,1984,male,163.897
estimates,922,1985,male,161.667
estimates,922,1986,male,161.328
estimates,922,1987,male,160.363
estimates,922,1988,male,158.937
estimates,922,1989,male,157.267
estimates,922,1990,male,155.485
estimates,922,1991,male,153.2
estimates,922,1992,male,150.901
estimates,922,1993,male,148.549
estimates,922,1994,male,146.156
estimates,922,1995,male,143.8
estimates,922,1996,male,143.346
estimates,922,1997,male,142.514
estimates,922,1998,male,141.242
estimates,922,1999,male,139.532
estimates,922,2000,male,137.461
estimates,922,2001,male,135.735
estimates,922,2002,male,133.497
estimates,922,2003,male,130.771
estimates,922,2004,male,127.649
estimates,922,2005,male,124.264
estimates,922,2006,male,121.517
estimates,922,2007,male,118.37
estimates,922,2008,male,114.928
estimates,922,2009,male,111.337
estimates,922,2010,male,107.794
estimates,922,2011,male,105.719
estimates,922,2012,male,103.647
estimates,922,2013,male,101.549
estimates,922,2014,male,99.433
estimates,922,2015,male,97.339
medium_variant,922,2015,male,97.339
medium_variant,922,2016,male,96.243
medium_variant,922,2017,male,94.918
medium_variant,922,2018,male,93.384
medium_variant,922,2019,male,91.749
medium_variant,922,2020,male,90.142
medium_variant,922,2021,male,89.433
medium_variant,922,2022,male,88.767
medium_variant,922,2023,male,88.057
medium_variant,922,2024,male,87.237
medium_variant,922,2025,male,86.315
medium_variant,922,2026,male,86.031
medium_variant,922,2027,male,85.658
medium_variant,922,2028,male,85.164
medium_variant,922,2029,male,84.564
medium_variant,922,2030,male,83.898
