continent,variant,freq,year,netreporductionrate
904,estimates,5yearly,1950,2.14981527031792
904,estimates,5yearly,1955,2.24220734576596
904,estimates,5yearly,1960,2.33313821723663
904,estimates,5yearly,1965,2.26055006278634
904,estimates,5yearly,1970,2.12043903145758
904,estimates,5yearly,1975,1.93480420835035
904,estimates,5yearly,1980,1.74451511666344
904,estimates,5yearly,1985,1.55605397265495
904,estimates,5yearly,1990,1.40134970291734
904,estimates,5yearly,1995,1.27607151632735
904,estimates,5yearly,2000,1.15892757277866
904,estimates,5yearly,2005,1.0605766306676
904,estimates,5yearly,2010,1.01048145184445
904,constant_fertility,5yearly,2015,1.01931272832091
904,constant_mortality,5yearly,2015,0.960013013903282
904,high_variant,5yearly,2015,1.08270247931695
904,instant_replacement,5yearly,2015,1
904,low_variant,5yearly,2015,0.845513524277372
904,medium_variant,5yearly,2015,0.964039776918155
904,momentum,5yearly,2015,1
904,no_change,5yearly,2015,1.01483280323756
904,zero_migration,5yearly,2015,0.964219310375806
904,constant_fertility,5yearly,2020,1.02746473333026
904,constant_mortality,5yearly,2020,0.918025891564061
904,high_variant,5yearly,2020,1.11594772868615
904,instant_replacement,5yearly,2020,1
904,low_variant,5yearly,2020,0.735153052347984
904,medium_variant,5yearly,2020,0.925415632843837
904,momentum,5yearly,2020,1
904,no_change,5yearly,2020,1.01914688341877
904,zero_migration,5yearly,2020,0.925840619542078
904,constant_fertility,5yearly,2025,1.03504662719883
904,constant_mortality,5yearly,2025,0.886354926777722
904,high_variant,5yearly,2025,1.13486325129551
904,instant_replacement,5yearly,2025,1
904,low_variant,5yearly,2025,0.657696798162232
904,medium_variant,5yearly,2025,0.896413211498721
904,momentum,5yearly,2025,1
904,no_change,5yearly,2025,1.02335983314795
904,zero_migration,5yearly,2025,0.896938035222263
904,constant_fertility,5yearly,2030,1.04276412867134
904,constant_mortality,5yearly,2030,0.863870932843574
904,high_variant,5yearly,2030,1.1145583969669
904,instant_replacement,5yearly,2030,1
904,low_variant,5yearly,2030,0.636849134591263
904,medium_variant,5yearly,2030,0.87572414527521
904,momentum,5yearly,2030,1
904,no_change,5yearly,2030,1.02801750278111
904,zero_migration,5yearly,2030,0.876247023961368
904,constant_fertility,5yearly,2035,1.05041901340883
904,constant_mortality,5yearly,2035,0.847671388231434
904,high_variant,5yearly,2035,1.10070346330178
904,instant_replacement,5yearly,2035,1
904,low_variant,5yearly,2035,0.622338820858624
904,medium_variant,5yearly,2035,0.8614745998886
904,momentum,5yearly,2035,1
904,no_change,5yearly,2035,1.03313194776739
904,zero_migration,5yearly,2035,0.861939816881108
904,constant_fertility,5yearly,2040,1.05811195168209
904,constant_mortality,5yearly,2040,0.837413363679958
904,high_variant,5yearly,2040,1.09193232051798
904,instant_replacement,5yearly,2040,1
904,low_variant,5yearly,2040,0.612783645584475
904,medium_variant,5yearly,2040,0.852676026375182
904,momentum,5yearly,2040,1
904,no_change,5yearly,2040,1.03822893686624
904,zero_migration,5yearly,2040,0.853062290607215
904,constant_fertility,5yearly,2045,1.06549200347215
904,constant_mortality,5yearly,2045,0.830866178822928
904,high_variant,5yearly,2045,1.08712416990875
904,instant_replacement,5yearly,2045,1
904,low_variant,5yearly,2045,0.607988709797242
904,medium_variant,5yearly,2045,0.847293056441206
904,momentum,5yearly,2045,1
904,no_change,5yearly,2045,1.04340683819547
904,zero_migration,5yearly,2045,0.847575778085363
904,constant_fertility,5yearly,2050,1.07284094254096
904,constant_mortality,5yearly,2050,0.82731859158108
904,high_variant,5yearly,2050,1.08512460518309
904,instant_replacement,5yearly,2050,1
904,low_variant,5yearly,2050,0.605209236245436
904,medium_variant,5yearly,2050,0.845291141197886
904,momentum,5yearly,2050,1
904,no_change,5yearly,2050,1.04860719889414
904,zero_migration,5yearly,2050,0.845474894859959
904,constant_fertility,5yearly,2055,1.08020448366825
904,constant_mortality,5yearly,2055,0.825374583376876
904,high_variant,5yearly,2055,1.08463455320549
904,instant_replacement,5yearly,2055,1
904,low_variant,5yearly,2055,0.604381285462722
904,medium_variant,5yearly,2055,0.844215737772794
904,momentum,5yearly,2055,1
904,no_change,5yearly,2055,1.05363145030549
904,zero_migration,5yearly,2055,0.844311980508571
904,constant_fertility,5yearly,2060,1.08744662311802
904,constant_mortality,5yearly,2060,0.82587637646563
904,high_variant,5yearly,2060,1.08621024028876
904,instant_replacement,5yearly,2060,1
904,low_variant,5yearly,2060,0.605525984041038
904,medium_variant,5yearly,2060,0.845423114973819
904,momentum,5yearly,2060,1
904,no_change,5yearly,2060,1.05874211223685
904,zero_migration,5yearly,2060,0.845436352192413
904,constant_fertility,5yearly,2065,1.09458888876558
904,constant_mortality,5yearly,2065,0.826467383998649
904,high_variant,5yearly,2065,1.08794916089808
904,instant_replacement,5yearly,2065,1
904,low_variant,5yearly,2065,0.60676107318019
904,medium_variant,5yearly,2065,0.847254002664225
904,momentum,5yearly,2065,1
904,no_change,5yearly,2065,1.06404445207252
904,zero_migration,5yearly,2065,0.847207354629262
904,constant_fertility,5yearly,2070,1.10184482941586
904,constant_mortality,5yearly,2070,0.828101886274165
904,high_variant,5yearly,2070,1.09091333616544
904,instant_replacement,5yearly,2070,1
904,low_variant,5yearly,2070,0.609114133106891
904,medium_variant,5yearly,2070,0.849879236607746
904,momentum,5yearly,2070,1
904,no_change,5yearly,2070,1.06939365491624
904,zero_migration,5yearly,2070,0.849769856577028
904,constant_fertility,5yearly,2075,1.10906395982509
904,constant_mortality,5yearly,2075,0.83060386963667
904,high_variant,5yearly,2075,1.09414904177939
904,instant_replacement,5yearly,2075,1
904,low_variant,5yearly,2075,0.611899655010649
904,medium_variant,5yearly,2075,0.852825674361425
904,momentum,5yearly,2075,1
904,no_change,5yearly,2075,1.07472371015075
904,zero_migration,5yearly,2075,0.852666791021062
904,constant_fertility,5yearly,2080,1.11631808727026
904,constant_mortality,5yearly,2080,0.832646825926408
904,high_variant,5yearly,2080,1.09723952810768
904,instant_replacement,5yearly,2080,1
904,low_variant,5yearly,2080,0.614329526898694
904,medium_variant,5yearly,2080,0.855766631887179
904,momentum,5yearly,2080,1
904,no_change,5yearly,2080,1.0800263019753
904,zero_migration,5yearly,2080,0.855577369186796
904,constant_fertility,5yearly,2085,1.1236581499818
904,constant_mortality,5yearly,2085,0.834771658887269
904,high_variant,5yearly,2085,1.10029444978273
904,instant_replacement,5yearly,2085,1
904,low_variant,5yearly,2085,0.616933000575492
904,medium_variant,5yearly,2085,0.858601955194081
904,momentum,5yearly,2085,1
904,no_change,5yearly,2085,1.08534307346483
904,zero_migration,5yearly,2085,0.858397239985354
904,constant_fertility,5yearly,2090,1.13083801098555
904,constant_mortality,5yearly,2090,0.837246469276985
904,high_variant,5yearly,2090,1.10327405192132
904,instant_replacement,5yearly,2090,1
904,low_variant,5yearly,2090,0.619816971869915
904,medium_variant,5yearly,2090,0.86149403324197
904,momentum,5yearly,2090,1
904,no_change,5yearly,2090,1.09070525132162
904,zero_migration,5yearly,2090,0.861273404385669
904,constant_fertility,5yearly,2095,1.13816155678226
904,constant_mortality,5yearly,2095,0.839387915739354
904,high_variant,5yearly,2095,1.10616022458772
904,instant_replacement,5yearly,2095,1
904,low_variant,5yearly,2095,0.622264594348057
904,medium_variant,5yearly,2095,0.864308298993639
904,momentum,5yearly,2095,1
904,no_change,5yearly,2095,1.09610599559501
904,zero_migration,5yearly,2095,0.864068885974383
