continent,variant,freq,year,netreporductionrate
935,Estimates,5yearly,1950,1.8263289221947
935,Estimates,5yearly,1955,1.82789228939045
935,Estimates,5yearly,1960,1.954753375289
935,Estimates,5yearly,1965,2.14931566631572
935,Estimates,5yearly,1970,1.97303077565214
935,Estimates,5yearly,1975,1.64378416751378
935,Estimates,5yearly,1980,1.52650991587769
935,Estimates,5yearly,1985,1.47888846107967
935,Estimates,5yearly,1990,1.25718868619952
935,Estimates,5yearly,1995,1.09516089087474
935,Estimates,5yearly,2000,1.03786385351037
935,Estimates,5yearly,2005,1.00348577279506
935,Estimates,5yearly,2010,0.974318894117971
935,Constant_fertility,5yearly,2015,0.999951405700709
935,Constant_mortality,5yearly,2015,0.952264284681525
935,High_variant,5yearly,2015,1.07454845747324
935,Instant_replacement,5yearly,2015,1
935,Low_variant,5yearly,2015,0.846619881231164
935,Medium_variant,5yearly,2015,0.960588929471088
935,No_change,5yearly,2015,0.992506180204627
935,Zero_migration,5yearly,2015,0.960750176534958
935,Constant_fertility,5yearly,2020,1.02595828719956
935,Constant_mortality,5yearly,2020,0.932612883396025
935,High_variant,5yearly,2020,1.13202005783528
935,Instant_replacement,5yearly,2020,1
935,Low_variant,5yearly,2020,0.764328629469876
935,Medium_variant,5yearly,2020,0.948160052889764
935,No_change,5yearly,2020,1.01185523696281
935,Zero_migration,5yearly,2020,0.948458793208579
935,Constant_fertility,5yearly,2025,1.04824486956261
935,Constant_mortality,5yearly,2025,0.914236492363735
935,High_variant,5yearly,2025,1.16700073213195
935,Instant_replacement,5yearly,2025,1
935,Low_variant,5yearly,2025,0.703794967367554
935,Medium_variant,5yearly,2025,0.935579573758205
935,No_change,5yearly,2025,1.02860058711299
935,Zero_migration,5yearly,2025,0.935913467867165
935,Constant_fertility,5yearly,2030,1.06828184721779
935,Constant_mortality,5yearly,2030,0.898173238192374
935,High_variant,5yearly,2030,1.15699807267748
935,Instant_replacement,5yearly,2030,1
935,Low_variant,5yearly,2030,0.690943867919436
935,Medium_variant,5yearly,2030,0.923686492303643
935,No_change,5yearly,2030,1.04352994840595
935,Zero_migration,5yearly,2030,0.924056567188048
935,Constant_fertility,5yearly,2035,1.09128000977273
935,Constant_mortality,5yearly,2035,0.885175871030628
935,High_variant,5yearly,2035,1.14789749406114
935,Instant_replacement,5yearly,2035,1
935,Low_variant,5yearly,2035,0.680508275099873
935,Medium_variant,5yearly,2035,0.914036783760368
935,No_change,5yearly,2035,1.06237735839728
935,Zero_migration,5yearly,2035,0.914418841684585
935,Constant_fertility,5yearly,2040,1.11682928647635
935,Constant_mortality,5yearly,2040,0.873724258159853
935,High_variant,5yearly,2040,1.14048068894581
935,Instant_replacement,5yearly,2040,1
935,Low_variant,5yearly,2040,0.671516178815813
935,Medium_variant,5yearly,2040,0.905723283971434
935,No_change,5yearly,2040,1.08273245672438
935,Zero_migration,5yearly,2040,0.906073835665298
935,Constant_fertility,5yearly,2045,1.13926002492603
935,Constant_mortality,5yearly,2045,0.863135551046139
935,High_variant,5yearly,2045,1.1321614397044
935,Instant_replacement,5yearly,2045,1
935,Low_variant,5yearly,2045,0.662413461702296
935,Medium_variant,5yearly,2045,0.897277808399956
935,No_change,5yearly,2045,1.09978739619996
935,Zero_migration,5yearly,2045,0.897584469477047
935,Constant_fertility,5yearly,2050,1.15978236997643
935,Constant_mortality,5yearly,2050,0.854029440310734
935,High_variant,5yearly,2050,1.12540110872284
935,Instant_replacement,5yearly,2050,1
935,Low_variant,5yearly,2050,0.654750616620625
935,Medium_variant,5yearly,2050,0.889967616878808
935,No_change,5yearly,2050,1.11502231395353
935,Zero_migration,5yearly,2050,0.890219963094436
935,Constant_fertility,5yearly,2055,1.18116822877664
935,Constant_mortality,5yearly,2055,0.847583681515708
935,High_variant,5yearly,2055,1.12092947638025
935,Instant_replacement,5yearly,2055,1
935,Low_variant,5yearly,2055,0.649066000672907
935,Medium_variant,5yearly,2055,0.88462386765324
935,No_change,5yearly,2055,1.1313223775285
935,Zero_migration,5yearly,2055,0.884826378788142
935,Constant_fertility,5yearly,2060,1.20517578783359
935,Constant_mortality,5yearly,2060,0.841783427967455
935,High_variant,5yearly,2060,1.11677391244341
935,Instant_replacement,5yearly,2060,1
935,Low_variant,5yearly,2060,0.644717451418681
935,Medium_variant,5yearly,2060,0.880510825894802
935,No_change,5yearly,2060,1.14894783865139
935,Zero_migration,5yearly,2060,0.880658103444664
935,Constant_fertility,5yearly,2065,1.23035471544584
935,Constant_mortality,5yearly,2065,0.837319158547637
935,High_variant,5yearly,2065,1.11366047512153
935,Instant_replacement,5yearly,2065,1
935,Low_variant,5yearly,2065,0.641711362478625
935,Medium_variant,5yearly,2065,0.876816719248368
935,No_change,5yearly,2065,1.16791483603378
935,Zero_migration,5yearly,2065,0.876900583899748
935,Constant_fertility,5yearly,2070,1.25529298312307
935,Constant_mortality,5yearly,2070,0.834415278055486
935,High_variant,5yearly,2070,1.11171944464812
935,Instant_replacement,5yearly,2070,1
935,Low_variant,5yearly,2070,0.639067556827713
935,Medium_variant,5yearly,2070,0.874870533045579
935,No_change,5yearly,2070,1.18655511615915
935,Zero_migration,5yearly,2070,0.874899545699081
935,Constant_fertility,5yearly,2075,1.27945798721644
935,Constant_mortality,5yearly,2075,0.832687482058439
935,High_variant,5yearly,2075,1.11140434801889
935,Instant_replacement,5yearly,2075,1
935,Low_variant,5yearly,2075,0.638032230674128
935,Medium_variant,5yearly,2075,0.874213618306332
935,No_change,5yearly,2075,1.20471521191012
935,Zero_migration,5yearly,2075,0.874191857972718
