global,variant,gender,freq,year,lifeexpectancyat15
900,estimates,female,5yearly,1950,48.7236197677604
900,estimates,male,5yearly,1950,45.6613870247146
900,estimates,female,5yearly,1955,50.0955165174654
900,estimates,male,5yearly,1955,46.7257735825536
900,estimates,female,5yearly,1960,51.3990916027035
900,estimates,male,5yearly,1960,47.8492291622191
900,estimates,female,5yearly,1965,54.0132307238394
900,estimates,male,5yearly,1965,50.4195751840172
900,estimates,female,5yearly,1970,55.7443013964893
900,estimates,male,5yearly,1970,51.7915760520449
900,estimates,female,5yearly,1975,57.0531984149208
900,estimates,male,5yearly,1975,52.7966354670829
900,estimates,female,5yearly,1980,58.007204110498
900,estimates,male,5yearly,1980,53.3616281749118
900,estimates,female,5yearly,1985,58.7143247044317
900,estimates,male,5yearly,1985,54.2030929961328
900,estimates,female,5yearly,1990,59.2714904629928
900,estimates,male,5yearly,1990,54.5094455152611
900,estimates,female,5yearly,1995,59.7356143874232
900,estimates,male,5yearly,1995,54.9587263900852
900,estimates,female,5yearly,2000,60.284097299359
900,estimates,male,5yearly,2000,55.794483951251
900,estimates,female,5yearly,2005,61.2620439892397
900,estimates,male,5yearly,2005,56.8111336636835
900,estimates,female,5yearly,2010,62.3064967220193
900,estimates,male,5yearly,2010,57.8255405698797
900,medium_variant,female,5yearly,2015,63.0003803545639
900,medium_variant,male,5yearly,2015,58.5378044124485
900,medium_variant,female,5yearly,2020,63.5997280156276
900,medium_variant,male,5yearly,2020,59.1744127124975
900,medium_variant,female,5yearly,2025,64.1666995365079
900,medium_variant,male,5yearly,2025,59.7701649467153
900,medium_variant,female,5yearly,2030,64.726830509404
900,medium_variant,male,5yearly,2030,60.3307934032755
900,medium_variant,female,5yearly,2035,65.2197791955169
900,medium_variant,male,5yearly,2035,60.8638403756917
900,medium_variant,female,5yearly,2040,65.6961966062479
900,medium_variant,male,5yearly,2040,61.4131017299132
900,medium_variant,female,5yearly,2045,66.1619562701555
900,medium_variant,male,5yearly,2045,61.9396107212653
900,medium_variant,female,5yearly,2050,66.616257202649
900,medium_variant,male,5yearly,2050,62.4552216356556
900,medium_variant,female,5yearly,2055,67.0634349966969
900,medium_variant,male,5yearly,2055,62.9573863650306
900,medium_variant,female,5yearly,2060,67.4954296827984
900,medium_variant,male,5yearly,2060,63.45810723494
900,medium_variant,female,5yearly,2065,67.9218645779858
900,medium_variant,male,5yearly,2065,63.9221773730139
900,medium_variant,female,5yearly,2070,68.3431136458136
900,medium_variant,male,5yearly,2070,64.3883222053469
900,medium_variant,female,5yearly,2075,68.7673158122145
900,medium_variant,male,5yearly,2075,64.8491172282114
900,medium_variant,female,5yearly,2080,69.1977095465018
900,medium_variant,male,5yearly,2080,65.2997669182177
900,medium_variant,female,5yearly,2085,69.6291398987053
900,medium_variant,male,5yearly,2085,65.7631015160903
900,medium_variant,female,5yearly,2090,70.059125922854
900,medium_variant,male,5yearly,2090,66.2402849999019
900,medium_variant,female,5yearly,2095,70.4874245263186
900,medium_variant,male,5yearly,2095,66.7281919821883
