country,variant,freq,year,rateofnaturalincreaseper1000population
250,estimates,5yearly,1950,6.322
250,estimates,5yearly,1955,6.298
250,estimates,5yearly,1960,6.835
250,estimates,5yearly,1965,5.913
250,estimates,5yearly,1970,5.245
250,estimates,5yearly,1975,3.411
250,estimates,5yearly,1980,3.868
250,estimates,5yearly,1985,3.85
250,estimates,5yearly,1990,3.394
250,estimates,5yearly,1995,3.341
250,estimates,5yearly,2000,3.749
250,estimates,5yearly,2005,4.044
250,estimates,5yearly,2010,3.354
250,constant_fertility,5yearly,2015,2.691
250,constant_mortality,5yearly,2015,2.028
250,high_variant,5yearly,2015,4.114
250,instant_replacement,5yearly,2015,3.204
250,low_variant,5yearly,2015,1.184
250,medium_variant,5yearly,2015,2.655
250,momentum,5yearly,2015,2.502
250,no_change,5yearly,2015,2.064
250,zero_migration,5yearly,2015,2.571
250,constant_fertility,5yearly,2020,2.26
250,constant_mortality,5yearly,2020,1.181
250,high_variant,5yearly,2020,4.428
250,instant_replacement,5yearly,2020,2.738
250,low_variant,5yearly,2020,-0.137
250,medium_variant,5yearly,2020,2.175
250,momentum,5yearly,2020,1.507
250,no_change,5yearly,2020,1.266
250,zero_migration,5yearly,2020,1.928
250,constant_fertility,5yearly,2025,2.075
250,constant_mortality,5yearly,2025,0.678000000000001
250,high_variant,5yearly,2025,4.691
250,instant_replacement,5yearly,2025,2.517
250,low_variant,5yearly,2025,-0.962
250,medium_variant,5yearly,2025,1.936
250,momentum,5yearly,2025,0.887
250,no_change,5yearly,2025,0.818000000000001
250,zero_migration,5yearly,2025,1.554
250,constant_fertility,5yearly,2030,1.807
250,constant_mortality,5yearly,2030,0.162000000000001
250,high_variant,5yearly,2030,4.388
250,instant_replacement,5yearly,2030,2.258
250,low_variant,5yearly,2030,-1.293
250,medium_variant,5yearly,2030,1.657
250,momentum,5yearly,2030,0.314
250,no_change,5yearly,2030,0.318
250,zero_migration,5yearly,2030,1.19
250,constant_fertility,5yearly,2035,1.266
250,constant_mortality,5yearly,2035,-0.539999999999999
250,high_variant,5yearly,2035,3.936
250,instant_replacement,5yearly,2035,1.768
250,low_variant,5yearly,2035,-1.954
250,medium_variant,5yearly,2035,1.12
250,momentum,5yearly,2035,-0.388
250,no_change,5yearly,2035,-0.385999999999999
250,zero_migration,5yearly,2035,0.598000000000001
250,constant_fertility,5yearly,2040,0.625
250,constant_mortality,5yearly,2040,-1.215
250,high_variant,5yearly,2040,3.63
250,instant_replacement,5yearly,2040,1.227
250,low_variant,5yearly,2040,-2.914
250,medium_variant,5yearly,2040,0.467000000000001
250,momentum,5yearly,2040,-0.996
250,no_change,5yearly,2040,-1.046
250,zero_migration,5yearly,2040,-0.125
250,constant_fertility,5yearly,2045,0.192
250,constant_mortality,5yearly,2045,-1.625
250,high_variant,5yearly,2045,3.816
250,instant_replacement,5yearly,2045,0.925000000000001
250,low_variant,5yearly,2045,-3.943
250,medium_variant,5yearly,2045,-0.00799999999999912
250,momentum,5yearly,2045,-1.295
250,no_change,5yearly,2045,-1.411
250,zero_migration,5yearly,2045,-0.699
250,constant_fertility,5yearly,2050,0.0909999999999993
250,constant_mortality,5yearly,2050,-1.754
250,high_variant,5yearly,2050,4.362
250,instant_replacement,5yearly,2050,0.911
250,low_variant,5yearly,2050,-4.747
250,medium_variant,5yearly,2050,-0.165999999999999
250,momentum,5yearly,2050,-1.343
250,no_change,5yearly,2050,-1.478
250,zero_migration,5yearly,2050,-0.966000000000001
250,constant_fertility,5yearly,2055,0.126000000000001
250,constant_mortality,5yearly,2055,-1.673
250,high_variant,5yearly,2055,4.817
250,instant_replacement,5yearly,2055,0.969000000000001
250,low_variant,5yearly,2055,-5.296
250,medium_variant,5yearly,2055,-0.177
250,momentum,5yearly,2055,-1.224
250,no_change,5yearly,2055,-1.345
250,zero_migration,5yearly,2055,-1.061
250,constant_fertility,5yearly,2060,0.304
250,constant_mortality,5yearly,2060,-1.421
250,high_variant,5yearly,2060,5.168
250,instant_replacement,5yearly,2060,1.16
250,low_variant,5yearly,2060,-5.492
250,medium_variant,5yearly,2060,-0.0180000000000007
250,momentum,5yearly,2060,-0.908999999999999
250,no_change,5yearly,2060,-1.07
250,zero_migration,5yearly,2060,-0.930999999999999
