country,variant,freq,year,rateofnaturalincreaseper1000population
524,estimates,5yearly,1950,19.142
524,estimates,5yearly,1955,17.56
524,estimates,5yearly,1960,17.557
524,estimates,5yearly,1965,19.297
524,estimates,5yearly,1970,21.066
524,estimates,5yearly,1975,22.918
524,estimates,5yearly,1980,24.321
524,estimates,5yearly,1985,25.279
524,estimates,5yearly,1990,25.616
524,estimates,5yearly,1995,24.895
524,estimates,5yearly,2000,21.848
524,estimates,5yearly,2005,18.28
524,estimates,5yearly,2010,14.408
524,constant_fertility,5yearly,2015,15.214
524,constant_mortality,5yearly,2015,12.581
524,high_variant,5yearly,2015,15.453
524,instant_replacement,5yearly,2015,13.899
524,low_variant,5yearly,2015,11.054
524,medium_variant,5yearly,2015,13.266
524,momentum,5yearly,2015,13.659
524,no_change,5yearly,2015,14.519
524,zero_migration,5yearly,2015,13.445
524,constant_fertility,5yearly,2020,15.031
524,constant_mortality,5yearly,2020,10.762
524,high_variant,5yearly,2020,15.281
524,instant_replacement,5yearly,2020,13.689
524,low_variant,5yearly,2020,8.47
524,medium_variant,5yearly,2020,11.943
524,momentum,5yearly,2020,13.383
524,no_change,5yearly,2020,13.838
524,zero_migration,5yearly,2020,12.393
524,constant_fertility,5yearly,2025,13.81
524,constant_mortality,5yearly,2025,8.64
524,high_variant,5yearly,2025,13.994
524,instant_replacement,5yearly,2025,12.498
524,low_variant,5yearly,2025,6.063
524,medium_variant,5yearly,2025,10.181
524,momentum,5yearly,2025,12.044
524,no_change,5yearly,2025,12.276
524,zero_migration,5yearly,2025,10.745
524,constant_fertility,5yearly,2030,12.07
524,constant_mortality,5yearly,2030,6.339
524,high_variant,5yearly,2030,11.649
524,instant_replacement,5yearly,2030,10.747
524,low_variant,5yearly,2030,4.351
524,medium_variant,5yearly,2030,8.184
524,momentum,5yearly,2030,10.062
524,no_change,5yearly,2030,10.272
524,zero_migration,5yearly,2030,8.762
524,constant_fertility,5yearly,2035,10.823
524,constant_mortality,5yearly,2035,4.306
524,high_variant,5yearly,2035,10.079
524,instant_replacement,5yearly,2035,9.225
524,low_variant,5yearly,2035,2.595
524,medium_variant,5yearly,2035,6.472
524,momentum,5yearly,2035,8.355
524,no_change,5yearly,2035,8.752
524,zero_migration,5yearly,2035,7.086
524,constant_fertility,5yearly,2040,10.227
524,constant_mortality,5yearly,2040,2.652
524,high_variant,5yearly,2040,9.363
524,instant_replacement,5yearly,2040,8.264
524,low_variant,5yearly,2040,0.915
524,medium_variant,5yearly,2040,5.186
524,momentum,5yearly,2040,7.271
524,no_change,5yearly,2040,7.863
524,zero_migration,5yearly,2040,5.893
524,constant_fertility,5yearly,2045,9.638
524,constant_mortality,5yearly,2045,1.066
524,high_variant,5yearly,2045,8.783
524,instant_replacement,5yearly,2045,7.486
524,low_variant,5yearly,2045,-0.749999999999999
524,medium_variant,5yearly,2045,4.015
524,momentum,5yearly,2045,6.389
524,no_change,5yearly,2045,6.973
524,zero_migration,5yearly,2045,4.852
524,constant_fertility,5yearly,2050,8.779
524,constant_mortality,5yearly,2050,-0.618
524,high_variant,5yearly,2050,7.975
524,instant_replacement,5yearly,2050,6.592
524,low_variant,5yearly,2050,-2.414
524,medium_variant,5yearly,2050,2.797
524,momentum,5yearly,2050,5.361
524,no_change,5yearly,2050,5.809
524,zero_migration,5yearly,2050,3.772
524,constant_fertility,5yearly,2055,7.788
524,constant_mortality,5yearly,2055,-2.446
524,high_variant,5yearly,2055,6.905
524,instant_replacement,5yearly,2055,5.519
524,low_variant,5yearly,2055,-4.156
524,medium_variant,5yearly,2055,1.45
524,momentum,5yearly,2055,4.14
524,no_change,5yearly,2055,4.537
524,zero_migration,5yearly,2055,2.558
524,constant_fertility,5yearly,2060,6.913
524,constant_mortality,5yearly,2060,-4.361
524,high_variant,5yearly,2060,5.817
524,instant_replacement,5yearly,2060,4.382
524,low_variant,5yearly,2060,-6.025
524,medium_variant,5yearly,2060,0.0389999999999997
524,momentum,5yearly,2060,2.864
524,no_change,5yearly,2060,3.4
524,zero_migration,5yearly,2060,1.284
524,constant_fertility,5yearly,2065,6.201
524,constant_mortality,5yearly,2065,-6.264
524,high_variant,5yearly,2065,4.897
524,instant_replacement,5yearly,2065,3.32
524,low_variant,5yearly,2065,-8.045
524,medium_variant,5yearly,2065,-1.354
524,momentum,5yearly,2065,1.707
524,no_change,5yearly,2065,2.471
524,zero_migration,5yearly,2065,0.0350000000000001
524,constant_fertility,5yearly,2070,5.53
524,constant_mortality,5yearly,2070,-8.032
524,high_variant,5yearly,2070,4.143
524,instant_replacement,5yearly,2070,2.359
524,low_variant,5yearly,2070,-10.305
524,medium_variant,5yearly,2070,-2.746
524,momentum,5yearly,2070,0.801
524,no_change,5yearly,2070,1.716
524,zero_migration,5yearly,2070,-1.192
524,constant_fertility,5yearly,2075,4.912
524,constant_mortality,5yearly,2075,-9.478
524,high_variant,5yearly,2075,3.559
524,instant_replacement,5yearly,2075,1.55
524,low_variant,5yearly,2075,-12.708
524,medium_variant,5yearly,2075,-4.043
524,momentum,5yearly,2075,0.218999999999999
524,no_change,5yearly,2075,1.178
524,zero_migration,5yearly,2075,-2.313
524,constant_fertility,5yearly,2080,4.416
524,constant_mortality,5yearly,2080,-10.444
524,high_variant,5yearly,2080,3.069
524,instant_replacement,5yearly,2080,0.878
524,low_variant,5yearly,2080,-15.192
524,medium_variant,5yearly,2080,-5.223
524,momentum,5yearly,2080,-0.0280000000000005
524,no_change,5yearly,2080,0.948
524,zero_migration,5yearly,2080,-3.317
524,constant_fertility,5yearly,2085,4.155
524,constant_mortality,5yearly,2085,-10.879
524,high_variant,5yearly,2085,2.717
524,instant_replacement,5yearly,2085,0.399999999999999
524,low_variant,5yearly,2085,-17.533
524,medium_variant,5yearly,2085,-6.163
524,momentum,5yearly,2085,-0.0249999999999986
524,no_change,5yearly,2085,1.021
524,zero_migration,5yearly,2085,-4.1
524,constant_fertility,5yearly,2090,4.141
524,constant_mortality,5yearly,2090,-10.94
524,high_variant,5yearly,2090,2.558
524,instant_replacement,5yearly,2090,0.167999999999999
524,low_variant,5yearly,2090,-19.493
524,medium_variant,5yearly,2090,-6.762
524,momentum,5yearly,2090,0.0579999999999998
524,no_change,5yearly,2090,1.215
524,zero_migration,5yearly,2090,-4.578
524,constant_fertility,5yearly,2095,4.274
524,constant_mortality,5yearly,2095,-10.871
524,high_variant,5yearly,2095,2.588
524,instant_replacement,5yearly,2095,0.164
524,low_variant,5yearly,2095,-20.871
524,medium_variant,5yearly,2095,-6.998
524,momentum,5yearly,2095,0.0670000000000002
524,no_change,5yearly,2095,1.321
524,zero_migration,5yearly,2095,-4.746
