variant,continent,year,rateofnaturalincreaseper1000population
estimates,909,1950,14.912
estimates,909,1951,15.142
estimates,909,1952,15.565
estimates,909,1953,15.912
estimates,909,1954,16.184
estimates,909,1955,16.38
estimates,909,1956,16.5
estimates,909,1957,16.548
estimates,909,1958,16.526
estimates,909,1959,16.439
estimates,909,1960,16.295
estimates,909,1961,16.102
estimates,909,1962,15.875
estimates,909,1963,15.628
estimates,909,1964,15.378
estimates,909,1965,15.149
estimates,909,1966,14.962
estimates,909,1967,14.823
estimates,909,1968,14.727
estimates,909,1969,14.665
estimates,909,1970,14.608
estimates,909,1971,14.516
estimates,909,1972,14.361
estimates,909,1973,14.131
estimates,909,1974,13.833
estimates,909,1975,13.494
estimates,909,1976,13.159
estimates,909,1977,12.87
estimates,909,1978,12.657
estimates,909,1979,12.53
estimates,909,1980,12.478
estimates,909,1981,12.476
estimates,909,1982,12.487
estimates,909,1983,12.482
estimates,909,1984,12.452
estimates,909,1985,12.4
estimates,909,1986,12.337
estimates,909,1987,12.283
estimates,909,1988,12.248
estimates,909,1989,12.23
estimates,909,1990,12.219
estimates,909,1991,12.2
estimates,909,1992,12.157
estimates,909,1993,12.081
estimates,909,1994,11.973
estimates,909,1995,11.833
estimates,909,1996,11.668
estimates,909,1997,11.495
estimates,909,1998,11.328
estimates,909,1999,11.178
estimates,909,2000,11.064
estimates,909,2001,11.003
estimates,909,2002,10.994
estimates,909,2003,11.032
estimates,909,2004,11.106
estimates,909,2005,11.192
estimates,909,2006,11.264
estimates,909,2007,11.296
estimates,909,2008,11.273
estimates,909,2009,11.188
estimates,909,2010,11.046
estimates,909,2011,10.861
estimates,909,2012,10.656
estimates,909,2013,10.452
estimates,909,2014,10.258
estimates,909,2015,10.079
medium_variant,909,2015,10.079
medium_variant,909,2016,9.916
medium_variant,909,2017,9.761
medium_variant,909,2018,9.607
medium_variant,909,2019,9.455
medium_variant,909,2020,9.3
medium_variant,909,2021,9.143
medium_variant,909,2022,8.98
medium_variant,909,2023,8.813
medium_variant,909,2024,8.64
medium_variant,909,2025,8.462
medium_variant,909,2026,8.28
medium_variant,909,2027,8.095
medium_variant,909,2028,7.91
medium_variant,909,2029,7.726
medium_variant,909,2030,7.545
medium_variant,909,2031,7.369
medium_variant,909,2032,7.197
medium_variant,909,2033,7.031
medium_variant,909,2034,6.872
medium_variant,909,2035,6.72
medium_variant,909,2036,6.577
medium_variant,909,2037,6.441
medium_variant,909,2038,6.312
medium_variant,909,2039,6.189
medium_variant,909,2040,6.072
medium_variant,909,2041,5.959
medium_variant,909,2042,5.85
medium_variant,909,2043,5.744
medium_variant,909,2044,5.639
medium_variant,909,2045,5.536
medium_variant,909,2046,5.432
medium_variant,909,2047,5.33
medium_variant,909,2048,5.228
medium_variant,909,2049,5.126
medium_variant,909,2050,5.025
medium_variant,909,2051,4.924
medium_variant,909,2052,4.824
medium_variant,909,2053,4.724
medium_variant,909,2054,4.625
medium_variant,909,2055,4.527
medium_variant,909,2056,4.43
medium_variant,909,2057,4.334
medium_variant,909,2058,4.24
medium_variant,909,2059,4.148
medium_variant,909,2060,4.058
medium_variant,909,2061,3.969
medium_variant,909,2062,3.883
medium_variant,909,2063,3.799
medium_variant,909,2064,3.717
medium_variant,909,2065,3.635
medium_variant,909,2066,3.555
medium_variant,909,2067,3.475
medium_variant,909,2068,3.395
medium_variant,909,2069,3.314
medium_variant,909,2070,3.232
medium_variant,909,2071,3.148
medium_variant,909,2072,3.063
medium_variant,909,2073,2.977
medium_variant,909,2074,2.89
medium_variant,909,2075,2.802
medium_variant,909,2076,2.714
medium_variant,909,2077,2.626
medium_variant,909,2078,2.54
medium_variant,909,2079,2.455
medium_variant,909,2080,2.372
medium_variant,909,2081,2.293
medium_variant,909,2082,2.216
medium_variant,909,2083,2.143
medium_variant,909,2084,2.073
medium_variant,909,2085,2.006
medium_variant,909,2086,1.942
medium_variant,909,2087,1.881
medium_variant,909,2088,1.823
medium_variant,909,2089,1.765
medium_variant,909,2090,1.709
medium_variant,909,2091,1.653
medium_variant,909,2092,1.597
medium_variant,909,2093,1.54
medium_variant,909,2094,1.483
medium_variant,909,2095,1.425
medium_variant,909,2096,1.365
medium_variant,909,2097,1.305
medium_variant,909,2098,1.243
medium_variant,909,2099,1.18
