variant,continent,year,rateofnaturalincreaseper1000population
estimates,935,1950,20.09
estimates,935,1951,19.821
estimates,935,1952,19.343
estimates,935,1953,18.982
estimates,935,1954,18.74
estimates,935,1955,18.616
estimates,935,1956,18.612
estimates,935,1957,18.728
estimates,935,1958,18.962
estimates,935,1959,19.316
estimates,935,1960,19.788
estimates,935,1961,20.368
estimates,935,1962,21.036
estimates,935,1963,21.758
estimates,935,1964,22.486
estimates,935,1965,23.156
estimates,935,1966,23.702
estimates,935,1967,24.084
estimates,935,1968,24.277
estimates,935,1969,24.269
estimates,935,1970,24.053
estimates,935,1971,23.643
estimates,935,1972,23.093
estimates,935,1973,22.468
estimates,935,1974,21.813
estimates,935,1975,21.186
estimates,935,1976,20.635
estimates,935,1977,20.181
estimates,935,1978,19.839
estimates,935,1979,19.619
estimates,935,1980,19.531
estimates,935,1981,19.573
estimates,935,1982,19.703
estimates,935,1983,19.872
estimates,935,1984,20.036
estimates,935,1985,20.136
estimates,935,1986,20.11
estimates,935,1987,19.93
estimates,935,1988,19.587
estimates,935,1989,19.084
estimates,935,1990,18.443
estimates,935,1991,17.704
estimates,935,1992,16.93
estimates,935,1993,16.177
estimates,935,1994,15.48
estimates,935,1995,14.866
estimates,935,1996,14.348
estimates,935,1997,13.911
estimates,935,1998,13.54
estimates,935,1999,13.23
estimates,935,2000,12.977
estimates,935,2001,12.772
estimates,935,2002,12.601
estimates,935,2003,12.45
estimates,935,2004,12.307
estimates,935,2005,12.163
estimates,935,2006,12.011
estimates,935,2007,11.851
estimates,935,2008,11.682
estimates,935,2009,11.499
estimates,935,2010,11.299
estimates,935,2011,11.082
estimates,935,2012,10.849
estimates,935,2013,10.603
estimates,935,2014,10.345
estimates,935,2015,10.074
medium_variant,935,2015,10.074
medium_variant,935,2016,9.791
medium_variant,935,2017,9.498
medium_variant,935,2018,9.196
medium_variant,935,2019,8.888
medium_variant,935,2020,8.578
medium_variant,935,2021,8.266
medium_variant,935,2022,7.956
medium_variant,935,2023,7.649
medium_variant,935,2024,7.346
medium_variant,935,2025,7.05
medium_variant,935,2026,6.761
medium_variant,935,2027,6.478
medium_variant,935,2028,6.2
medium_variant,935,2029,5.927
medium_variant,935,2030,5.66
medium_variant,935,2031,5.399
medium_variant,935,2032,5.142
medium_variant,935,2033,4.89
medium_variant,935,2034,4.644
medium_variant,935,2035,4.402
medium_variant,935,2036,4.167
medium_variant,935,2037,3.938
medium_variant,935,2038,3.716
medium_variant,935,2039,3.498
medium_variant,935,2040,3.286
medium_variant,935,2041,3.077
medium_variant,935,2042,2.872
medium_variant,935,2043,2.668
medium_variant,935,2044,2.466
medium_variant,935,2045,2.264
medium_variant,935,2046,2.062
medium_variant,935,2047,1.86
medium_variant,935,2048,1.659
medium_variant,935,2049,1.46
medium_variant,935,2050,1.261
medium_variant,935,2051,1.064
medium_variant,935,2052,0.869
medium_variant,935,2053,0.678
medium_variant,935,2054,0.49
medium_variant,935,2055,0.308
medium_variant,935,2056,0.131
medium_variant,935,2057,-0.04
medium_variant,935,2058,-0.204
medium_variant,935,2059,-0.361
medium_variant,935,2060,-0.51
medium_variant,935,2061,-0.653
medium_variant,935,2062,-0.788
medium_variant,935,2063,-0.917
medium_variant,935,2064,-1.04
medium_variant,935,2065,-1.158
medium_variant,935,2066,-1.27
medium_variant,935,2067,-1.377
medium_variant,935,2068,-1.479
medium_variant,935,2069,-1.576
medium_variant,935,2070,-1.67
medium_variant,935,2071,-1.76
medium_variant,935,2072,-1.847
medium_variant,935,2073,-1.931
medium_variant,935,2074,-2.011
medium_variant,935,2075,-2.089
medium_variant,935,2076,-2.162
medium_variant,935,2077,-2.232
medium_variant,935,2078,-2.298
medium_variant,935,2079,-2.359
medium_variant,935,2080,-2.415
medium_variant,935,2081,-2.467
medium_variant,935,2082,-2.513
medium_variant,935,2083,-2.556
medium_variant,935,2084,-2.594
medium_variant,935,2085,-2.629
medium_variant,935,2086,-2.661
medium_variant,935,2087,-2.691
medium_variant,935,2088,-2.718
medium_variant,935,2089,-2.745
medium_variant,935,2090,-2.77
medium_variant,935,2091,-2.795
medium_variant,935,2092,-2.82
medium_variant,935,2093,-2.845
medium_variant,935,2094,-2.87
medium_variant,935,2095,-2.894
medium_variant,935,2096,-2.919
medium_variant,935,2097,-2.944
medium_variant,935,2098,-2.968
medium_variant,935,2099,-2.993
