variant,continent,year,rateofnaturalincreaseper1000population
estimates,904,1950,26.751
estimates,904,1951,26.826
estimates,904,1952,26.98
estimates,904,1953,27.145
estimates,904,1954,27.322
estimates,904,1955,27.508
estimates,904,1956,27.701
estimates,904,1957,27.896
estimates,904,1958,28.085
estimates,904,1959,28.252
estimates,904,1960,28.379
estimates,904,1961,28.45
estimates,904,1962,28.447
estimates,904,1963,28.362
estimates,904,1964,28.197
estimates,904,1965,27.961
estimates,904,1966,27.673
estimates,904,1967,27.358
estimates,904,1968,27.04
estimates,904,1969,26.731
estimates,904,1970,26.441
estimates,904,1971,26.172
estimates,904,1972,25.915
estimates,904,1973,25.664
estimates,904,1974,25.416
estimates,904,1975,25.169
estimates,904,1976,24.92
estimates,904,1977,24.668
estimates,904,1978,24.406
estimates,904,1979,24.131
estimates,904,1980,23.838
estimates,904,1981,23.523
estimates,904,1982,23.183
estimates,904,1983,22.821
estimates,904,1984,22.438
estimates,904,1985,22.037
estimates,904,1986,21.623
estimates,904,1987,21.202
estimates,904,1988,20.78
estimates,904,1989,20.363
estimates,904,1990,19.958
estimates,904,1991,19.569
estimates,904,1992,19.196
estimates,904,1993,18.838
estimates,904,1994,18.491
estimates,904,1995,18.15
estimates,904,1996,17.807
estimates,904,1997,17.454
estimates,904,1998,17.086
estimates,904,1999,16.702
estimates,904,2000,16.302
estimates,904,2001,15.884
estimates,904,2002,15.458
estimates,904,2003,15.03
estimates,904,2004,14.607
estimates,904,2005,14.199
estimates,904,2006,13.815
estimates,904,2007,13.459
estimates,904,2008,13.131
estimates,904,2009,12.83
estimates,904,2010,12.55
estimates,904,2011,12.283
estimates,904,2012,12.019
estimates,904,2013,11.75
estimates,904,2014,11.471
estimates,904,2015,11.18
medium_variant,904,2015,11.18
medium_variant,904,2016,10.879
medium_variant,904,2017,10.573
medium_variant,904,2018,10.267
medium_variant,904,2019,9.962
medium_variant,904,2020,9.659
medium_variant,904,2021,9.36
medium_variant,904,2022,9.062
medium_variant,904,2023,8.768
medium_variant,904,2024,8.476
medium_variant,904,2025,8.188
medium_variant,904,2026,7.905
medium_variant,904,2027,7.625
medium_variant,904,2028,7.35
medium_variant,904,2029,7.08
medium_variant,904,2030,6.813
medium_variant,904,2031,6.551
medium_variant,904,2032,6.293
medium_variant,904,2033,6.038
medium_variant,904,2034,5.788
medium_variant,904,2035,5.54
medium_variant,904,2036,5.297
medium_variant,904,2037,5.058
medium_variant,904,2038,4.822
medium_variant,904,2039,4.591
medium_variant,904,2040,4.363
medium_variant,904,2041,4.138
medium_variant,904,2042,3.917
medium_variant,904,2043,3.699
medium_variant,904,2044,3.483
medium_variant,904,2045,3.271
medium_variant,904,2046,3.06
medium_variant,904,2047,2.852
medium_variant,904,2048,2.646
medium_variant,904,2049,2.442
medium_variant,904,2050,2.24
medium_variant,904,2051,2.039
medium_variant,904,2052,1.839
medium_variant,904,2053,1.64
medium_variant,904,2054,1.442
medium_variant,904,2055,1.246
medium_variant,904,2056,1.052
medium_variant,904,2057,0.859
medium_variant,904,2058,0.668
medium_variant,904,2059,0.48
medium_variant,904,2060,0.294
medium_variant,904,2061,0.112
medium_variant,904,2062,-0.068
medium_variant,904,2063,-0.244
medium_variant,904,2064,-0.417
medium_variant,904,2065,-0.587
medium_variant,904,2066,-0.753
medium_variant,904,2067,-0.915
medium_variant,904,2068,-1.074
medium_variant,904,2069,-1.229
medium_variant,904,2070,-1.379
medium_variant,904,2071,-1.524
medium_variant,904,2072,-1.665
medium_variant,904,2073,-1.8
medium_variant,904,2074,-1.93
medium_variant,904,2075,-2.056
medium_variant,904,2076,-2.176
medium_variant,904,2077,-2.292
medium_variant,904,2078,-2.404
medium_variant,904,2079,-2.512
medium_variant,904,2080,-2.615
medium_variant,904,2081,-2.715
medium_variant,904,2082,-2.809
medium_variant,904,2083,-2.899
medium_variant,904,2084,-2.983
medium_variant,904,2085,-3.063
medium_variant,904,2086,-3.136
medium_variant,904,2087,-3.205
medium_variant,904,2088,-3.268
medium_variant,904,2089,-3.326
medium_variant,904,2090,-3.379
medium_variant,904,2091,-3.428
medium_variant,904,2092,-3.473
medium_variant,904,2093,-3.514
medium_variant,904,2094,-3.552
medium_variant,904,2095,-3.586
medium_variant,904,2096,-3.617
medium_variant,904,2097,-3.644
medium_variant,904,2098,-3.669
medium_variant,904,2099,-3.69
