variant,continent,year,rateofnaturalincreaseper1000population
estimates,908,1950,9.809
estimates,908,1951,9.974
estimates,908,1952,10.271
estimates,908,1953,10.503
estimates,908,1954,10.67
estimates,908,1955,10.771
estimates,908,1956,10.806
estimates,908,1957,10.775
estimates,908,1958,10.676
estimates,908,1959,10.507
estimates,908,1960,10.267
estimates,908,1961,9.957
estimates,908,1962,9.581
estimates,908,1963,9.15
estimates,908,1964,8.68
estimates,908,1965,8.192
estimates,908,1966,7.709
estimates,908,1967,7.246
estimates,908,1968,6.818
estimates,908,1969,6.433
estimates,908,1970,6.095
estimates,908,1971,5.797
estimates,908,1972,5.526
estimates,908,1973,5.269
estimates,908,1974,5.024
estimates,908,1975,4.791
estimates,908,1976,4.57
estimates,908,1977,4.365
estimates,908,1978,4.179
estimates,908,1979,4.011
estimates,908,1980,3.867
estimates,908,1981,3.754
estimates,908,1982,3.669
estimates,908,1983,3.6
estimates,908,1984,3.532
estimates,908,1985,3.433
estimates,908,1986,3.268
estimates,908,1987,3.017
estimates,908,1988,2.673
estimates,908,1989,2.243
estimates,908,1990,1.745
estimates,908,1991,1.206
estimates,908,1992,0.666
estimates,908,1993,0.162
estimates,908,1994,-0.285
estimates,908,1995,-0.66
estimates,908,1996,-0.961
estimates,908,1997,-1.198
estimates,908,1998,-1.381
estimates,908,1999,-1.51
estimates,908,2000,-1.579
estimates,908,2001,-1.583
estimates,908,2002,-1.523
estimates,908,2003,-1.408
estimates,908,2004,-1.25
estimates,908,2005,-1.063
estimates,908,2006,-0.86
estimates,908,2007,-0.657
estimates,908,2008,-0.47
estimates,908,2009,-0.312
estimates,908,2010,-0.198
estimates,908,2011,-0.137
estimates,908,2012,-0.126
estimates,908,2013,-0.158
estimates,908,2014,-0.23
estimates,908,2015,-0.337
medium_variant,908,2015,-0.337
medium_variant,908,2016,-0.468
medium_variant,908,2017,-0.613
medium_variant,908,2018,-0.762
medium_variant,908,2019,-0.908
medium_variant,908,2020,-1.049
medium_variant,908,2021,-1.185
medium_variant,908,2022,-1.321
medium_variant,908,2023,-1.458
medium_variant,908,2024,-1.596
medium_variant,908,2025,-1.734
medium_variant,908,2026,-1.869
medium_variant,908,2027,-2
medium_variant,908,2028,-2.125
medium_variant,908,2029,-2.241
medium_variant,908,2030,-2.348
medium_variant,908,2031,-2.443
medium_variant,908,2032,-2.527
medium_variant,908,2033,-2.601
medium_variant,908,2034,-2.664
medium_variant,908,2035,-2.718
medium_variant,908,2036,-2.762
medium_variant,908,2037,-2.8
medium_variant,908,2038,-2.832
medium_variant,908,2039,-2.861
medium_variant,908,2040,-2.889
medium_variant,908,2041,-2.918
medium_variant,908,2042,-2.949
medium_variant,908,2043,-2.983
medium_variant,908,2044,-3.022
medium_variant,908,2045,-3.065
medium_variant,908,2046,-3.113
medium_variant,908,2047,-3.166
medium_variant,908,2048,-3.222
medium_variant,908,2049,-3.28
medium_variant,908,2050,-3.34
medium_variant,908,2051,-3.402
medium_variant,908,2052,-3.465
medium_variant,908,2053,-3.526
medium_variant,908,2054,-3.585
medium_variant,908,2055,-3.639
medium_variant,908,2056,-3.688
medium_variant,908,2057,-3.729
medium_variant,908,2058,-3.762
medium_variant,908,2059,-3.785
medium_variant,908,2060,-3.797
medium_variant,908,2061,-3.796
medium_variant,908,2062,-3.783
medium_variant,908,2063,-3.759
medium_variant,908,2064,-3.724
medium_variant,908,2065,-3.677
medium_variant,908,2066,-3.621
medium_variant,908,2067,-3.555
medium_variant,908,2068,-3.482
medium_variant,908,2069,-3.403
medium_variant,908,2070,-3.319
medium_variant,908,2071,-3.23
medium_variant,908,2072,-3.138
medium_variant,908,2073,-3.044
medium_variant,908,2074,-2.949
medium_variant,908,2075,-2.854
medium_variant,908,2076,-2.759
medium_variant,908,2077,-2.666
medium_variant,908,2078,-2.574
medium_variant,908,2079,-2.485
medium_variant,908,2080,-2.4
medium_variant,908,2081,-2.319
medium_variant,908,2082,-2.241
medium_variant,908,2083,-2.169
medium_variant,908,2084,-2.102
medium_variant,908,2085,-2.04
medium_variant,908,2086,-1.985
medium_variant,908,2087,-1.937
medium_variant,908,2088,-1.895
medium_variant,908,2089,-1.86
medium_variant,908,2090,-1.832
medium_variant,908,2091,-1.81
medium_variant,908,2092,-1.794
medium_variant,908,2093,-1.785
medium_variant,908,2094,-1.781
medium_variant,908,2095,-1.782
medium_variant,908,2096,-1.789
medium_variant,908,2097,-1.801
medium_variant,908,2098,-1.819
medium_variant,908,2099,-1.842
