variant,continent,year,rateofnaturalincreaseper1000population
estimates,905,1950,14.275
estimates,905,1951,14.489
estimates,905,1952,14.858
estimates,905,1953,15.114
estimates,905,1954,15.254
estimates,905,1955,15.28
estimates,905,1956,15.191
estimates,905,1957,14.988
estimates,905,1958,14.674
estimates,905,1959,14.253
estimates,905,1960,13.728
estimates,905,1961,13.111
estimates,905,1962,12.417
estimates,905,1963,11.669
estimates,905,1964,10.896
estimates,905,1965,10.127
estimates,905,1966,9.391
estimates,905,1967,8.706
estimates,905,1968,8.088
estimates,905,1969,7.554
estimates,905,1970,7.113
estimates,905,1971,6.768
estimates,905,1972,6.503
estimates,905,1973,6.303
estimates,905,1974,6.162
estimates,905,1975,6.078
estimates,905,1976,6.049
estimates,905,1977,6.069
estimates,905,1978,6.129
estimates,905,1979,6.218
estimates,905,1980,6.321
estimates,905,1981,6.427
estimates,905,1982,6.527
estimates,905,1983,6.615
estimates,905,1984,6.682
estimates,905,1985,6.73
estimates,905,1986,6.762
estimates,905,1987,6.785
estimates,905,1988,6.802
estimates,905,1989,6.807
estimates,905,1990,6.79
estimates,905,1991,6.733
estimates,905,1992,6.63
estimates,905,1993,6.481
estimates,905,1994,6.292
estimates,905,1995,6.08
estimates,905,1996,5.864
estimates,905,1997,5.664
estimates,905,1998,5.499
estimates,905,1999,5.375
estimates,905,2000,5.303
estimates,905,2001,5.285
estimates,905,2002,5.307
estimates,905,2003,5.351
estimates,905,2004,5.403
estimates,905,2005,5.439
estimates,905,2006,5.432
estimates,905,2007,5.37
estimates,905,2008,5.25
estimates,905,2009,5.076
estimates,905,2010,4.866
estimates,905,2011,4.648
estimates,905,2012,4.45
estimates,905,2013,4.295
estimates,905,2014,4.189
estimates,905,2015,4.134
medium_variant,905,2015,4.134
medium_variant,905,2016,4.121
medium_variant,905,2017,4.128
medium_variant,905,2018,4.137
medium_variant,905,2019,4.137
medium_variant,905,2020,4.122
medium_variant,905,2021,4.089
medium_variant,905,2022,4.039
medium_variant,905,2023,3.976
medium_variant,905,2024,3.897
medium_variant,905,2025,3.802
medium_variant,905,2026,3.691
medium_variant,905,2027,3.567
medium_variant,905,2028,3.432
medium_variant,905,2029,3.288
medium_variant,905,2030,3.138
medium_variant,905,2031,2.981
medium_variant,905,2032,2.821
medium_variant,905,2033,2.659
medium_variant,905,2034,2.498
medium_variant,905,2035,2.339
medium_variant,905,2036,2.184
medium_variant,905,2037,2.035
medium_variant,905,2038,1.891
medium_variant,905,2039,1.756
medium_variant,905,2040,1.63
medium_variant,905,2041,1.516
medium_variant,905,2042,1.415
medium_variant,905,2043,1.325
medium_variant,905,2044,1.249
medium_variant,905,2045,1.187
medium_variant,905,2046,1.141
medium_variant,905,2047,1.108
medium_variant,905,2048,1.088
medium_variant,905,2049,1.08
medium_variant,905,2050,1.083
medium_variant,905,2051,1.095
medium_variant,905,2052,1.116
medium_variant,905,2053,1.143
medium_variant,905,2054,1.173
medium_variant,905,2055,1.205
medium_variant,905,2056,1.237
medium_variant,905,2057,1.269
medium_variant,905,2058,1.299
medium_variant,905,2059,1.325
medium_variant,905,2060,1.346
medium_variant,905,2061,1.361
medium_variant,905,2062,1.371
medium_variant,905,2063,1.375
medium_variant,905,2064,1.373
medium_variant,905,2065,1.363
medium_variant,905,2066,1.344
medium_variant,905,2067,1.317
medium_variant,905,2068,1.282
medium_variant,905,2069,1.241
medium_variant,905,2070,1.193
medium_variant,905,2071,1.14
medium_variant,905,2072,1.084
medium_variant,905,2073,1.026
medium_variant,905,2074,0.967
medium_variant,905,2075,0.909
medium_variant,905,2076,0.852
medium_variant,905,2077,0.796
medium_variant,905,2078,0.741
medium_variant,905,2079,0.689
medium_variant,905,2080,0.64
medium_variant,905,2081,0.595
medium_variant,905,2082,0.555
medium_variant,905,2083,0.52
medium_variant,905,2084,0.49
medium_variant,905,2085,0.467
medium_variant,905,2086,0.45
medium_variant,905,2087,0.439
medium_variant,905,2088,0.433
medium_variant,905,2089,0.431
medium_variant,905,2090,0.432
medium_variant,905,2091,0.434
medium_variant,905,2092,0.437
medium_variant,905,2093,0.439
medium_variant,905,2094,0.44
medium_variant,905,2095,0.439
medium_variant,905,2096,0.436
medium_variant,905,2097,0.43
medium_variant,905,2098,0.423
medium_variant,905,2099,0.413
