continent,variant,freq,year,totalfertility
909,Estimates,5yearly,1950,3.83552759683155
909,Estimates,5yearly,1955,4.05023986087994
909,Estimates,5yearly,1960,3.94929859161744
909,Estimates,5yearly,1965,3.54640801008074
909,Estimates,5yearly,1970,3.22911841210195
909,Estimates,5yearly,1975,2.71802178696581
909,Estimates,5yearly,1980,2.57958635009891
909,Estimates,5yearly,1985,2.49186796368519
909,Estimates,5yearly,1990,2.49234752168971
909,Estimates,5yearly,1995,2.4546931610668
909,Estimates,5yearly,2000,2.4284147634672
909,Estimates,5yearly,2005,2.51369568415713
909,Estimates,5yearly,2010,2.42196560771225
909,Constant_fertility,5yearly,2015,2.45350555518293
909,Constant_mortality,5yearly,2015,2.34771922404256
909,High_variant,5yearly,2015,2.60062542594791
909,Instant_replacement,5yearly,2015,2.14805467456616
909,Low_variant,5yearly,2015,2.09514202762305
909,Medium_variant,5yearly,2015,2.34787759473136
909,No_change,5yearly,2015,2.45332514742546
909,Zero_migration,5yearly,2015,2.35944203226012
909,Constant_fertility,5yearly,2020,2.48705063993668
909,Constant_mortality,5yearly,2020,2.29338519934916
909,High_variant,5yearly,2020,2.69974316791359
909,Instant_replacement,5yearly,2020,2.15317448191592
909,Low_variant,5yearly,2020,1.88804377455349
909,Medium_variant,5yearly,2020,2.29389702496734
909,No_change,5yearly,2020,2.48638810453101
909,Zero_migration,5yearly,2020,2.32538647712193
909,Constant_fertility,5yearly,2025,2.50642344592384
909,Constant_mortality,5yearly,2025,2.23577026229407
909,High_variant,5yearly,2025,2.74223993852024
909,Instant_replacement,5yearly,2025,2.14327733108611
909,Low_variant,5yearly,2025,1.7311264837546
909,Medium_variant,5yearly,2025,2.23668068144088
909,No_change,5yearly,2025,2.50506255286583
909,Zero_migration,5yearly,2025,2.28096309336708
909,Constant_fertility,5yearly,2030,2.51843245958029
909,Constant_mortality,5yearly,2030,2.17652166900321
909,High_variant,5yearly,2030,2.67980191991284
909,Instant_replacement,5yearly,2030,2.12321399516533
909,Low_variant,5yearly,2030,1.67591281528506
909,Medium_variant,5yearly,2030,2.17790599759451
909,No_change,5yearly,2030,2.51604814475446
909,Zero_migration,5yearly,2030,2.22833526666866
909,Constant_fertility,5yearly,2035,2.53436915216052
909,Constant_mortality,5yearly,2035,2.12624850329614
909,High_variant,5yearly,2035,2.6262690791111
909,Instant_replacement,5yearly,2035,2.09597324427432
909,Low_variant,5yearly,2035,1.63012018873012
909,Medium_variant,5yearly,2035,2.12831458318059
909,No_change,5yearly,2035,2.53040899424232
909,Zero_migration,5yearly,2035,2.18335233414978
909,Constant_fertility,5yearly,2040,2.55742431593018
