variant,region,year,noofbirth
estimates,957,1950,11.801
estimates,957,1951,11.921
estimates,957,1952,12.165
estimates,957,1953,12.415
estimates,957,1954,12.669
estimates,957,1955,12.928
estimates,957,1956,13.193
estimates,957,1957,13.461
estimates,957,1958,13.73
estimates,957,1959,14.002
estimates,957,1960,14.264
estimates,957,1961,14.52
estimates,957,1962,14.759
estimates,957,1963,14.976
estimates,957,1964,15.166
estimates,957,1965,15.321
estimates,957,1966,15.433
estimates,957,1967,15.5
estimates,957,1968,15.534
estimates,957,1969,15.533
estimates,957,1970,15.512
estimates,957,1971,15.484
estimates,957,1972,15.459
estimates,957,1973,15.448
estimates,957,1974,15.461
estimates,957,1975,15.509
estimates,957,1976,15.587
estimates,957,1977,15.693
estimates,957,1978,15.819
estimates,957,1979,15.962
estimates,957,1980,16.116
estimates,957,1981,16.282
estimates,957,1982,16.454
estimates,957,1983,16.624
estimates,957,1984,16.782
estimates,957,1985,16.917
estimates,957,1986,17.019
estimates,957,1987,17.089
estimates,957,1988,17.118
estimates,957,1989,17.107
estimates,957,1990,17.055
estimates,957,1991,16.96
estimates,957,1992,16.832
estimates,957,1993,16.681
estimates,957,1994,16.513
estimates,957,1995,16.341
estimates,957,1996,16.173
estimates,957,1997,16.01
estimates,957,1998,15.862
estimates,957,1999,15.729
estimates,957,2000,15.615
estimates,957,2001,15.523
estimates,957,2002,15.442
estimates,957,2003,15.37
estimates,957,2004,15.296
estimates,957,2005,15.222
estimates,957,2006,15.127
estimates,957,2007,15.017
estimates,957,2008,14.884
estimates,957,2009,14.733
estimates,957,2010,14.566
estimates,957,2011,14.395
estimates,957,2012,14.224
estimates,957,2013,14.065
estimates,957,2014,13.92
estimates,957,2015,13.797
medium_variant,957,2015,13.797
medium_variant,957,2016,13.695
medium_variant,957,2017,13.61
medium_variant,957,2018,13.54
medium_variant,957,2019,13.486
medium_variant,957,2020,13.444
medium_variant,957,2021,13.411
medium_variant,957,2022,13.391
medium_variant,957,2023,13.375
medium_variant,957,2024,13.364
medium_variant,957,2025,13.358
medium_variant,957,2026,13.356
medium_variant,957,2027,13.354
medium_variant,957,2028,13.359
medium_variant,957,2029,13.364
medium_variant,957,2030,13.364
medium_variant,957,2031,13.361
medium_variant,957,2032,13.354
medium_variant,957,2033,13.339
medium_variant,957,2034,13.314
medium_variant,957,2035,13.277
medium_variant,957,2036,13.229
medium_variant,957,2037,13.17
medium_variant,957,2038,13.1
medium_variant,957,2039,13.021
medium_variant,957,2040,12.93
medium_variant,957,2041,12.832
medium_variant,957,2042,12.725
medium_variant,957,2043,12.612
medium_variant,957,2044,12.499
medium_variant,957,2045,12.382
medium_variant,957,2046,12.27
medium_variant,957,2047,12.158
medium_variant,957,2048,12.049
medium_variant,957,2049,11.943
medium_variant,957,2050,11.849
medium_variant,957,2051,11.761
medium_variant,957,2052,11.684
medium_variant,957,2053,11.612
medium_variant,957,2054,11.549
medium_variant,957,2055,11.493
medium_variant,957,2056,11.445
medium_variant,957,2057,11.402
medium_variant,957,2058,11.361
medium_variant,957,2059,11.323
medium_variant,957,2060,11.284
medium_variant,957,2061,11.243
medium_variant,957,2062,11.201
medium_variant,957,2063,11.155
medium_variant,957,2064,11.104
medium_variant,957,2065,11.045
medium_variant,957,2066,10.983
medium_variant,957,2067,10.912
medium_variant,957,2068,10.838
medium_variant,957,2069,10.755
medium_variant,957,2070,10.667
medium_variant,957,2071,10.573
medium_variant,957,2072,10.474
medium_variant,957,2073,10.373
medium_variant,957,2074,10.269
medium_variant,957,2075,10.166
medium_variant,957,2076,10.061
medium_variant,957,2077,9.955
medium_variant,957,2078,9.853
medium_variant,957,2079,9.753
medium_variant,957,2080,9.658
medium_variant,957,2081,9.565
medium_variant,957,2082,9.478
medium_variant,957,2083,9.398
medium_variant,957,2084,9.322
medium_variant,957,2085,9.249
medium_variant,957,2086,9.18
medium_variant,957,2087,9.116
medium_variant,957,2088,9.055
medium_variant,957,2089,8.996
medium_variant,957,2090,8.938
medium_variant,957,2091,8.885
medium_variant,957,2092,8.83
medium_variant,957,2093,8.777
medium_variant,957,2094,8.721
medium_variant,957,2095,8.664
medium_variant,957,2096,8.607
medium_variant,957,2097,8.549
medium_variant,957,2098,8.49
medium_variant,957,2099,8.432
