variant,region,year,noofbirth
estimates,920,1950,7118.822
estimates,920,1951,7259.681
estimates,920,1952,7535.719
estimates,920,1953,7800.395
estimates,920,1954,8053.703
estimates,920,1955,8295.69
estimates,920,1956,8526.514
estimates,920,1957,8746.435
estimates,920,1958,8955.919
estimates,920,1959,9155.767
estimates,920,1960,9346.935
estimates,920,1961,9530.444
estimates,920,1962,9707.328
estimates,920,1963,9878.357
estimates,920,1964,10043.838
estimates,920,1965,10203.557
estimates,920,1966,10356.825
estimates,920,1967,10502.61
estimates,920,1968,10640.172
estimates,920,1969,10769.345
estimates,920,1970,10889.401
estimates,920,1971,10999.612
estimates,920,1972,11100.633
estimates,920,1973,11193.89
estimates,920,1974,11281.135
estimates,920,1975,11366.336
estimates,920,1976,11454.077
estimates,920,1977,11546.263
estimates,920,1978,11642.702
estimates,920,1979,11741.436
estimates,920,1980,11837.503
estimates,920,1981,11924.272
estimates,920,1982,11995.778
estimates,920,1983,12048.102
estimates,920,1984,12080.207
estimates,920,1985,12094.453
estimates,920,1986,12095.811
estimates,920,1987,12090.099
estimates,920,1988,12080.98
estimates,920,1989,12068.594
estimates,920,1990,12047.247
estimates,920,1991,12008.331
estimates,920,1992,11947.159
estimates,920,1993,11864.127
estimates,920,1994,11764.819
estimates,920,1995,11661.285
estimates,920,1996,11568.747
estimates,920,1997,11499.919
estimates,920,1998,11462.956
estimates,920,1999,11459.959
estimates,920,2000,11487.794
estimates,920,2001,11538.139
estimates,920,2002,11597.297
estimates,920,2003,11653.76
estimates,920,2004,11702.166
estimates,920,2005,11740.306
estimates,920,2006,11769.488
estimates,920,2007,11794.219
estimates,920,2008,11817.257
estimates,920,2009,11837.672
estimates,920,2010,11853.057
estimates,920,2011,11860.345
estimates,920,2012,11857.352
estimates,920,2013,11843.052
estimates,920,2014,11817.75
estimates,920,2015,11782.999
medium_variant,920,2015,11782.999
medium_variant,920,2016,11741.375
medium_variant,920,2017,11696.176
medium_variant,920,2018,11650.099
medium_variant,920,2019,11604.452
medium_variant,920,2020,11559.48
medium_variant,920,2021,11514.359
medium_variant,920,2022,11467.488
medium_variant,920,2023,11417.883
medium_variant,920,2024,11365.766
medium_variant,920,2025,11311.599
medium_variant,920,2026,11256.079
medium_variant,920,2027,11200.275
medium_variant,920,2028,11145.206
medium_variant,920,2029,11091.605
medium_variant,920,2030,11040.162
medium_variant,920,2031,10991.3
medium_variant,920,2032,10944.852
medium_variant,920,2033,10900.577
medium_variant,920,2034,10858.372
medium_variant,920,2035,10818.107
medium_variant,920,2036,10779.578
medium_variant,920,2037,10742.287
medium_variant,920,2038,10705.668
medium_variant,920,2039,10669.221
medium_variant,920,2040,10632.525
medium_variant,920,2041,10595.291
medium_variant,920,2042,10557.354
medium_variant,920,2043,10518.482
medium_variant,920,2044,10478.348
medium_variant,920,2045,10436.639
medium_variant,920,2046,10393.131
medium_variant,920,2047,10347.865
medium_variant,920,2048,10300.912
medium_variant,920,2049,10252.303
medium_variant,920,2050,10202.015
medium_variant,920,2051,10150.056
medium_variant,920,2052,10096.667
medium_variant,920,2053,10042.173
medium_variant,920,2054,9986.912
medium_variant,920,2055,9931.17
medium_variant,920,2056,9875.182
medium_variant,920,2057,9819.194
medium_variant,920,2058,9763.518
medium_variant,920,2059,9708.497
medium_variant,920,2060,9654.483
medium_variant,920,2061,9601.723
medium_variant,920,2062,9550.251
medium_variant,920,2063,9500.077
medium_variant,920,2064,9451.252
medium_variant,920,2065,9403.789
medium_variant,920,2066,9357.631
medium_variant,920,2067,9312.575
medium_variant,920,2068,9268.396
medium_variant,920,2069,9224.936
medium_variant,920,2070,9182.083
medium_variant,920,2071,9139.768
medium_variant,920,2072,9097.931
medium_variant,920,2073,9056.463
medium_variant,920,2074,9015.205
medium_variant,920,2075,8974.016
medium_variant,920,2076,8932.795
medium_variant,920,2077,8891.487
medium_variant,920,2078,8850.02
medium_variant,920,2079,8808.303
medium_variant,920,2080,8766.227
medium_variant,920,2081,8723.703
medium_variant,920,2082,8680.768
medium_variant,920,2083,8637.494
medium_variant,920,2084,8593.949
medium_variant,920,2085,8550.203
medium_variant,920,2086,8506.342
medium_variant,920,2087,8462.5
medium_variant,920,2088,8418.841
medium_variant,920,2089,8375.512
medium_variant,920,2090,8332.641
medium_variant,920,2091,8290.323
medium_variant,920,2092,8248.614
medium_variant,920,2093,8207.564
medium_variant,920,2094,8167.19
medium_variant,920,2095,8127.516
medium_variant,920,2096,8088.551
medium_variant,920,2097,8050.292
medium_variant,920,2098,8012.746
medium_variant,920,2099,7975.905
