variant,region,year,noofbirth
estimates,1501,1950,33948.529
estimates,1501,1951,34337.014
estimates,1501,1952,35108.837
estimates,1501,1953,35870.346
estimates,1501,1954,36621.539
estimates,1501,1955,37362.344
estimates,1501,1956,38092.57
estimates,1501,1957,38812.407
estimates,1501,1958,39521.957
estimates,1501,1959,40221.162
estimates,1501,1960,40910.42
estimates,1501,1961,41590.767
estimates,1501,1962,42264.26
estimates,1501,1963,42934.4
estimates,1501,1964,43605.934
estimates,1501,1965,44285.248
estimates,1501,1966,44978.701
estimates,1501,1967,45690.083
estimates,1501,1968,46421.804
estimates,1501,1969,47175.045
estimates,1501,1970,47946.565
estimates,1501,1971,48730.271
estimates,1501,1972,49520.933
estimates,1501,1973,50316.689
estimates,1501,1974,51119.933
estimates,1501,1975,51944.827
estimates,1501,1976,52810.215
estimates,1501,1977,53723.414
estimates,1501,1978,54680.708
estimates,1501,1979,55668.522
estimates,1501,1980,56665.484
estimates,1501,1981,57645.459
estimates,1501,1982,58579.215
estimates,1501,1983,59440.605
estimates,1501,1984,60211.764
estimates,1501,1985,60877.055
estimates,1501,1986,61429.459
estimates,1501,1987,61882.125
estimates,1501,1988,62250.8
estimates,1501,1989,62545.648
estimates,1501,1990,62775.696
estimates,1501,1991,62949.693
estimates,1501,1992,63081.99
estimates,1501,1993,63190.311
estimates,1501,1994,63292.592
estimates,1501,1995,63408.392
estimates,1501,1996,63553.63
estimates,1501,1997,63732.963
estimates,1501,1998,63948.431
estimates,1501,1999,64202.354
estimates,1501,2000,64495.435
estimates,1501,2001,64824.228
estimates,1501,2002,65174.707
estimates,1501,2003,65531.089
estimates,1501,2004,65880.961
estimates,1501,2005,66208.9
estimates,1501,2006,66500.92
estimates,1501,2007,66751.591
estimates,1501,2008,66958.799
estimates,1501,2009,67122.015
estimates,1501,2010,67246.091
estimates,1501,2011,67340.592
estimates,1501,2012,67418.799
estimates,1501,2013,67491.382
estimates,1501,2014,67563.006
estimates,1501,2015,67634.547
medium_variant,1501,2015,67634.547
medium_variant,1501,2016,67703.034
medium_variant,1501,2017,67762.23
medium_variant,1501,2018,67808.001
medium_variant,1501,2019,67840.492
medium_variant,1501,2020,67860.797
medium_variant,1501,2021,67870.978
medium_variant,1501,2022,67874.392
medium_variant,1501,2023,67874.152
medium_variant,1501,2024,67872.235
medium_variant,1501,2025,67870.073
medium_variant,1501,2026,67868.238
medium_variant,1501,2027,67866.118
medium_variant,1501,2028,67863.273
medium_variant,1501,2029,67860.007
medium_variant,1501,2030,67856.716
medium_variant,1501,2031,67853.68
medium_variant,1501,2032,67850.594
medium_variant,1501,2033,67846.939
medium_variant,1501,2034,67842.202
medium_variant,1501,2035,67836.033
medium_variant,1501,2036,67828.145
medium_variant,1501,2037,67817.849
medium_variant,1501,2038,67804.174
medium_variant,1501,2039,67786.035
medium_variant,1501,2040,67762.551
medium_variant,1501,2041,67733.106
medium_variant,1501,2042,67697.141
medium_variant,1501,2043,67653.887
medium_variant,1501,2044,67602.341
medium_variant,1501,2045,67541.234
medium_variant,1501,2046,67469.453
medium_variant,1501,2047,67386.866
medium_variant,1501,2048,67293.756
medium_variant,1501,2049,67190.519
medium_variant,1501,2050,67077.261
medium_variant,1501,2051,66954.195
medium_variant,1501,2052,66822.761
medium_variant,1501,2053,66684.997
medium_variant,1501,2054,66543.011
medium_variant,1501,2055,66399.222
medium_variant,1501,2056,66255.826
medium_variant,1501,2057,66114.192
medium_variant,1501,2058,65975.441
medium_variant,1501,2059,65840.51
medium_variant,1501,2060,65710.058
medium_variant,1501,2061,65584.054
medium_variant,1501,2062,65461.01
medium_variant,1501,2063,65339.349
medium_variant,1501,2064,65218.035
medium_variant,1501,2065,65096.051
medium_variant,1501,2066,64972.524
medium_variant,1501,2067,64846.75
medium_variant,1501,2068,64717.973
medium_variant,1501,2069,64585.367
medium_variant,1501,2070,64448.288
medium_variant,1501,2071,64306.43
medium_variant,1501,2072,64160.027
medium_variant,1501,2073,64009.292
medium_variant,1501,2074,63854.15
medium_variant,1501,2075,63694.607
medium_variant,1501,2076,63530.713
medium_variant,1501,2077,63362.715
medium_variant,1501,2078,63190.879
medium_variant,1501,2079,63015.41
medium_variant,1501,2080,62836.383
medium_variant,1501,2081,62653.8
medium_variant,1501,2082,62467.752
medium_variant,1501,2083,62278.451
medium_variant,1501,2084,62086.217
medium_variant,1501,2085,61891.226
medium_variant,1501,2086,61693.561
medium_variant,1501,2087,61493.475
medium_variant,1501,2088,61291.413
medium_variant,1501,2089,61087.917
medium_variant,1501,2090,60883.565
medium_variant,1501,2091,60678.841
medium_variant,1501,2092,60474.142
medium_variant,1501,2093,60269.788
medium_variant,1501,2094,60065.99
medium_variant,1501,2095,59862.901
medium_variant,1501,2096,59660.608
medium_variant,1501,2097,59459.138
medium_variant,1501,2098,59258.498
medium_variant,1501,2099,59058.686
