region,variant,freq,year,rateofnaturalincreaseper1000population
928,estimates,5yearly,1950,19.879
928,estimates,5yearly,1955,22.682
928,estimates,5yearly,1960,23.757
928,estimates,5yearly,1965,25.068
928,estimates,5yearly,1970,26.656
928,estimates,5yearly,1975,27.778
928,estimates,5yearly,1980,27.525
928,estimates,5yearly,1985,25.37
928,estimates,5yearly,1990,24.967
928,estimates,5yearly,1995,25.091
928,estimates,5yearly,2000,24.088
928,estimates,5yearly,2005,22.807
928,estimates,5yearly,2010,20.831
928,constant_fertility,5yearly,2015,20.865
928,constant_mortality,5yearly,2015,18.899
928,high_variant,5yearly,2015,20.95
928,instant_replacement,5yearly,2015,10.699
928,low_variant,5yearly,2015,17.508
928,medium_variant,5yearly,2015,19.236
928,momentum,5yearly,2015,10.548
928,no_change,5yearly,2015,20.523
928,zero_migration,5yearly,2015,19.259
928,constant_fertility,5yearly,2020,20.813
928,constant_mortality,5yearly,2020,17.258
928,high_variant,5yearly,2020,20.467
928,instant_replacement,5yearly,2020,11.064
928,low_variant,5yearly,2020,15.207
928,medium_variant,5yearly,2020,17.878
928,momentum,5yearly,2020,10.788
928,no_change,5yearly,2020,20.179
928,zero_migration,5yearly,2020,17.926
928,constant_fertility,5yearly,2025,20.563
928,constant_mortality,5yearly,2025,15.752
928,high_variant,5yearly,2025,19.676
928,instant_replacement,5yearly,2025,11.238
928,low_variant,5yearly,2025,13.352
928,medium_variant,5yearly,2025,16.609
928,momentum,5yearly,2025,10.816
928,no_change,5yearly,2025,19.687
928,zero_migration,5yearly,2025,16.66
928,constant_fertility,5yearly,2030,20.105
928,constant_mortality,5yearly,2030,14.281
928,high_variant,5yearly,2030,18.257
928,instant_replacement,5yearly,2030,10.948
928,low_variant,5yearly,2030,12.187
928,medium_variant,5yearly,2030,15.35
928,momentum,5yearly,2030,10.366
928,no_change,5yearly,2030,19.024
928,zero_migration,5yearly,2030,15.391
928,constant_fertility,5yearly,2035,19.649
928,constant_mortality,5yearly,2035,12.776
928,high_variant,5yearly,2035,17.05
928,instant_replacement,5yearly,2035,9.684
928,low_variant,5yearly,2035,10.764
928,medium_variant,5yearly,2035,14.039
928,momentum,5yearly,2035,8.95
928,no_change,5yearly,2035,18.382
928,zero_migration,5yearly,2035,14.067
928,constant_fertility,5yearly,2040,19.401
928,constant_mortality,5yearly,2040,11.294
928,high_variant,5yearly,2040,16.12
928,instant_replacement,5yearly,2040,7.901
928,low_variant,5yearly,2040,9.15
928,medium_variant,5yearly,2040,12.753
928,momentum,5yearly,2040,7.028
928,no_change,5yearly,2040,17.95
928,zero_migration,5yearly,2040,12.773
928,constant_fertility,5yearly,2045,19.324
928,constant_mortality,5yearly,2045,9.855
928,high_variant,5yearly,2045,15.322
928,instant_replacement,5yearly,2045,6.285
928,low_variant,5yearly,2045,7.452
928,medium_variant,5yearly,2045,11.498
928,momentum,5yearly,2045,5.303
928,no_change,5yearly,2045,17.704
928,zero_migration,5yearly,2045,11.516
928,constant_fertility,5yearly,2050,19.344
928,constant_mortality,5yearly,2050,8.534
928,high_variant,5yearly,2050,14.594
928,instant_replacement,5yearly,2050,5.037
928,low_variant,5yearly,2050,5.864
928,medium_variant,5yearly,2050,10.357
928,momentum,5yearly,2050,3.964
928,no_change,5yearly,2050,17.573
928,zero_migration,5yearly,2050,10.374
928,constant_fertility,5yearly,2055,19.378
928,constant_mortality,5yearly,2055,7.277
928,high_variant,5yearly,2055,13.807
928,instant_replacement,5yearly,2055,4.227
928,low_variant,5yearly,2055,4.393
928,medium_variant,5yearly,2055,9.268
928,momentum,5yearly,2055,3.084
928,no_change,5yearly,2055,17.477
928,zero_migration,5yearly,2055,9.284
928,constant_fertility,5yearly,2060,19.424
928,constant_mortality,5yearly,2060,6.058
928,high_variant,5yearly,2060,12.985
928,instant_replacement,5yearly,2060,3.634
928,low_variant,5yearly,2060,3.033
928,medium_variant,5yearly,2060,8.225
928,momentum,5yearly,2060,2.416
928,no_change,5yearly,2060,17.394
928,zero_migration,5yearly,2060,8.238
928,constant_fertility,5yearly,2065,19.494
928,constant_mortality,5yearly,2065,4.879
928,high_variant,5yearly,2065,12.192
928,instant_replacement,5yearly,2065,3.005
928,low_variant,5yearly,2065,1.741
928,medium_variant,5yearly,2065,7.232
928,momentum,5yearly,2065,1.706
928,no_change,5yearly,2065,17.339
928,zero_migration,5yearly,2065,7.238
928,constant_fertility,5yearly,2070,19.596
928,constant_mortality,5yearly,2070,3.706
928,high_variant,5yearly,2070,11.441
928,instant_replacement,5yearly,2070,2.253
928,low_variant,5yearly,2070,0.423999999999999
928,medium_variant,5yearly,2070,6.243
928,momentum,5yearly,2070,0.906000000000001
928,no_change,5yearly,2070,17.323
928,zero_migration,5yearly,2070,6.244
928,constant_fertility,5yearly,2075,19.734
928,constant_mortality,5yearly,2075,2.581
928,high_variant,5yearly,2075,10.774
928,instant_replacement,5yearly,2075,1.51
928,low_variant,5yearly,2075,-0.892000000000001
928,medium_variant,5yearly,2075,5.299
928,momentum,5yearly,2075,0.171999999999999
928,no_change,5yearly,2075,17.349
928,zero_migration,5yearly,2075,5.299
928,constant_fertility,5yearly,2080,19.894
928,constant_mortality,5yearly,2080,1.521
928,high_variant,5yearly,2080,10.169
928,instant_replacement,5yearly,2080,1.015
928,low_variant,5yearly,2080,-2.133
928,medium_variant,5yearly,2080,4.433
928,momentum,5yearly,2080,-0.275
928,no_change,5yearly,2080,17.398
928,zero_migration,5yearly,2080,4.436
928,constant_fertility,5yearly,2085,20.046
928,constant_mortality,5yearly,2085,0.541
928,high_variant,5yearly,2085,9.572
928,instant_replacement,5yearly,2085,0.818999999999999
928,low_variant,5yearly,2085,-3.289
928,medium_variant,5yearly,2085,3.623
928,momentum,5yearly,2085,-0.359
928,no_change,5yearly,2085,17.451
928,zero_migration,5yearly,2085,3.631
