region,variant,freq,year,rateofnaturalincreaseper1000population
920,estimates,5yearly,1950,24.567
920,estimates,5yearly,1955,27.427
920,estimates,5yearly,1960,27.93
920,estimates,5yearly,1965,27.457
920,estimates,5yearly,1970,25.49
920,estimates,5yearly,1975,23.525
920,estimates,5yearly,1980,23.031
920,estimates,5yearly,1985,20.778
920,estimates,5yearly,1990,18.491
920,estimates,5yearly,1995,15.7
920,estimates,5yearly,2000,14.618
920,estimates,5yearly,2005,13.607
920,estimates,5yearly,2010,12.511
920,constant_fertility,5yearly,2015,11.821
920,constant_mortality,5yearly,2015,10.635
920,high_variant,5yearly,2015,12.851
920,instant_replacement,5yearly,2015,10.159
920,low_variant,5yearly,2015,9.078
920,medium_variant,5yearly,2015,10.987
920,momentum,5yearly,2015,9.929
920,no_change,5yearly,2015,11.467
920,zero_migration,5yearly,2015,11.021
920,constant_fertility,5yearly,2020,10.918
920,constant_mortality,5yearly,2020,8.869
920,high_variant,5yearly,2020,12.352
920,instant_replacement,5yearly,2020,9.311
920,low_variant,5yearly,2020,6.636
920,medium_variant,5yearly,2020,9.545
920,momentum,5yearly,2020,8.857
920,no_change,5yearly,2020,10.24
920,zero_migration,5yearly,2020,9.62
920,constant_fertility,5yearly,2025,9.948
920,constant_mortality,5yearly,2025,7.087
920,high_variant,5yearly,2025,11.337
920,instant_replacement,5yearly,2025,8.238
920,low_variant,5yearly,2025,4.567
920,medium_variant,5yearly,2025,8.066
920,momentum,5yearly,2025,7.548
920,no_change,5yearly,2025,8.971
920,zero_migration,5yearly,2025,8.16
920,constant_fertility,5yearly,2030,9.029
920,constant_mortality,5yearly,2030,5.397
920,high_variant,5yearly,2030,9.795
920,instant_replacement,5yearly,2030,7.108
920,low_variant,5yearly,2030,3.241
920,medium_variant,5yearly,2030,6.67
920,momentum,5yearly,2030,6.174
920,no_change,5yearly,2030,7.772
920,zero_migration,5yearly,2030,6.771
920,constant_fertility,5yearly,2035,8.233
920,constant_mortality,5yearly,2035,3.846
920,high_variant,5yearly,2035,8.671
920,instant_replacement,5yearly,2035,5.946
920,low_variant,5yearly,2035,1.827
920,medium_variant,5yearly,2035,5.405
920,momentum,5yearly,2035,4.788
920,no_change,5yearly,2035,6.715
920,zero_migration,5yearly,2035,5.511
920,constant_fertility,5yearly,2040,7.609
920,constant_mortality,5yearly,2040,2.426
920,high_variant,5yearly,2040,7.968
920,instant_replacement,5yearly,2040,4.935
920,low_variant,5yearly,2040,0.321
920,medium_variant,5yearly,2040,4.271
920,momentum,5yearly,2040,3.567
920,no_change,5yearly,2040,5.842
920,zero_migration,5yearly,2040,4.392
920,constant_fertility,5yearly,2045,7.115
920,constant_mortality,5yearly,2045,1.136
920,high_variant,5yearly,2045,7.531
920,instant_replacement,5yearly,2045,4.096
920,low_variant,5yearly,2045,-1.291
920,medium_variant,5yearly,2045,3.212
920,momentum,5yearly,2045,2.594
920,no_change,5yearly,2045,5.169
920,zero_migration,5yearly,2045,3.352
920,constant_fertility,5yearly,2050,6.77
