variant,global,year,gender,potentialsupport1664_65
estimates,900,1950,male,13.529
estimates,900,1951,male,13.422
estimates,900,1952,male,13.368
estimates,900,1953,male,13.375
estimates,900,1954,male,13.444
estimates,900,1955,male,13.571
estimates,900,1956,male,13.456
estimates,900,1957,male,13.414
estimates,900,1958,male,13.431
estimates,900,1959,male,13.498
estimates,900,1960,male,13.61
estimates,900,1961,male,13.463
estimates,900,1962,male,13.369
estimates,900,1963,male,13.326
estimates,900,1964,male,13.33
estimates,900,1965,male,13.381
estimates,900,1966,male,13.188
estimates,900,1967,male,13.052
estimates,900,1968,male,12.96
estimates,900,1969,male,12.897
estimates,900,1970,male,12.855
estimates,900,1971,male,12.687
estimates,900,1972,male,12.561
estimates,900,1973,male,12.469
estimates,900,1974,male,12.405
estimates,900,1975,male,12.366
estimates,900,1976,male,12.209
estimates,900,1977,male,12.083
estimates,900,1978,male,11.995
estimates,900,1979,male,11.958
estimates,900,1980,male,11.974
estimates,900,1981,male,11.949
estimates,900,1982,male,11.978
estimates,900,1983,male,12.037
estimates,900,1984,male,12.099
estimates,900,1985,male,12.148
estimates,900,1986,male,12.072
estimates,900,1987,male,12.005
estimates,900,1988,male,11.938
estimates,900,1989,male,11.866
estimates,900,1990,male,11.784
estimates,900,1991,male,11.608
estimates,900,1992,male,11.443
estimates,900,1993,male,11.294
estimates,900,1994,male,11.171
estimates,900,1995,male,11.076
estimates,900,1996,male,10.928
estimates,900,1997,male,10.814
estimates,900,1998,male,10.726
estimates,900,1999,male,10.652
estimates,900,2000,male,10.586
estimates,900,2001,male,10.454
estimates,900,2002,male,10.338
estimates,900,2003,male,10.242
estimates,900,2004,male,10.17
estimates,900,2005,male,10.122
estimates,900,2006,male,10.034
estimates,900,2007,male,9.967
estimates,900,2008,male,9.906
estimates,900,2009,male,9.835
estimates,900,2010,male,9.745
estimates,900,2011,male,9.601
estimates,900,2012,male,9.454
estimates,900,2013,male,9.297
estimates,900,2014,male,9.123
estimates,900,2015,male,8.929
medium_variant,900,2015,male,8.929
medium_variant,900,2016,male,8.69
medium_variant,900,2017,male,8.448
medium_variant,900,2018,male,8.214
medium_variant,900,2019,male,7.998
medium_variant,900,2020,male,7.804
medium_variant,900,2021,male,7.61
medium_variant,900,2022,male,7.44
medium_variant,900,2023,male,7.283
medium_variant,900,2024,male,7.129
medium_variant,900,2025,male,6.971
medium_variant,900,2026,male,6.803
medium_variant,900,2027,male,6.642
medium_variant,900,2028,male,6.486
medium_variant,900,2029,male,6.335
medium_variant,900,2030,male,6.188
medium_variant,900,2031,male,6.039
medium_variant,900,2032,male,5.899
medium_variant,900,2033,male,5.767
medium_variant,900,2034,male,5.643
medium_variant,900,2035,male,5.526
medium_variant,900,2036,male,5.412
medium_variant,900,2037,male,5.307
medium_variant,900,2038,male,5.211
medium_variant,900,2039,male,5.125
medium_variant,900,2040,male,5.049
medium_variant,900,2041,male,4.978
medium_variant,900,2042,male,4.917
medium_variant,900,2043,male,4.862
medium_variant,900,2044,male,4.808
medium_variant,900,2045,male,4.751
medium_variant,900,2046,male,4.688
medium_variant,900,2047,male,4.627
medium_variant,900,2048,male,4.566
medium_variant,900,2049,male,4.501
medium_variant,900,2050,male,4.43
medium_variant,900,2051,male,4.352
medium_variant,900,2052,male,4.273
