variant,country,year,infantmortality
estimates,372,1950,2.899
estimates,372,1951,2.812
estimates,372,1952,2.647
estimates,372,1953,2.498
estimates,372,1954,2.365
estimates,372,1955,2.249
estimates,372,1956,2.148
estimates,372,1957,2.062
estimates,372,1958,1.988
estimates,372,1959,1.924
estimates,372,1960,1.864
estimates,372,1961,1.806
estimates,372,1962,1.746
estimates,372,1963,1.68
estimates,372,1964,1.611
estimates,372,1965,1.54
estimates,372,1966,1.475
estimates,372,1967,1.42
estimates,372,1968,1.379
estimates,372,1969,1.351
estimates,372,1970,1.333
estimates,372,1971,1.32
estimates,372,1972,1.306
estimates,372,1973,1.285
estimates,372,1974,1.255
estimates,372,1975,1.214
estimates,372,1976,1.159
estimates,372,1977,1.095
estimates,372,1978,1.024
estimates,372,1979,0.949
estimates,372,1980,0.872
estimates,372,1981,0.797
estimates,372,1982,0.726
estimates,372,1983,0.661
estimates,372,1984,0.603
estimates,372,1985,0.553
estimates,372,1986,0.51
estimates,372,1987,0.472
estimates,372,1988,0.437
estimates,372,1989,0.405
estimates,372,1990,0.376
estimates,372,1991,0.353
estimates,372,1992,0.336
estimates,372,1993,0.324
estimates,372,1994,0.318
estimates,372,1995,0.317
estimates,372,1996,0.319
estimates,372,1997,0.323
estimates,372,1998,0.327
estimates,372,1999,0.331
estimates,372,2000,0.332
estimates,372,2001,0.33
estimates,372,2002,0.325
estimates,372,2003,0.317
estimates,372,2004,0.307
estimates,372,2005,0.296
estimates,372,2006,0.286
estimates,372,2007,0.276
estimates,372,2008,0.269
estimates,372,2009,0.263
estimates,372,2010,0.258
estimates,372,2011,0.251
estimates,372,2012,0.241
estimates,372,2013,0.226
estimates,372,2014,0.208
estimates,372,2015,0.187
medium_variant,372,2015,0.187
medium_variant,372,2016,0.165
medium_variant,372,2017,0.145
medium_variant,372,2018,0.128
medium_variant,372,2019,0.115
medium_variant,372,2020,0.107
medium_variant,372,2021,0.101
medium_variant,372,2022,0.098
medium_variant,372,2023,0.095
medium_variant,372,2024,0.092
medium_variant,372,2025,0.09
medium_variant,372,2026,0.087
medium_variant,372,2027,0.084
medium_variant,372,2028,0.082
medium_variant,372,2029,0.081
medium_variant,372,2030,0.079
medium_variant,372,2031,0.078
medium_variant,372,2032,0.077
medium_variant,372,2033,0.077
medium_variant,372,2034,0.076
medium_variant,372,2035,0.076
medium_variant,372,2036,0.075
medium_variant,372,2037,0.074
medium_variant,372,2038,0.074
medium_variant,372,2039,0.073
medium_variant,372,2040,0.072
medium_variant,372,2041,0.071
medium_variant,372,2042,0.069
medium_variant,372,2043,0.068
medium_variant,372,2044,0.067
medium_variant,372,2045,0.065
medium_variant,372,2046,0.064
medium_variant,372,2047,0.062
medium_variant,372,2048,0.061
medium_variant,372,2049,0.059
medium_variant,372,2050,0.058
medium_variant,372,2051,0.056
medium_variant,372,2052,0.055
medium_variant,372,2053,0.053
medium_variant,372,2054,0.052
medium_variant,372,2055,0.051
medium_variant,372,2056,0.05
medium_variant,372,2057,0.048
medium_variant,372,2058,0.048
medium_variant,372,2059,0.047
medium_variant,372,2060,0.046
medium_variant,372,2061,0.045
medium_variant,372,2062,0.044
medium_variant,372,2063,0.044
medium_variant,372,2064,0.043
medium_variant,372,2065,0.043
medium_variant,372,2066,0.042
medium_variant,372,2067,0.042
medium_variant,372,2068,0.041
medium_variant,372,2069,0.041
medium_variant,372,2070,0.04
medium_variant,372,2071,0.04
medium_variant,372,2072,0.039
medium_variant,372,2073,0.039
medium_variant,372,2074,0.038
medium_variant,372,2075,0.037
medium_variant,372,2076,0.037
medium_variant,372,2077,0.036
medium_variant,372,2078,0.035
medium_variant,372,2079,0.034
medium_variant,372,2080,0.034
medium_variant,372,2081,0.033
medium_variant,372,2082,0.032
medium_variant,372,2083,0.031
medium_variant,372,2084,0.031
medium_variant,372,2085,0.03
medium_variant,372,2086,0.029
medium_variant,372,2087,0.028
medium_variant,372,2088,0.028
medium_variant,372,2089,0.027
medium_variant,372,2090,0.027
medium_variant,372,2091,0.026
medium_variant,372,2092,0.026
medium_variant,372,2093,0.025
medium_variant,372,2094,0.025
medium_variant,372,2095,0.024
medium_variant,372,2096,0.024
medium_variant,372,2097,0.023
medium_variant,372,2098,0.023
medium_variant,372,2099,0.022
