variant,country,year,infantmortality
estimates,480,1950,2.642
estimates,480,1951,2.569
estimates,480,1952,2.431
estimates,480,1953,2.31
estimates,480,1954,2.205
estimates,480,1955,2.116
estimates,480,1956,2.043
estimates,480,1957,1.985
estimates,480,1958,1.942
estimates,480,1959,1.912
estimates,480,1960,1.892
estimates,480,1961,1.88
estimates,480,1962,1.873
estimates,480,1963,1.866
estimates,480,1964,1.856
estimates,480,1965,1.84
estimates,480,1966,1.814
estimates,480,1967,1.779
estimates,480,1968,1.733
estimates,480,1969,1.677
estimates,480,1970,1.61
estimates,480,1971,1.533
estimates,480,1972,1.448
estimates,480,1973,1.358
estimates,480,1974,1.264
estimates,480,1975,1.168
estimates,480,1976,1.069
estimates,480,1977,0.97
estimates,480,1978,0.871
estimates,480,1979,0.777
estimates,480,1980,0.692
estimates,480,1981,0.62
estimates,480,1982,0.564
estimates,480,1983,0.525
estimates,480,1984,0.501
estimates,480,1985,0.488
estimates,480,1986,0.484
estimates,480,1987,0.481
estimates,480,1988,0.476
estimates,480,1989,0.468
estimates,480,1990,0.455
estimates,480,1991,0.442
estimates,480,1992,0.43
estimates,480,1993,0.422
estimates,480,1994,0.417
estimates,480,1995,0.414
estimates,480,1996,0.409
estimates,480,1997,0.399
estimates,480,1998,0.383
estimates,480,1999,0.361
estimates,480,2000,0.335
estimates,480,2001,0.307
estimates,480,2002,0.281
estimates,480,2003,0.259
estimates,480,2004,0.242
estimates,480,2005,0.23
estimates,480,2006,0.221
estimates,480,2007,0.214
estimates,480,2008,0.207
estimates,480,2009,0.199
estimates,480,2010,0.191
estimates,480,2011,0.181
estimates,480,2012,0.172
estimates,480,2013,0.164
estimates,480,2014,0.157
estimates,480,2015,0.15
medium_variant,480,2015,0.15
medium_variant,480,2016,0.145
medium_variant,480,2017,0.14
medium_variant,480,2018,0.136
medium_variant,480,2019,0.132
medium_variant,480,2020,0.128
medium_variant,480,2021,0.125
medium_variant,480,2022,0.122
medium_variant,480,2023,0.119
medium_variant,480,2024,0.116
medium_variant,480,2025,0.113
medium_variant,480,2026,0.11
medium_variant,480,2027,0.107
medium_variant,480,2028,0.104
medium_variant,480,2029,0.101
medium_variant,480,2030,0.098
medium_variant,480,2031,0.095
medium_variant,480,2032,0.092
medium_variant,480,2033,0.089
medium_variant,480,2034,0.086
medium_variant,480,2035,0.084
medium_variant,480,2036,0.081
medium_variant,480,2037,0.078
medium_variant,480,2038,0.076
medium_variant,480,2039,0.073
medium_variant,480,2040,0.071
medium_variant,480,2041,0.069
medium_variant,480,2042,0.067
medium_variant,480,2043,0.065
medium_variant,480,2044,0.063
medium_variant,480,2045,0.062
medium_variant,480,2046,0.06
medium_variant,480,2047,0.059
medium_variant,480,2048,0.058
medium_variant,480,2049,0.056
medium_variant,480,2050,0.055
medium_variant,480,2051,0.055
medium_variant,480,2052,0.054
medium_variant,480,2053,0.053
medium_variant,480,2054,0.052
medium_variant,480,2055,0.051
medium_variant,480,2056,0.051
medium_variant,480,2057,0.05
medium_variant,480,2058,0.049
medium_variant,480,2059,0.048
medium_variant,480,2060,0.047
medium_variant,480,2061,0.047
medium_variant,480,2062,0.046
medium_variant,480,2063,0.045
medium_variant,480,2064,0.044
medium_variant,480,2065,0.043
medium_variant,480,2066,0.042
medium_variant,480,2067,0.041
medium_variant,480,2068,0.04
medium_variant,480,2069,0.039
medium_variant,480,2070,0.039
medium_variant,480,2071,0.038
medium_variant,480,2072,0.037
medium_variant,480,2073,0.036
medium_variant,480,2074,0.035
medium_variant,480,2075,0.035
medium_variant,480,2076,0.034
medium_variant,480,2077,0.033
medium_variant,480,2078,0.033
medium_variant,480,2079,0.032
medium_variant,480,2080,0.032
medium_variant,480,2081,0.031
medium_variant,480,2082,0.031
medium_variant,480,2083,0.03
medium_variant,480,2084,0.03
medium_variant,480,2085,0.029
medium_variant,480,2086,0.029
medium_variant,480,2087,0.029
medium_variant,480,2088,0.028
medium_variant,480,2089,0.028
medium_variant,480,2090,0.027
medium_variant,480,2091,0.027
medium_variant,480,2092,0.027
medium_variant,480,2093,0.026
medium_variant,480,2094,0.026
medium_variant,480,2095,0.025
medium_variant,480,2096,0.025
medium_variant,480,2097,0.024
medium_variant,480,2098,0.024
medium_variant,480,2099,0.024
