variant,country,year,infantmortality
estimates,208,1950,2.378
estimates,208,1951,2.313
estimates,208,1952,2.19
estimates,208,1953,2.083
estimates,208,1954,1.99
estimates,208,1955,1.913
estimates,208,1956,1.85
estimates,208,1957,1.801
estimates,208,1958,1.762
estimates,208,1959,1.73
estimates,208,1960,1.701
estimates,208,1961,1.67
estimates,208,1962,1.632
estimates,208,1963,1.584
estimates,208,1964,1.524
estimates,208,1965,1.452
estimates,208,1966,1.372
estimates,208,1967,1.288
estimates,208,1968,1.205
estimates,208,1969,1.124
estimates,208,1970,1.046
estimates,208,1971,0.972
estimates,208,1972,0.9
estimates,208,1973,0.829
estimates,208,1974,0.761
estimates,208,1975,0.697
estimates,208,1976,0.637
estimates,208,1977,0.582
estimates,208,1978,0.534
estimates,208,1979,0.493
estimates,208,1980,0.46
estimates,208,1981,0.437
estimates,208,1982,0.425
estimates,208,1983,0.421
estimates,208,1984,0.424
estimates,208,1985,0.432
estimates,208,1986,0.441
estimates,208,1987,0.45
estimates,208,1988,0.455
estimates,208,1989,0.455
estimates,208,1990,0.449
estimates,208,1991,0.438
estimates,208,1992,0.423
estimates,208,1993,0.406
estimates,208,1994,0.389
estimates,208,1995,0.371
estimates,208,1996,0.355
estimates,208,1997,0.34
estimates,208,1998,0.328
estimates,208,1999,0.317
estimates,208,2000,0.309
estimates,208,2001,0.301
estimates,208,2002,0.293
estimates,208,2003,0.285
estimates,208,2004,0.276
estimates,208,2005,0.267
estimates,208,2006,0.257
estimates,208,2007,0.247
estimates,208,2008,0.237
estimates,208,2009,0.229
estimates,208,2010,0.221
estimates,208,2011,0.214
estimates,208,2012,0.208
estimates,208,2013,0.202
estimates,208,2014,0.197
estimates,208,2015,0.192
medium_variant,208,2015,0.192
medium_variant,208,2016,0.187
medium_variant,208,2017,0.183
medium_variant,208,2018,0.179
medium_variant,208,2019,0.176
medium_variant,208,2020,0.173
medium_variant,208,2021,0.169
medium_variant,208,2022,0.166
medium_variant,208,2023,0.163
medium_variant,208,2024,0.159
medium_variant,208,2025,0.156
medium_variant,208,2026,0.152
medium_variant,208,2027,0.148
medium_variant,208,2028,0.144
medium_variant,208,2029,0.14
medium_variant,208,2030,0.136
medium_variant,208,2031,0.132
medium_variant,208,2032,0.128
medium_variant,208,2033,0.124
medium_variant,208,2034,0.12
medium_variant,208,2035,0.116
medium_variant,208,2036,0.112
medium_variant,208,2037,0.109
medium_variant,208,2038,0.106
medium_variant,208,2039,0.103
medium_variant,208,2040,0.1
medium_variant,208,2041,0.097
medium_variant,208,2042,0.094
medium_variant,208,2043,0.092
medium_variant,208,2044,0.09
medium_variant,208,2045,0.088
medium_variant,208,2046,0.086
medium_variant,208,2047,0.085
medium_variant,208,2048,0.083
medium_variant,208,2049,0.082
medium_variant,208,2050,0.081
medium_variant,208,2051,0.08
medium_variant,208,2052,0.079
medium_variant,208,2053,0.077
medium_variant,208,2054,0.076
medium_variant,208,2055,0.075
medium_variant,208,2056,0.074
medium_variant,208,2057,0.073
medium_variant,208,2058,0.072
medium_variant,208,2059,0.071
medium_variant,208,2060,0.07
medium_variant,208,2061,0.069
medium_variant,208,2062,0.067
medium_variant,208,2063,0.066
medium_variant,208,2064,0.065
medium_variant,208,2065,0.064
medium_variant,208,2066,0.062
medium_variant,208,2067,0.061
medium_variant,208,2068,0.06
medium_variant,208,2069,0.059
medium_variant,208,2070,0.058
medium_variant,208,2071,0.056
medium_variant,208,2072,0.055
medium_variant,208,2073,0.054
medium_variant,208,2074,0.053
medium_variant,208,2075,0.052
medium_variant,208,2076,0.051
medium_variant,208,2077,0.05
medium_variant,208,2078,0.049
medium_variant,208,2079,0.048
medium_variant,208,2080,0.048
medium_variant,208,2081,0.047
medium_variant,208,2082,0.046
medium_variant,208,2083,0.045
medium_variant,208,2084,0.045
medium_variant,208,2085,0.044
medium_variant,208,2086,0.043
medium_variant,208,2087,0.043
medium_variant,208,2088,0.042
medium_variant,208,2089,0.041
medium_variant,208,2090,0.041
medium_variant,208,2091,0.04
medium_variant,208,2092,0.039
medium_variant,208,2093,0.039
medium_variant,208,2094,0.038
medium_variant,208,2095,0.037
medium_variant,208,2096,0.037
medium_variant,208,2097,0.036
medium_variant,208,2098,0.035
medium_variant,208,2099,0.034
