variant,country,year,infantmortality
estimates,388,1950,4.259
estimates,388,1951,4.351
estimates,388,1952,4.516
estimates,388,1953,4.64
estimates,388,1954,4.724
estimates,388,1955,4.768
estimates,388,1956,4.773
estimates,388,1957,4.74
estimates,388,1958,4.672
estimates,388,1959,4.574
estimates,388,1960,4.452
estimates,388,1961,4.312
estimates,388,1962,4.162
estimates,388,1963,4.009
estimates,388,1964,3.858
estimates,388,1965,3.712
estimates,388,1966,3.571
estimates,388,1967,3.432
estimates,388,1968,3.292
estimates,388,1969,3.151
estimates,388,1970,3.009
estimates,388,1971,2.863
estimates,388,1972,2.714
estimates,388,1973,2.564
estimates,388,1974,2.418
estimates,388,1975,2.284
estimates,388,1976,2.17
estimates,388,1977,2.081
estimates,388,1978,2.018
estimates,388,1979,1.979
estimates,388,1980,1.957
estimates,388,1981,1.944
estimates,388,1982,1.927
estimates,388,1983,1.9
estimates,388,1984,1.86
estimates,388,1985,1.804
estimates,388,1986,1.738
estimates,388,1987,1.667
estimates,388,1988,1.598
estimates,388,1989,1.535
estimates,388,1990,1.479
estimates,388,1991,1.432
estimates,388,1992,1.395
estimates,388,1993,1.364
estimates,388,1994,1.339
estimates,388,1995,1.318
estimates,388,1996,1.297
estimates,388,1997,1.274
estimates,388,1998,1.247
estimates,388,1999,1.216
estimates,388,2000,1.18
estimates,388,2001,1.142
estimates,388,2002,1.103
estimates,388,2003,1.066
estimates,388,2004,1.03
estimates,388,2005,0.997
estimates,388,2006,0.963
estimates,388,2007,0.93
estimates,388,2008,0.895
estimates,388,2009,0.859
estimates,388,2010,0.824
estimates,388,2011,0.789
estimates,388,2012,0.757
estimates,388,2013,0.728
estimates,388,2014,0.702
estimates,388,2015,0.678
medium_variant,388,2015,0.678
medium_variant,388,2016,0.657
medium_variant,388,2017,0.636
medium_variant,388,2018,0.614
medium_variant,388,2019,0.592
medium_variant,388,2020,0.57
medium_variant,388,2021,0.547
medium_variant,388,2022,0.524
medium_variant,388,2023,0.503
medium_variant,388,2024,0.482
medium_variant,388,2025,0.462
medium_variant,388,2026,0.443
medium_variant,388,2027,0.425
medium_variant,388,2028,0.408
medium_variant,388,2029,0.391
medium_variant,388,2030,0.376
medium_variant,388,2031,0.36
medium_variant,388,2032,0.346
medium_variant,388,2033,0.332
medium_variant,388,2034,0.319
medium_variant,388,2035,0.307
medium_variant,388,2036,0.296
medium_variant,388,2037,0.286
medium_variant,388,2038,0.276
medium_variant,388,2039,0.267
medium_variant,388,2040,0.259
medium_variant,388,2041,0.251
medium_variant,388,2042,0.244
medium_variant,388,2043,0.238
medium_variant,388,2044,0.232
medium_variant,388,2045,0.226
medium_variant,388,2046,0.22
medium_variant,388,2047,0.214
medium_variant,388,2048,0.209
medium_variant,388,2049,0.203
medium_variant,388,2050,0.198
medium_variant,388,2051,0.192
medium_variant,388,2052,0.186
medium_variant,388,2053,0.181
medium_variant,388,2054,0.175
medium_variant,388,2055,0.169
medium_variant,388,2056,0.164
medium_variant,388,2057,0.158
medium_variant,388,2058,0.152
medium_variant,388,2059,0.146
medium_variant,388,2060,0.141
medium_variant,388,2061,0.136
medium_variant,388,2062,0.13
medium_variant,388,2063,0.126
medium_variant,388,2064,0.121
medium_variant,388,2065,0.116
medium_variant,388,2066,0.112
medium_variant,388,2067,0.109
medium_variant,388,2068,0.105
medium_variant,388,2069,0.102
medium_variant,388,2070,0.098
medium_variant,388,2071,0.095
medium_variant,388,2072,0.093
medium_variant,388,2073,0.09
medium_variant,388,2074,0.087
medium_variant,388,2075,0.085
medium_variant,388,2076,0.083
medium_variant,388,2077,0.08
medium_variant,388,2078,0.078
medium_variant,388,2079,0.076
medium_variant,388,2080,0.074
medium_variant,388,2081,0.072
medium_variant,388,2082,0.07
medium_variant,388,2083,0.068
medium_variant,388,2084,0.066
medium_variant,388,2085,0.064
medium_variant,388,2086,0.062
medium_variant,388,2087,0.06
medium_variant,388,2088,0.058
medium_variant,388,2089,0.056
medium_variant,388,2090,0.054
medium_variant,388,2091,0.052
medium_variant,388,2092,0.05
medium_variant,388,2093,0.048
medium_variant,388,2094,0.047
medium_variant,388,2095,0.045
medium_variant,388,2096,0.043
medium_variant,388,2097,0.042
medium_variant,388,2098,0.04
medium_variant,388,2099,0.039
