region,variant,gender,freq,year,lifeexpectancyatbirth
947,estimates,female,5yearly,1950,37.7445891934876
947,estimates,male,5yearly,1950,34.9743908985436
947,estimates,female,5yearly,1955,39.9261080874164
947,estimates,male,5yearly,1955,37.1485958932925
947,estimates,female,5yearly,1960,42.1756251781766
947,estimates,male,5yearly,1960,39.3432593747599
947,estimates,female,5yearly,1965,44.136739927673
947,estimates,male,5yearly,1965,41.3100933421017
947,estimates,female,5yearly,1970,46.3436010994226
947,estimates,male,5yearly,1970,43.3067231869612
947,estimates,female,5yearly,1975,48.3515612650743
947,estimates,male,5yearly,1975,45.2110641999927
947,estimates,female,5yearly,1980,49.8144999304976
947,estimates,male,5yearly,1980,46.6076726802859
947,estimates,female,5yearly,1985,50.8324820111045
947,estimates,male,5yearly,1985,47.4527992886754
947,estimates,female,5yearly,1990,50.6713681969208
947,estimates,male,5yearly,1990,47.1271526029036
947,estimates,female,5yearly,1995,50.9888014166381
947,estimates,male,5yearly,1995,47.8417651741215
947,estimates,female,5yearly,2000,52.1186745080513
947,estimates,male,5yearly,2000,49.327115749743
947,estimates,female,5yearly,2005,55.6578812542697
947,estimates,male,5yearly,2005,52.9234924079828
947,estimates,female,5yearly,2010,59.5316996663135
947,estimates,male,5yearly,2010,56.2410707570386
947,medium_variant,female,5yearly,2015,62.0950145445231
947,medium_variant,male,5yearly,2015,58.6326797294082
947,medium_variant,female,5yearly,2020,64.0141155921408
947,medium_variant,male,5yearly,2020,60.4146837851721
947,medium_variant,female,5yearly,2025,65.8391508706833
947,medium_variant,male,5yearly,2025,62.1131543079392
947,medium_variant,female,5yearly,2030,67.5451635876647
947,medium_variant,male,5yearly,2030,63.6817215637023
947,medium_variant,female,5yearly,2035,69.0958684962712
947,medium_variant,male,5yearly,2035,65.0798471442322
947,medium_variant,female,5yearly,2040,70.4942449908775
947,medium_variant,male,5yearly,2040,66.3401900427596
947,medium_variant,female,5yearly,2045,71.7820385248127
947,medium_variant,male,5yearly,2045,67.4924460522798
947,medium_variant,female,5yearly,2050,72.9857499858431
947,medium_variant,male,5yearly,2050,68.5640304315853
947,medium_variant,female,5yearly,2055,74.0821198881673
947,medium_variant,male,5yearly,2055,69.5310519474407
947,medium_variant,female,5yearly,2060,75.0652672466786
947,medium_variant,male,5yearly,2060,70.409745710717
947,medium_variant,female,5yearly,2065,75.9687601049929
947,medium_variant,male,5yearly,2065,71.2233357595322
947,medium_variant,female,5yearly,2070,76.7864611519497
947,medium_variant,male,5yearly,2070,71.9744862758662
947,medium_variant,female,5yearly,2075,77.5394252854513
947,medium_variant,male,5yearly,2075,72.6863928472265
947,medium_variant,female,5yearly,2080,78.2534595236218
947,medium_variant,male,5yearly,2080,73.3694870073121
947,medium_variant,female,5yearly,2085,78.9181402779549
947,medium_variant,male,5yearly,2085,74.0377595945188
947,medium_variant,female,5yearly,2090,79.5490421882817
947,medium_variant,male,5yearly,2090,74.711026770668
947,medium_variant,female,5yearly,2095,80.1577229314662
947,medium_variant,male,5yearly,2095,75.3809027868461
