region,variant,gender,freq,year,lifeexpectancyatbirth
910,estimates,female,5yearly,1950,38.4044685305499
910,estimates,male,5yearly,1950,35.6358514065243
910,estimates,female,5yearly,1955,40.9011268079535
910,estimates,male,5yearly,1955,38.0371266293012
910,estimates,female,5yearly,1960,43.5956889404257
910,estimates,male,5yearly,1960,40.5697787442471
910,estimates,female,5yearly,1965,45.6802936680306
910,estimates,male,5yearly,1965,42.6177811783532
910,estimates,female,5yearly,1970,47.5368211037012
910,estimates,male,5yearly,1970,44.4394701560788
910,estimates,female,5yearly,1975,49.1479960259705
910,estimates,male,5yearly,1975,46.0079373589528
910,estimates,female,5yearly,1980,49.8011610406792
910,estimates,male,5yearly,1980,46.5993973771109
910,estimates,female,5yearly,1985,50.7185004665773
910,estimates,male,5yearly,1985,47.0786528790419
910,estimates,female,5yearly,1990,49.6456488230661
910,estimates,male,5yearly,1990,45.6205494031069
910,estimates,female,5yearly,1995,51.4440257737202
910,estimates,male,5yearly,1995,47.7379205665783
910,estimates,female,5yearly,2000,53.5439879456327
910,estimates,male,5yearly,2000,50.4304881403074
910,estimates,female,5yearly,2005,58.5357558087415
910,estimates,male,5yearly,2005,55.5329618959591
910,estimates,female,5yearly,2010,63.3724134776989
910,estimates,male,5yearly,2010,59.5369172492542
910,medium_variant,female,5yearly,2015,65.9640406018286
910,medium_variant,male,5yearly,2015,61.9605666459433
910,medium_variant,female,5yearly,2020,67.6256158508453
910,medium_variant,male,5yearly,2020,63.569959722194
910,medium_variant,female,5yearly,2025,69.2425013928136
910,medium_variant,male,5yearly,2025,65.1622933500186
910,medium_variant,female,5yearly,2030,70.7641588284619
910,medium_variant,male,5yearly,2030,66.5926207972826
910,medium_variant,female,5yearly,2035,72.1169212166865
910,medium_variant,male,5yearly,2035,67.8349699643287
910,medium_variant,female,5yearly,2040,73.3218123823742
910,medium_variant,male,5yearly,2040,68.9576926436252
910,medium_variant,female,5yearly,2045,74.4587030368956
910,medium_variant,male,5yearly,2045,70.0306446720302
910,medium_variant,female,5yearly,2050,75.5351375950288
910,medium_variant,male,5yearly,2050,71.0580470279647
910,medium_variant,female,5yearly,2055,76.5040698481676
910,medium_variant,male,5yearly,2055,71.9930637922813
910,medium_variant,female,5yearly,2060,77.3794967988067
910,medium_variant,male,5yearly,2060,72.8688145996322
910,medium_variant,female,5yearly,2065,78.1951008916047
910,medium_variant,male,5yearly,2065,73.6854958703141
910,medium_variant,female,5yearly,2070,78.9388011573023
910,medium_variant,male,5yearly,2070,74.4606597404958
910,medium_variant,female,5yearly,2075,79.6251735389853
910,medium_variant,male,5yearly,2075,75.2047667452717
910,medium_variant,female,5yearly,2080,80.2746249510422
910,medium_variant,male,5yearly,2080,75.9186591992668
910,medium_variant,female,5yearly,2085,80.8832547836533
910,medium_variant,male,5yearly,2085,76.604270357597
910,medium_variant,female,5yearly,2090,81.4798815958545
910,medium_variant,male,5yearly,2090,77.2821047617427
910,medium_variant,female,5yearly,2095,82.0524798564289
910,medium_variant,male,5yearly,2095,77.9608423846599
910,estimates,female,5yearly,Regi,Eastern Africa
910,estimates,male,5yearly,Regi,Eastern Africa
910,medium_variant,female,5yearly,Regi,Eastern Africa
910,medium_variant,male,5yearly,Regi,Eastern Africa
