region,variant,gender,freq,year,lifeexpectancyatbirth
1501,estimates,female,5yearly,1950,40.2300216619277
1501,estimates,male,5yearly,1950,39.2962879170207
1501,estimates,female,5yearly,1955,43.5917650650414
1501,estimates,male,5yearly,1955,42.7105033417531
1501,estimates,female,5yearly,1960,46.6343484991837
1501,estimates,male,5yearly,1960,45.6932279193682
1501,estimates,female,5yearly,1965,49.7476243256094
1501,estimates,male,5yearly,1965,48.5384236645608
1501,estimates,female,5yearly,1970,52.1831521318081
1501,estimates,male,5yearly,1970,50.6179663454227
1501,estimates,female,5yearly,1975,55.1251729598123
1501,estimates,male,5yearly,1975,52.9761722516008
1501,estimates,female,5yearly,1980,57.6281131874651
1501,estimates,male,5yearly,1980,55.3559537263922
1501,estimates,female,5yearly,1985,59.3691930101004
1501,estimates,male,5yearly,1985,56.9963203993161
1501,estimates,female,5yearly,1990,61.1995294823574
1501,estimates,male,5yearly,1990,58.4373948011828
1501,estimates,female,5yearly,1995,62.8015524069504
1501,estimates,male,5yearly,1995,59.8418386202366
1501,estimates,female,5yearly,2000,64.4347828281473
1501,estimates,male,5yearly,2000,61.3548093590763
1501,estimates,female,5yearly,2005,66.406769006589
1501,estimates,male,5yearly,2005,63.1745316595339
1501,estimates,female,5yearly,2010,68.4836744045223
1501,estimates,male,5yearly,2010,64.7283248958198
1501,medium_variant,female,5yearly,2015,69.8361629655456
1501,medium_variant,male,5yearly,2015,65.8871982951626
1501,medium_variant,female,5yearly,2020,71.0473404539712
1501,medium_variant,male,5yearly,2020,66.9169319599278
1501,medium_variant,female,5yearly,2025,72.1552726108888
1501,medium_variant,male,5yearly,2025,67.8361840881609
1501,medium_variant,female,5yearly,2030,73.1871311206498
1501,medium_variant,male,5yearly,2030,68.6945785997495
1501,medium_variant,female,5yearly,2035,74.1361058889409
1501,medium_variant,male,5yearly,2035,69.5043854701867
1501,medium_variant,female,5yearly,2040,75.0479283927657
1501,medium_variant,male,5yearly,2040,70.3015551041858
1501,medium_variant,female,5yearly,2045,75.9106556748838
1501,medium_variant,male,5yearly,2045,71.0719061674713
1501,medium_variant,female,5yearly,2050,76.7292570102461
1501,medium_variant,male,5yearly,2050,71.8388586273039
1501,medium_variant,female,5yearly,2055,77.4918877391096
1501,medium_variant,male,5yearly,2055,72.564688075756
1501,medium_variant,female,5yearly,2060,78.1986486728569
1501,medium_variant,male,5yearly,2060,73.2789519076709
1501,medium_variant,female,5yearly,2065,78.8740025059361
1501,medium_variant,male,5yearly,2065,73.9613783362006
1501,medium_variant,female,5yearly,2070,79.5042546177141
1501,medium_variant,male,5yearly,2070,74.647282263053
1501,medium_variant,female,5yearly,2075,80.1087377524898
1501,medium_variant,male,5yearly,2075,75.3178822322241
1501,medium_variant,female,5yearly,2080,80.6950991464636
1501,medium_variant,male,5yearly,2080,75.9677820667966
1501,medium_variant,female,5yearly,2085,81.2543154034959
1501,medium_variant,male,5yearly,2085,76.6364488823017
1501,medium_variant,female,5yearly,2090,81.7860338459516
1501,medium_variant,male,5yearly,2090,77.3015961875465
1501,medium_variant,female,5yearly,2095,82.3254674478885
1501,medium_variant,male,5yearly,2095,77.9807165343215
