agebroad,gender,population,region,variant,year
0_1,female,24630.113,1501,estimates,1950
0_4,female,56220.324,1501,estimates,1950
0_14,female,145724.466,1501,estimates,1950
0_17,female,169562.459,1501,estimates,1950
0_19,female,184576.743,1501,estimates,1950
0_24,female,219326.643,1501,estimates,1950
3_4,female,20488.289,1501,estimates,1950
3_5,female,30110.989,1501,estimates,1950
3_6,female,39450.313,1501,estimates,1950
4_5,female,19622.971,1501,estimates,1950
4_6,female,28962.295,1501,estimates,1950
5_14,female,89504.142,1501,estimates,1950
5_10,female,54830.465,1501,estimates,1950
5_11,female,63688.139,1501,estimates,1950
6_9,female,36359.23,1501,estimates,1950
6_10,female,45207.765,1501,estimates,1950
6_11,female,54065.439,1501,estimates,1950
6_12,female,62869.27,1501,estimates,1950
7_10,female,35868.441,1501,estimates,1950
7_12,female,53529.946,1501,estimates,1950
11_16,female,50772.271,1501,estimates,1950
11_17,female,58511.67,1501,estimates,1950
11_18,female,66088.815,1501,estimates,1950
12_14,female,25816.003,1501,estimates,1950
12_16,female,41914.597,1501,estimates,1950
12_17,female,49653.996,1501,estimates,1950
12_18,female,57231.141,1501,estimates,1950
13_17,female,40850.165,1501,estimates,1950
13_18,female,48427.31,1501,estimates,1950
13_19,female,55864.449,1501,estimates,1950
15_17,female,23837.993,1501,estimates,1950
18_23,female,43196.906,1501,estimates,1950
15_24,female,73602.177,1501,estimates,1950
15_49,female,189367.589,1501,estimates,1950
15_59,female,214227.791,1501,estimates,1950
15_64,female,223427.639,1501,estimates,1950
20_64,female,184575.362,1501,estimates,1950
20_69,female,190839.168,1501,estimates,1950
25_49,female,115765.412,1501,estimates,1950
25_64,female,149825.462,1501,estimates,1950
25_69,female,156089.268,1501,estimates,1950
15plus,female,239173.936,1501,estimates,1950
16plus,female,231014.678,1501,estimates,1950
17plus,female,223075.342,1501,estimates,1950
18plus,female,215335.943,1501,estimates,1950
20plus,female,200321.659,1501,estimates,1950
21plus,female,193033.131,1501,estimates,1950
25plus,female,165571.759,1501,estimates,1950
50plus,female,49806.347,1501,estimates,1950
60plus,female,24946.145,1501,estimates,1950
65plus,female,15746.297,1501,estimates,1950
70plus,female,9482.491,1501,estimates,1950
75plus,female,4858.342,1501,estimates,1950
80plus,female,2008.597,1501,estimates,1950
85plus,female,697.206,1501,estimates,1950
90plus,female,184.636,1501,estimates,1950
total,female,384898.402,1501,estimates,1950
0_1,male,24986.772,1501,estimates,1950
0_4,male,57277.296,1501,estimates,1950
0_14,male,148668.714,1501,estimates,1950
0_17,male,173195.178,1501,estimates,1950
0_19,male,188784.343,1501,estimates,1950
0_24,male,225215.826,1501,estimates,1950
3_4,male,20966.411,1501,estimates,1950
3_5,male,30828.463,1501,estimates,1950
3_6,male,40399.065,1501,estimates,1950
4_5,male,20103.968,1501,estimates,1950
4_6,male,29674.57,1501,estimates,1950
5_14,male,91391.418,1501,estimates,1950
5_10,male,56085.325,1501,estimates,1950
5_11,male,65093.929,1501,estimates,1950
6_9,male,37203.117,1501,estimates,1950
6_10,male,46223.273,1501,estimates,1950
6_11,male,55231.877,1501,estimates,1950
6_12,male,64178.939,1501,estimates,1950
