agebroad,gender,population,region,variant,year
0_1,female,1645.037,922,estimates,1950
0_4,female,3722.21,922,estimates,1950
0_14,female,9477.046,922,estimates,1950
0_17,female,11072.779,922,estimates,1950
0_19,female,12092.794,922,estimates,1950
0_24,female,14423.019,922,estimates,1950
3_4,female,1342.53,922,estimates,1950
3_5,female,1967.031,922,estimates,1950
3_6,female,2569.775,922,estimates,1950
4_5,female,1277.575,922,estimates,1950
4_6,female,1880.319,922,estimates,1950
5_14,female,5754.836,922,estimates,1950
5_10,female,3522.891,922,estimates,1950
5_11,female,4087.623,922,estimates,1950
6_9,female,2333.608,922,estimates,1950
6_10,female,2898.39,922,estimates,1950
6_11,female,3463.122,922,estimates,1950
6_12,female,4026.064,922,estimates,1950
7_10,female,2295.646,922,estimates,1950
7_12,female,3423.32,922,estimates,1950
11_16,female,3303.789,922,estimates,1950
11_17,female,3827.678,922,estimates,1950
11_18,female,4342.621,922,estimates,1950
12_14,female,1667.213,922,estimates,1950
12_16,female,2739.057,922,estimates,1950
12_17,female,3262.946,922,estimates,1950
12_18,female,3777.889,922,estimates,1950
13_17,female,2700.004,922,estimates,1950
13_18,female,3214.947,922,estimates,1950
13_19,female,3720.019,922,estimates,1950
15_17,female,1595.733,922,estimates,1950
18_23,female,2921.228,922,estimates,1950
15_24,female,4945.973,922,estimates,1950
15_49,female,12367.717,922,estimates,1950
15_59,female,14205.773,922,estimates,1950
15_64,female,14918.139,922,estimates,1950
20_64,female,12302.391,922,estimates,1950
20_69,female,12802.799,922,estimates,1950
25_49,female,7421.744,922,estimates,1950
25_64,female,9972.166,922,estimates,1950
25_69,female,10472.574,922,estimates,1950
15plus,female,16142.869,922,estimates,1950
16plus,female,15603.144,922,estimates,1950
17plus,female,15071.025,922,estimates,1950
18plus,female,14547.136,922,estimates,1950
20plus,female,13527.121,922,estimates,1950
21plus,female,13032.398,922,estimates,1950
25plus,female,11196.896,922,estimates,1950
50plus,female,3775.152,922,estimates,1950
60plus,female,1937.096,922,estimates,1950
65plus,female,1224.73,922,estimates,1950
70plus,female,724.322,922,estimates,1950
75plus,female,342.799,922,estimates,1950
80plus,female,142.869,922,estimates,1950
85plus,female,48.574,922,estimates,1950
90plus,female,12.788,922,estimates,1950
total,female,25619.915,922,estimates,1950
0_1,male,1745.008,922,estimates,1950
0_4,male,3918.196,922,estimates,1950
0_14,male,10002.795,922,estimates,1950
0_17,male,11719.194,922,estimates,1950
0_19,male,12802.482,922,estimates,1950
0_24,male,15189.266,922,estimates,1950
3_4,male,1401.662,922,estimates,1950
3_5,male,2052.193,922,estimates,1950
3_6,male,2680.662,922,estimates,1950
4_5,male,1331.409,922,estimates,1950
4_6,male,1959.878,922,estimates,1950
5_14,male,6084.599,922,estimates,1950
5_10,male,3694.181,922,estimates,1950
5_11,male,4296.038,922,estimates,1950
6_9,male,2445.128,922,estimates,1950
6_10,male,3043.65,922,estimates,1950
6_11,male,3645.507,922,estimates,1950
6_12,male,4248.162,922,estimates,1950
7_10,male,2415.181,922,estimates,1950
7_12,male,3619.693,922,estimates,1950
11_16,male,3543.879,922,estimates,1950
11_17,male,4106.817,922,estimates,1950
11_18,male,4656.433,922,estimates,1950
12_14,male,1788.561,922,estimates,1950
12_16,male,2942.022,922,estimates,1950
12_17,male,3504.96,922,estimates,1950
12_18,male,4054.576,922,estimates,1950
13_17,male,2902.305,922,estimates,1950
13_18,male,3451.921,922,estimates,1950
13_19,male,3985.593,922,estimates,1950
15_17,male,1716.399,922,estimates,1950
18_23,male,3038.808,922,estimates,1950
15_24,male,5186.471,922,estimates,1950
15_49,male,12408.754,922,estimates,1950
15_59,male,14026.826,922,estimates,1950
15_64,male,14617.426,922,estimates,1950
20_64,male,11817.739,922,estimates,1950
20_69,male,12224.223,922,estimates,1950
25_49,male,7222.283,922,estimates,1950
25_64,male,9430.955,922,estimates,1950
25_69,male,9837.439,922,estimates,1950
15plus,male,15569.86,922,estimates,1950
16plus,male,14989.356,922,estimates,1950
17plus,male,14416.399,922,estimates,1950
18plus,male,13853.461,922,estimates,1950
20plus,male,12770.173,922,estimates,1950
21plus,male,12252.98,922,estimates,1950
25plus,male,10383.389,922,estimates,1950
50plus,male,3161.106,922,estimates,1950
60plus,male,1543.034,922,estimates,1950
65plus,male,952.434,922,estimates,1950
70plus,male,545.95,922,estimates,1950
75plus,male,247.891,922,estimates,1950
80plus,male,91.494,922,estimates,1950
85plus,male,28.711,922,estimates,1950
90plus,male,6.643,922,estimates,1950
total,male,25572.655,922,estimates,1950
0_1,female,1797.387,922,estimates,1951
0_4,female,3975.833,922,estimates,1951
0_14,female,9809.789,922,estimates,1951
0_17,female,11422.885,922,estimates,1951
0_19,female,12456.513,922,estimates,1951
0_24,female,14849.183,922,estimates,1951
3_4,female,1403.608,922,estimates,1951
3_5,female,2050.04,922,estimates,1951
3_6,female,2669.75,922,estimates,1951
4_5,female,1326.997,922,estimates,1951
4_6,female,1946.707,922,estimates,1951
5_14,female,5833.956,922,estimates,1951
5_10,female,3591.252,922,estimates,1951
5_11,female,4154.699,922,estimates,1951
6_9,female,2377.8,922,estimates,1951
6_10,female,2944.82,922,estimates,1951
6_11,female,3508.267,922,estimates,1951
6_12,female,4071.472,922,estimates,1951
7_10,female,2325.11,922,estimates,1951
7_12,female,3451.762,922,estimates,1951
11_16,female,3326.022,922,estimates,1951
11_17,female,3855.8,922,estimates,1951
11_18,female,4377.137,922,estimates,1951
12_14,female,1679.257,922,estimates,1951
12_16,female,2762.575,922,estimates,1951
12_17,female,3292.353,922,estimates,1951
12_18,female,3813.69,922,estimates,1951
13_17,female,2729.148,922,estimates,1951
13_18,female,3250.485,922,estimates,1951
13_19,female,3762.776,922,estimates,1951
15_17,female,1613.096,922,estimates,1951
18_23,female,2977.564,922,estimates,1951
15_24,female,5039.394,922,estimates,1951
15_49,female,12614.857,922,estimates,1951
15_59,female,14497.037,922,estimates,1951
15_64,female,15208.868,922,estimates,1951
20_64,female,12562.144,922,estimates,1951
20_69,female,13077.324,922,estimates,1951
25_49,female,7575.463,922,estimates,1951
25_64,female,10169.474,922,estimates,1951
25_69,female,10684.654,922,estimates,1951
15plus,female,16464.759,922,estimates,1951
16plus,female,15919.085,922,estimates,1951
17plus,female,15381.441,922,estimates,1951
18plus,female,14851.663,922,estimates,1951
20plus,female,13818.035,922,estimates,1951
21plus,female,13315.637,922,estimates,1951
25plus,female,11425.365,922,estimates,1951
50plus,female,3849.902,922,estimates,1951
60plus,female,1967.722,922,estimates,1951
65plus,female,1255.891,922,estimates,1951
70plus,female,740.711,922,estimates,1951
75plus,female,359.795,922,estimates,1951
80plus,female,148.657,922,estimates,1951
85plus,female,51.754,922,estimates,1951
90plus,female,14.098,922,estimates,1951
total,female,26274.548,922,estimates,1951
0_1,male,1863.062,922,estimates,1951
0_4,male,4149.899,922,estimates,1951
0_14,male,10289.342,922,estimates,1951
0_17,male,12021.271,922,estimates,1951
0_19,male,13126.025,922,estimates,1951
0_24,male,15595.006,922,estimates,1951
3_4,male,1470.251,922,estimates,1951
3_5,male,2144.486,922,estimates,1951
3_6,male,2789.894,922,estimates,1951
4_5,male,1385.817,922,estimates,1951
4_6,male,2031.225,922,estimates,1951
5_14,male,6139.443,922,estimates,1951
5_10,male,3749.722,922,estimates,1951
5_11,male,4345.764,922,estimates,1951
6_9,male,2479.03,922,estimates,1951
6_10,male,3075.487,922,estimates,1951
6_11,male,3671.529,922,estimates,1951
6_12,male,4270.769,922,estimates,1951
7_10,male,2430.079,922,estimates,1951
7_12,male,3625.361,922,estimates,1951
11_16,male,3552.283,922,estimates,1951
11_17,male,4121.65,922,estimates,1951
11_18,male,4680.748,922,estimates,1951
12_14,male,1793.679,922,estimates,1951
12_16,male,2956.241,922,estimates,1951
12_17,male,3525.608,922,estimates,1951
12_18,male,4084.706,922,estimates,1951
13_17,male,2926.368,922,estimates,1951
13_18,male,3485.466,922,estimates,1951
13_19,male,4031.122,922,estimates,1951
15_17,male,1731.929,922,estimates,1951
18_23,male,3120.567,922,estimates,1951
15_24,male,5305.664,922,estimates,1951
15_49,male,12658.939,922,estimates,1951
15_59,male,14327.627,922,estimates,1951
15_64,male,14915.018,922,estimates,1951
20_64,male,12078.335,922,estimates,1951
20_69,male,12494.739,922,estimates,1951
25_49,male,7353.275,922,estimates,1951
25_64,male,9609.354,922,estimates,1951
25_69,male,10025.758,922,estimates,1951
15plus,male,15889.385,922,estimates,1951
16plus,male,15304.056,922,estimates,1951
17plus,male,14726.823,922,estimates,1951
18plus,male,14157.456,922,estimates,1951
20plus,male,13052.702,922,estimates,1951
21plus,male,12523.018,922,estimates,1951
25plus,male,10583.721,922,estimates,1951
50plus,male,3230.446,922,estimates,1951
60plus,male,1561.758,922,estimates,1951
65plus,male,974.367,922,estimates,1951
70plus,male,557.963,922,estimates,1951
75plus,male,261.599,922,estimates,1951
80plus,male,97.438,922,estimates,1951
85plus,male,30.634,922,estimates,1951
90plus,male,7.512,922,estimates,1951
total,male,26178.727,922,estimates,1951
0_1,female,1978.534,922,estimates,1952
0_4,female,4264.958,922,estimates,1952
0_14,female,10181.424,922,estimates,1952
0_17,female,11811.86,922,estimates,1952
0_19,female,12856.589,922,estimates,1952
0_24,female,15296.11,922,estimates,1952
3_4,female,1469.103,922,estimates,1952
3_5,female,2139.544,922,estimates,1952
3_6,female,2778.118,922,estimates,1952
4_5,female,1380.669,922,estimates,1952
4_6,female,2019.243,922,estimates,1952
5_14,female,5916.466,922,estimates,1952
5_10,female,3670.47,922,estimates,1952
5_11,female,4235.229,922,estimates,1952
6_9,female,2428.583,922,estimates,1952
6_10,female,3000.029,922,estimates,1952
6_11,female,3564.788,922,estimates,1952
6_12,female,4126.117,922,estimates,1952
7_10,female,2361.455,922,estimates,1952
7_12,female,3487.543,922,estimates,1952
11_16,female,3341.548,922,estimates,1952
11_17,female,3876.432,922,estimates,1952
11_18,female,4403.132,922,estimates,1952
12_14,female,1681.237,922,estimates,1952
12_16,female,2776.789,922,estimates,1952
12_17,female,3311.673,922,estimates,1952
12_18,female,3838.373,922,estimates,1952
13_17,female,2750.344,922,estimates,1952
13_18,female,3277.044,922,estimates,1952
13_19,female,3795.073,922,estimates,1952
15_17,female,1630.436,922,estimates,1952
18_23,female,3019.734,922,estimates,1952
15_24,female,5114.686,922,estimates,1952
15_49,female,12852.001,922,estimates,1952
15_59,female,14779.266,922,estimates,1952
15_64,female,15479.996,922,estimates,1952
20_64,female,12804.831,922,estimates,1952
20_69,female,13343.964,922,estimates,1952
25_49,female,7737.315,922,estimates,1952
25_64,female,10365.31,922,estimates,1952
25_69,female,10904.443,922,estimates,1952
15plus,female,16769.598,922,estimates,1952
16plus,female,16217.178,922,estimates,1952
17plus,female,15674.046,922,estimates,1952
18plus,female,15139.162,922,estimates,1952
20plus,female,14094.433,922,estimates,1952
21plus,female,13585.521,922,estimates,1952
25plus,female,11654.912,922,estimates,1952
50plus,female,3917.597,922,estimates,1952
60plus,female,1990.332,922,estimates,1952
65plus,female,1289.602,922,estimates,1952
70plus,female,750.469,922,estimates,1952
75plus,female,375.195,922,estimates,1952
80plus,female,151.303,922,estimates,1952
85plus,female,53.485,922,estimates,1952
90plus,female,14.879,922,estimates,1952
total,female,26951.022,922,estimates,1952
0_1,male,1975.16,922,estimates,1952
0_4,male,4383.37,922,estimates,1952
0_14,male,10598.139,922,estimates,1952
0_17,male,12347.255,922,estimates,1952
0_19,male,13468.95,922,estimates,1952
0_24,male,16012.208,922,estimates,1952
3_4,male,1545.36,922,estimates,1952
3_5,male,2247.961,922,estimates,1952
3_6,male,2915.714,922,estimates,1952
4_5,male,1448.723,922,estimates,1952
4_6,male,2116.476,922,estimates,1952
5_14,male,6214.769,922,estimates,1952
5_10,male,3832.476,922,estimates,1952
5_11,male,4426.436,922,estimates,1952
6_9,male,2532.667,922,estimates,1952
6_10,male,3129.875,922,estimates,1952
6_11,male,3723.835,922,estimates,1952
6_12,male,4317.696,922,estimates,1952
7_10,male,2462.122,922,estimates,1952
7_12,male,3649.943,922,estimates,1952
11_16,male,3557.071,922,estimates,1952
11_17,male,4131.409,922,estimates,1952
11_18,male,4697.528,922,estimates,1952
12_14,male,1788.333,922,estimates,1952
12_16,male,2963.111,922,estimates,1952
