agebroad,gender,population,region,variant,year
"Region, subregion, country or area *",female,Central Asia,5500,estimates,1950
0_1,female,489.596,5500,estimates,1950
0_4,female,943.818,5500,estimates,1950
0_14,female,2780.632,5500,estimates,1950
0_17,female,3293.146,5500,estimates,1950
0_19,female,3626.243,5500,estimates,1950
0_24,female,4570.526,5500,estimates,1950
3_4,female,279.691,5500,estimates,1950
3_5,female,407.55,5500,estimates,1950
3_6,female,539.347,5500,estimates,1950
4_5,female,260.246,5500,estimates,1950
4_6,female,392.043,5500,estimates,1950
5_14,female,1836.814,5500,estimates,1950
5_10,female,931.667,5500,estimates,1950
5_11,female,1156.765,5500,estimates,1950
6_9,female,606.596,5500,estimates,1950
6_10,female,803.808,5500,estimates,1950
6_11,female,1028.906,5500,estimates,1950
6_12,female,1268.339,5500,estimates,1950
7_10,female,672.011,5500,estimates,1950
7_12,female,1136.542,5500,estimates,1950
11_16,female,1262.435,5500,estimates,1950
11_17,female,1417.661,5500,estimates,1950
11_18,female,1577.123,5500,estimates,1950
12_14,female,680.049,5500,estimates,1950
12_16,female,1037.337,5500,estimates,1950
12_17,female,1192.563,5500,estimates,1950
12_18,female,1352.025,5500,estimates,1950
13_17,female,953.13,5500,estimates,1950
13_18,female,1112.592,5500,estimates,1950
13_19,female,1286.227,5500,estimates,1950
15_17,female,512.514,5500,estimates,1950
18_23,female,1104.651,5500,estimates,1950
15_24,female,1789.894,5500,estimates,1950
15_49,female,4628.047,5500,estimates,1950
15_59,female,5391.919,5500,estimates,1950
15_64,female,5699.4,5500,estimates,1950
20_64,female,4853.789,5500,estimates,1950
20_69,female,5083.686,5500,estimates,1950
25_49,female,2838.153,5500,estimates,1950
25_64,female,3909.506,5500,estimates,1950
25_69,female,4139.403,5500,estimates,1950
15plus,female,6267.152,5500,estimates,1950
16plus,female,6077.515,5500,estimates,1950
17plus,female,5909.864,5500,estimates,1950
18plus,female,5754.638,5500,estimates,1950
20plus,female,5421.541,5500,estimates,1950
21plus,female,5236.807,5500,estimates,1950
25plus,female,4477.258,5500,estimates,1950
50plus,female,1639.105,5500,estimates,1950
60plus,female,875.233,5500,estimates,1950
65plus,female,567.752,5500,estimates,1950
70plus,female,337.855,5500,estimates,1950
75plus,female,172.449,5500,estimates,1950
80plus,female,70.684,5500,estimates,1950
85plus,female,27.723,5500,estimates,1950
90plus,female,8.308,5500,estimates,1950
total,female,9047.784,5500,estimates,1950
"Region, subregion, country or area *",male,Central Asia,5500,estimates,1950
0_1,male,493.448,5500,estimates,1950
0_4,male,970.507,5500,estimates,1950
0_14,male,2878.131,5500,estimates,1950
0_17,male,3399.819,5500,estimates,1950
0_19,male,3740.308,5500,estimates,1950
0_24,male,4687.868,5500,estimates,1950
3_4,male,296.479,5500,estimates,1950
3_5,male,433.893,5500,estimates,1950
3_6,male,575.362,5500,estimates,1950
4_5,male,278.767,5500,estimates,1950
4_6,male,420.236,5500,estimates,1950
5_14,male,1907.624,5500,estimates,1950
5_10,male,984.051,5500,estimates,1950
5_11,male,1214.731,5500,estimates,1950
6_9,male,642.491,5500,estimates,1950
6_10,male,846.637,5500,estimates,1950
6_11,male,1077.317,5500,estimates,1950
6_12,male,1321.311,5500,estimates,1950
7_10,male,705.168,5500,estimates,1950
7_12,male,1179.842,5500,estimates,1950
11_16,male,1287.466,5500,estimates,1950
11_17,male,1445.261,5500,estimates,1950
11_18,male,1607.933,5500,estimates,1950
12_14,male,692.893,5500,estimates,1950
12_16,male,1056.786,5500,estimates,1950
