agebroad,gender,population,region,variant,year
0_1,female,8.662,957,estimates,1950
0_4,female,20.565,957,estimates,1950
0_14,female,52.971,957,estimates,1950
0_17,female,60.809,957,estimates,1950
0_19,female,65.626,957,estimates,1950
0_24,female,76.498,957,estimates,1950
3_4,female,7.799,957,estimates,1950
3_5,female,11.511,957,estimates,1950
3_6,female,15.105,957,estimates,1950
4_5,female,7.545,957,estimates,1950
4_6,female,11.139,957,estimates,1950
5_14,female,32.406,957,estimates,1950
5_10,female,20.622,957,estimates,1950
5_11,female,23.712,957,estimates,1950
6_9,female,13.728,957,estimates,1950
6_10,female,16.91,957,estimates,1950
6_11,female,20,957,estimates,1950
6_12,female,22.996,957,estimates,1950
7_10,female,13.316,957,estimates,1950
7_12,female,19.402,957,estimates,1950
11_16,female,17.097,957,estimates,1950
11_17,female,19.622,957,estimates,1950
11_18,female,22.068,957,estimates,1950
12_14,female,8.694,957,estimates,1950
12_16,female,14.007,957,estimates,1950
12_17,female,16.532,957,estimates,1950
12_18,female,18.978,957,estimates,1950
13_17,female,13.536,957,estimates,1950
13_18,female,15.982,957,estimates,1950
13_19,female,18.353,957,estimates,1950
15_17,female,7.838,957,estimates,1950
18_23,female,13.62,957,estimates,1950
15_24,female,23.527,957,estimates,1950
15_49,female,54.78,957,estimates,1950
15_59,female,59.899,957,estimates,1950
15_64,female,61.857,957,estimates,1950
20_64,female,49.202,957,estimates,1950
20_69,female,50.374,957,estimates,1950
25_49,female,31.253,957,estimates,1950
25_64,female,38.33,957,estimates,1950
25_69,female,39.502,957,estimates,1950
15plus,female,64.522,957,estimates,1950
16plus,female,61.819,957,estimates,1950
17plus,female,59.209,957,estimates,1950
18plus,female,56.684,957,estimates,1950
20plus,female,51.867,957,estimates,1950
21plus,female,49.567,957,estimates,1950
25plus,female,40.995,957,estimates,1950
50plus,female,9.742,957,estimates,1950
60plus,female,4.623,957,estimates,1950
65plus,female,2.665,957,estimates,1950
70plus,female,1.493,957,estimates,1950
75plus,female,0.722,957,estimates,1950
80plus,female,0.329,957,estimates,1950
85plus,female,0.107,957,estimates,1950
90plus,female,0.024,957,estimates,1950
total,female,117.493,957,estimates,1950
0_1,male,9.192,957,estimates,1950
0_4,male,21.736,957,estimates,1950
0_14,male,56.904,957,estimates,1950
0_17,male,65.146,957,estimates,1950
0_19,male,70.056,957,estimates,1950
0_24,male,80.885,957,estimates,1950
3_4,male,8.218,957,estimates,1950
3_5,male,12.146,957,estimates,1950
3_6,male,15.969,957,estimates,1950
4_5,male,7.971,957,estimates,1950
4_6,male,11.794,957,estimates,1950
5_14,male,35.168,957,estimates,1950
5_10,male,22.174,957,estimates,1950
5_11,male,25.595,957,estimates,1950
6_9,male,14.76,957,estimates,1950
6_10,male,18.246,957,estimates,1950
6_11,male,21.667,957,estimates,1950
6_12,male,24.998,957,estimates,1950
7_10,male,14.423,957,estimates,1950
7_12,male,21.175,957,estimates,1950
11_16,male,18.627,957,estimates,1950
11_17,male,21.236,957,estimates,1950
11_18,male,23.735,957,estimates,1950
12_14,male,9.573,957,estimates,1950
12_16,male,15.206,957,estimates,1950
12_17,male,17.815,957,estimates,1950
12_18,male,20.314,957,estimates,1950
13_17,male,14.484,957,estimates,1950
13_18,male,16.983,957,estimates,1950
13_19,male,19.394,957,estimates,1950
15_17,male,8.242,957,estimates,1950
18_23,male,13.698,957,estimates,1950
15_24,male,23.981,957,estimates,1950
15_49,male,57.087,957,estimates,1950
15_59,male,62.757,957,estimates,1950
15_64,male,64.744,957,estimates,1950
20_64,male,51.592,957,estimates,1950
20_69,male,52.938,957,estimates,1950
25_49,male,33.106,957,estimates,1950
25_64,male,40.763,957,estimates,1950
25_69,male,42.109,957,estimates,1950
15plus,male,67.601,957,estimates,1950
16plus,male,64.71,957,estimates,1950
17plus,male,61.968,957,estimates,1950
18plus,male,59.359,957,estimates,1950
20plus,male,54.449,957,estimates,1950
21plus,male,52.13,957,estimates,1950
25plus,male,43.62,957,estimates,1950
50plus,male,10.514,957,estimates,1950
60plus,male,4.844,957,estimates,1950
65plus,male,2.857,957,estimates,1950
70plus,male,1.511,957,estimates,1950
75plus,male,0.74,957,estimates,1950
80plus,male,0.297,957,estimates,1950
85plus,male,0.087,957,estimates,1950
90plus,male,0.017,957,estimates,1950
total,male,124.505,957,estimates,1950
0_1,female,9.331,957,estimates,1951
0_4,female,21.487,957,estimates,1951
0_14,female,54.63,957,estimates,1951
0_17,female,62.645,957,estimates,1951
0_19,female,67.548,957,estimates,1951
0_24,female,78.62,957,estimates,1951
3_4,female,7.957,957,estimates,1951
3_5,female,11.738,957,estimates,1951
3_6,female,15.406,957,estimates,1951
4_5,female,7.691,957,estimates,1951
4_6,female,11.359,957,estimates,1951
5_14,female,33.143,957,estimates,1951
5_10,female,21.088,957,estimates,1951
5_11,female,24.242,957,estimates,1951
6_9,female,14.054,957,estimates,1951
