agebroad,gender,population,region,variant,year
11_18,female,50436.47,906,estimates,1951
12_14,female,19132.041,906,estimates,1951
12_16,female,31660.51,906,estimates,1951
12_17,female,37880.562,906,estimates,1951
12_18,female,44036.429,906,estimates,1951
13_17,female,31484.15,906,estimates,1951
13_18,female,37640.017,906,estimates,1951
13_19,female,43667.778,906,estimates,1951
15_17,female,18748.521,906,estimates,1951
18_23,female,34650.566,906,estimates,1951
15_24,female,58642.584,906,estimates,1951
15_49,female,162958.549,906,estimates,1951
15_59,female,189272.711,906,estimates,1951
15_64,female,199413.82,906,estimates,1951
20_64,female,168481.671,906,estimates,1951
20_69,female,176519.983,906,estimates,1951
25_49,female,104315.965,906,estimates,1951
25_64,female,140771.236,906,estimates,1951
25_69,female,148809.548,906,estimates,1951
15plus,female,216844.274,906,estimates,1951
16plus,female,210559.343,906,estimates,1951
17plus,female,204315.805,906,estimates,1951
18plus,female,198095.753,906,estimates,1951
20plus,female,185912.125,906,estimates,1951
21plus,female,180053.453,906,estimates,1951
25plus,female,158201.69,906,estimates,1951
50plus,female,53885.725,906,estimates,1951
60plus,female,27571.563,906,estimates,1951
65plus,female,17430.454,906,estimates,1951
70plus,female,9392.142,906,estimates,1951
75plus,female,4304.169,906,estimates,1951
80plus,female,1527.231,906,estimates,1951
85plus,female,357.404,906,estimates,1951
90plus,female,60.96,906,estimates,1951
total,female,332593.477,906,estimates,1951
0,male,13947.26,906,estimates,1951
0_1,male,23481.13,906,estimates,1951
0_4,male,51815.26,906,estimates,1951
0_14,male,126907.457,906,estimates,1951
0_17,male,147800.506,906,estimates,1951
0_19,male,161164.24,906,estimates,1951
0_24,male,191379.733,906,estimates,1951
3_4,male,18231.401,906,estimates,1951
3_5,male,26590.38,906,estimates,1951
3_6,male,34577.181,906,estimates,1951
4_5,male,17185.952,906,estimates,1951
4_6,male,25172.753,906,estimates,1951
5_14,male,75092.197,906,estimates,1951
5_10,male,46167.948,906,estimates,1951
5_11,male,53416.061,906,estimates,1951
6_9,male,30528.571,906,estimates,1951
6_10,male,37808.969,906,estimates,1951
6_11,male,45057.082,906,estimates,1951
6_12,male,52316.257,906,estimates,1951
7_10,male,29822.168,906,estimates,1951
7_12,male,44329.456,906,estimates,1951
11_16,male,42941.299,906,estimates,1951
11_17,male,49817.298,906,estimates,1951
11_18,male,56578.41,906,estimates,1951
12_14,male,21676.136,906,estimates,1951
12_16,male,35693.186,906,estimates,1951
12_17,male,42569.185,906,estimates,1951
12_18,male,49330.297,906,estimates,1951
13_17,male,35310.01,906,estimates,1951
13_18,male,42071.122,906,estimates,1951
13_19,male,48673.744,906,estimates,1951
15_17,male,20893.049,906,estimates,1951
18_23,male,37921.344,906,estimates,1951
15_24,male,64472.276,906,estimates,1951
15_49,male,174051.855,906,estimates,1951
15_59,male,201198.389,906,estimates,1951
15_64,male,210666.717,906,estimates,1951
20_64,male,176409.934,906,estimates,1951
20_69,male,183068.759,906,estimates,1951
25_49,male,109579.579,906,estimates,1951
25_64,male,146194.441,906,estimates,1951
25_69,male,152853.266,906,estimates,1951
15plus,male,223499.688,906,estimates,1951
16plus,male,216443.296,906,estimates,1951
17plus,male,209482.638,906,estimates,1951
18plus,male,202606.639,906,estimates,1951
20plus,male,189242.905,906,estimates,1951
21plus,male,182828.127,906,estimates,1951
25plus,male,159027.412,906,estimates,1951
50plus,male,49447.833,906,estimates,1951
60plus,male,22301.299,906,estimates,1951
65plus,male,12832.971,906,estimates,1951
70plus,male,6174.146,906,estimates,1951
75plus,male,2474.231,906,estimates,1951
80plus,male,711.897,906,estimates,1951
85plus,male,131.956,906,estimates,1951
90plus,male,19.403,906,estimates,1951
total,male,350407.145,906,estimates,1951
0,female,12843.672,906,estimates,1952
0_1,female,24321.545,906,estimates,1952
0_4,female,52433.915,906,estimates,1952
0_14,female,120832.085,906,estimates,1952
0_17,female,139582.369,906,estimates,1952
0_19,female,151870.061,906,estimates,1952
0_24,female,180134.075,906,estimates,1952
3_4,female,18001.473,906,estimates,1952
3_5,female,26095.527,906,estimates,1952
3_6,female,33709.767,906,estimates,1952
4_5,female,16759.748,906,estimates,1952
4_6,female,24373.988,906,estimates,1952
5_14,female,68398.17,906,estimates,1952
5_10,female,42929.846,906,estimates,1952
5_11,female,49334.76,906,estimates,1952
6_9,female,28348.995,906,estimates,1952
6_10,female,34835.792,906,estimates,1952
6_11,female,41240.706,906,estimates,1952
6_12,female,47601.775,906,estimates,1952
7_10,female,27221.552,906,estimates,1952
7_12,female,39987.535,906,estimates,1952
11_16,female,38017.221,906,estimates,1952
11_17,female,44218.608,906,estimates,1952
11_18,female,50395.126,906,estimates,1952
12_14,female,19063.41,906,estimates,1952
12_16,female,31612.307,906,estimates,1952
12_17,female,37813.694,906,estimates,1952
12_18,female,43990.212,906,estimates,1952
13_17,female,31452.625,906,estimates,1952
13_18,female,37629.143,906,estimates,1952
13_19,female,43740.317,906,estimates,1952
15_17,female,18750.284,906,estimates,1952
18_23,female,35219.977,906,estimates,1952
15_24,female,59301.99,906,estimates,1952
15_49,female,164324.619,906,estimates,1952
15_59,female,190855.379,906,estimates,1952
15_64,female,201037.756,906,estimates,1952
20_64,female,169999.78,906,estimates,1952
20_69,female,177921.031,906,estimates,1952
25_49,female,105022.629,906,estimates,1952
25_64,female,141735.766,906,estimates,1952
25_69,female,149657.017,906,estimates,1952
15plus,female,218611.441,906,estimates,1952
16plus,female,212305.961,906,estimates,1952
17plus,female,206062.544,906,estimates,1952
18plus,female,199861.157,906,estimates,1952
20plus,female,187573.465,906,estimates,1952
21plus,female,181591.025,906,estimates,1952
25plus,female,159309.451,906,estimates,1952
50plus,female,54286.822,906,estimates,1952
60plus,female,27756.062,906,estimates,1952
65plus,female,17573.685,906,estimates,1952
70plus,female,9652.434,906,estimates,1952
75plus,female,4414.794,906,estimates,1952
80plus,female,1632.988,906,estimates,1952
85plus,female,407.536,906,estimates,1952
90plus,female,66.664,906,estimates,1952
total,female,339443.526,906,estimates,1952
0,male,13663.393,906,estimates,1952
0_1,male,25814.517,906,estimates,1952
0_4,male,55678.277,906,estimates,1952
0_14,male,131762.826,906,estimates,1952
0_17,male,152781.061,906,estimates,1952
0_19,male,166299.224,906,estimates,1952
0_24,male,197181.06,906,estimates,1952
3_4,male,19188.465,906,estimates,1952
3_5,male,27918.808,906,estimates,1952
3_6,male,36203.578,906,estimates,1952
4_5,male,18001.859,906,estimates,1952
4_6,male,26286.629,906,estimates,1952
5_14,male,76084.549,906,estimates,1952
5_10,male,47271.471,906,estimates,1952
5_11,male,54495.485,906,estimates,1952
6_9,male,31251.252,906,estimates,1952
6_10,male,38541.128,906,estimates,1952
6_11,male,45765.142,906,estimates,1952
6_12,male,52959.943,906,estimates,1952
7_10,male,30256.358,906,estimates,1952
7_12,male,44675.173,906,estimates,1952
11_16,male,42927.969,906,estimates,1952
11_17,male,49831.313,906,estimates,1952
11_18,male,56648.24,906,estimates,1952
12_14,male,21589.064,906,estimates,1952
12_16,male,35703.955,906,estimates,1952
12_17,male,42607.299,906,estimates,1952
12_18,male,49424.226,906,estimates,1952
13_17,male,35412.498,906,estimates,1952
13_18,male,42229.425,906,estimates,1952
13_19,male,48930.661,906,estimates,1952
15_17,male,21018.235,906,estimates,1952
18_23,male,38591.782,906,estimates,1952
15_24,male,65418.234,906,estimates,1952
15_49,male,175780.067,906,estimates,1952
15_59,male,203019.427,906,estimates,1952
15_64,male,212553.547,906,estimates,1952
20_64,male,178017.149,906,estimates,1952
20_69,male,184631.203,906,estimates,1952
25_49,male,110361.833,906,estimates,1952
25_64,male,147135.313,906,estimates,1952
25_69,male,153749.367,906,estimates,1952
15plus,male,225538.249,906,estimates,1952
16plus,male,218423.383,906,estimates,1952
17plus,male,211423.358,906,estimates,1952
18plus,male,204520.014,906,estimates,1952
20plus,male,191001.851,906,estimates,1952
21plus,male,184458.264,906,estimates,1952
25plus,male,160120.015,906,estimates,1952
50plus,male,49758.182,906,estimates,1952
60plus,male,22518.822,906,estimates,1952
65plus,male,12984.702,906,estimates,1952
70plus,male,6370.648,906,estimates,1952
75plus,male,2550.963,906,estimates,1952
80plus,male,787.949,906,estimates,1952
85plus,male,150.582,906,estimates,1952
90plus,male,22.114,906,estimates,1952
total,male,357301.075,906,estimates,1952
0,female,12383.862,906,estimates,1953
0_1,female,25102.813,906,estimates,1953
0_4,female,55133.039,906,estimates,1953
