region,year,variant,gender,agebroad,population
931,1955,estimates,male,5_14,15796.939
931,1955,estimates,female,6_9,6643.85
931,1955,estimates,male,6_9,6759.881
931,1955,estimates,female,6_10,8144.995
931,1955,estimates,male,6_10,8285.165
931,1955,estimates,female,6_11,9590.255
931,1955,estimates,male,6_11,9753.303
931,1955,estimates,female,6_12,10988.902
931,1955,estimates,male,6_12,11173.604
931,1955,estimates,female,7_10,6377.657
931,1955,estimates,male,7_10,6485.138
931,1955,estimates,female,7_12,9221.564
931,1955,estimates,male,7_12,9373.577
931,1955,estimates,female,11_16,8150.269
931,1955,estimates,male,11_16,8268.024
931,1955,estimates,female,11_17,9418.504
931,1955,estimates,male,11_17,9551.678
931,1955,estimates,female,11_18,10652.054
931,1955,estimates,male,11_18,10799.495
931,1955,estimates,female,12_14,4099.35
931,1955,estimates,male,12_14,4160.118
931,1955,estimates,female,12_16,6705.009
931,1955,estimates,male,12_16,6799.886
931,1955,estimates,female,12_17,7973.244
931,1955,estimates,male,12_17,8083.54
931,1955,estimates,female,12_18,9206.794
931,1955,estimates,male,12_18,9331.357
931,1955,estimates,female,13_17,6574.597
931,1955,estimates,male,13_17,6663.239
931,1955,estimates,female,13_18,7808.147
931,1955,estimates,male,13_18,7911.056
931,1955,estimates,female,13_19,9001.476
931,1955,estimates,male,13_19,9117.497
931,1955,estimates,female,15plus,39013.035
931,1955,estimates,male,15plus,38478.088
931,1955,estimates,female,15_17,3873.894
931,1955,estimates,male,15_17,3923.422
931,1955,estimates,female,15_24,11791.086
931,1955,estimates,male,15_24,11918.549
931,1955,estimates,female,15_49,30754.808
931,1955,estimates,male,15_49,30922.082
931,1955,estimates,female,15_59,34967.373
931,1955,estimates,male,15_59,35003.796
931,1955,estimates,female,15_64,36446.57
931,1955,estimates,male,15_64,36368.271
931,1955,estimates,female,16plus,37700.331
931,1955,estimates,male,16plus,37147.784
931,1955,estimates,female,17plus,36407.376
931,1955,estimates,male,17plus,35838.32
931,1955,estimates,female,18plus,35139.141
931,1955,estimates,male,18plus,34554.666
931,1955,estimates,female,18_23,6859.526
931,1955,estimates,male,18_23,6929.25
931,1955,estimates,female,20plus,32712.262
931,1955,estimates,male,20plus,32100.408
931,1955,estimates,female,20_64,30145.797
931,1955,estimates,male,20_64,29990.591
931,1955,estimates,female,20_69,31247.752
931,1955,estimates,male,20_69,30951.053
931,1955,estimates,female,21plus,31556.273
931,1955,estimates,male,21plus,30932.378
931,1955,estimates,female,25plus,27221.949
931,1955,estimates,male,25plus,26559.539
931,1955,estimates,female,25_49,18963.722
931,1955,estimates,male,25_49,19003.533
931,1955,estimates,female,25_64,24655.484
931,1955,estimates,male,25_64,24449.722
931,1955,estimates,female,25_69,25757.439
931,1955,estimates,male,25_69,25410.184
931,1955,estimates,female,50plus,8258.227
931,1955,estimates,male,50plus,7556.006
931,1955,estimates,female,60plus,4045.662
931,1955,estimates,male,60plus,3474.292
931,1955,estimates,female,65plus,2566.465
931,1955,estimates,male,65plus,2109.817
931,1955,estimates,female,70plus,1464.51
931,1955,estimates,male,70plus,1149.355
931,1955,estimates,female,75plus,729.573
931,1955,estimates,male,75plus,535.825
931,1955,estimates,female,80plus,293.653
931,1955,estimates,male,80plus,200.364
931,1960,estimates,female,total,74549.933
931,1960,estimates,male,total,74516.06
931,1960,estimates,female,0_1,5075.356
931,1960,estimates,male,0_1,5216.174
931,1960,estimates,female,0_4,12125.115
931,1960,estimates,male,0_4,12422.032
931,1960,estimates,female,0_14,30735.867
931,1960,estimates,male,0_14,31360.973
931,1960,estimates,female,0_17,35035.072
931,1960,estimates,male,0_17,35722.591
931,1960,estimates,female,0_19,37698.901
931,1960,estimates,male,0_19,38419.299
931,1960,estimates,female,0_24,43896.623
931,1960,estimates,male,0_24,44675.314
931,1960,estimates,female,3_4,4623.427
931,1960,estimates,male,3_4,4721.439
931,1960,estimates,female,3_5,6819.194
931,1960,estimates,male,3_5,6959.301
931,1960,estimates,female,3_6,8937.497
931,1960,estimates,male,3_6,9116.308
931,1960,estimates,female,4_5,4468.985
931,1960,estimates,male,4_5,4557.44
931,1960,estimates,female,4_6,6587.288
931,1960,estimates,male,4_6,6714.447
931,1960,estimates,female,5_10,12027.264
931,1960,estimates,male,5_10,12241.884
931,1960,estimates,female,5_11,13773.133
931,1960,estimates,male,5_11,14018.553
931,1960,estimates,female,5_14,18610.752
931,1960,estimates,male,5_14,18938.941
931,1960,estimates,female,6_9,8014.638
931,1960,estimates,male,6_9,8155.825
931,1960,estimates,female,6_10,9831.497
931,1960,estimates,male,6_10,10004.022
931,1960,estimates,female,6_11,11577.366
931,1960,estimates,male,6_11,11780.691
931,1960,estimates,female,6_12,13254.653
931,1960,estimates,male,6_12,13487.757
931,1960,estimates,female,7_10,7713.194
931,1960,estimates,male,7_10,7847.015
931,1960,estimates,female,7_12,11136.35
931,1960,estimates,male,7_12,11330.75
931,1960,estimates,female,11_16,9502.035
931,1960,estimates,male,11_16,9659.257
931,1960,estimates,female,11_17,10882.693
931,1960,estimates,male,11_17,11058.675
931,1960,estimates,female,11_18,12227.809
931,1960,estimates,male,11_18,12420.927
931,1960,estimates,female,12_14,4837.619
931,1960,estimates,male,12_14,4920.388
931,1960,estimates,female,12_16,7756.166
931,1960,estimates,male,12_16,7882.588
931,1960,estimates,female,12_17,9136.824
931,1960,estimates,male,12_17,9282.006
931,1960,estimates,female,12_18,10481.94
931,1960,estimates,male,12_18,10644.258
931,1960,estimates,female,13_17,7459.537
931,1960,estimates,male,13_17,7574.94
931,1960,estimates,female,13_18,8804.653
931,1960,estimates,male,13_18,8937.192
931,1960,estimates,female,13_19,10123.366
931,1960,estimates,male,13_19,10271.648
931,1960,estimates,female,15plus,43814.066
931,1960,estimates,male,15plus,43155.087
931,1960,estimates,female,15_17,4299.205
931,1960,estimates,male,15_17,4361.618
931,1960,estimates,female,15_24,13160.756
931,1960,estimates,male,15_24,13314.341
931,1960,estimates,female,15_49,34238.192
931,1960,estimates,male,15_49,34393.241
931,1960,estimates,female,15_59,39015.305
931,1960,estimates,male,15_59,39048.56
931,1960,estimates,female,15_64,40767.265
931,1960,estimates,male,15_64,40655.333
931,1960,estimates,female,16plus,42325.311
931,1960,estimates,male,16plus,41643.415
931,1960,estimates,female,17plus,40895.519
931,1960,estimates,male,17plus,40192.887
931,1960,estimates,female,18plus,39514.861
931,1960,estimates,male,18plus,38793.469
931,1960,estimates,female,18_23,7689.96
931,1960,estimates,male,18_23,7772.283
931,1960,estimates,female,20plus,36851.032
931,1960,estimates,male,20plus,36096.761
931,1960,estimates,female,20_64,33804.231
931,1960,estimates,male,20_64,33597.007
931,1960,estimates,female,20_69,35082.502
931,1960,estimates,male,20_69,34725.389
931,1960,estimates,female,21plus,35557.145
931,1960,estimates,male,21plus,34788.51
931,1960,estimates,female,25plus,30653.31
931,1960,estimates,male,25plus,29840.746
931,1960,estimates,female,25_49,21077.436
931,1960,estimates,male,25_49,21078.9
931,1960,estimates,female,25_64,27606.509
931,1960,estimates,male,25_64,27340.992
931,1960,estimates,female,25_69,28884.78
931,1960,estimates,male,25_69,28469.374
931,1960,estimates,female,50plus,9575.874
931,1960,estimates,male,50plus,8761.846
931,1960,estimates,female,60plus,4798.761
931,1960,estimates,male,60plus,4106.527
931,1960,estimates,female,65plus,3046.801
931,1960,estimates,male,65plus,2499.754
931,1960,estimates,female,70plus,1768.53
931,1960,estimates,male,70plus,1371.372
931,1960,estimates,female,75plus,885.128
931,1960,estimates,male,75plus,644.975
931,1960,estimates,female,80plus,363.462
931,1960,estimates,male,80plus,243.608
931,1965,estimates,female,total,85454.649
931,1965,estimates,male,total,85356.72
931,1965,estimates,female,0_1,5853.019
931,1965,estimates,male,0_1,6013.449
931,1965,estimates,female,0_4,13834.911
931,1965,estimates,male,0_4,14175.778
931,1965,estimates,female,0_14,35655.744
931,1965,estimates,male,0_14,36374.004
931,1965,estimates,female,0_17,40845.25
931,1965,estimates,male,0_17,41646.426
931,1965,estimates,female,0_19,43966.548
931,1965,estimates,male,0_19,44813.29
931,1965,estimates,female,0_24,50822.863
931,1965,estimates,male,0_24,51743.467
931,1965,estimates,female,3_4,5224.952
931,1965,estimates,male,3_4,5338.498
931,1965,estimates,female,3_5,7709.554
931,1965,estimates,male,3_5,7871.953
931,1965,estimates,female,3_6,10118.024
931,1965,estimates,male,3_6,10325.255
931,1965,estimates,female,4_5,5051.883
931,1965,estimates,male,4_5,5154.525
931,1965,estimates,female,4_6,7460.353
931,1965,estimates,male,4_6,7607.827
931,1965,estimates,female,5_10,13857.782
931,1965,estimates,male,5_10,14104.752
931,1965,estimates,female,5_11,15951.141
931,1965,estimates,male,5_11,16232.652
931,1965,estimates,female,5_14,21820.833
931,1965,estimates,male,5_14,22198.226
931,1965,estimates,female,6_9,9225.053
931,1965,estimates,male,6_9,9387.606
931,1965,estimates,female,6_10,11373.18
931,1965,estimates,male,6_10,11571.297
931,1965,estimates,female,6_11,13466.539
931,1965,estimates,male,6_11,13699.197
931,1965,estimates,female,6_12,15498.56
931,1965,estimates,male,6_12,15764.679
931,1965,estimates,female,7_10,8964.71
931,1965,estimates,male,7_10,9117.995
931,1965,estimates,female,7_12,13090.09
931,1965,estimates,male,7_12,13311.377
931,1965,estimates,female,11_16,11494.567
931,1965,estimates,male,11_16,11681.72
931,1965,estimates,female,11_17,13152.557
931,1965,estimates,male,11_17,13365.896
931,1965,estimates,female,11_18,14744.208
931,1965,estimates,male,11_18,14981.576
931,1965,estimates,female,12_14,5869.692
931,1965,estimates,male,12_14,5965.574
931,1965,estimates,female,12_16,9401.208
931,1965,estimates,male,12_16,9553.82
931,1965,estimates,female,12_17,11059.198
931,1965,estimates,male,12_17,11237.996
931,1965,estimates,female,12_18,12650.849
931,1965,estimates,male,12_18,12853.676
931,1965,estimates,female,13_17,9027.177
931,1965,estimates,male,13_17,9172.514
931,1965,estimates,female,13_18,10618.828
931,1965,estimates,male,13_18,10788.194
931,1965,estimates,female,13_19,12148.475
931,1965,estimates,male,13_19,12339.378
931,1965,estimates,female,15plus,49798.905
931,1965,estimates,male,15plus,48982.716
931,1965,estimates,female,15_17,5189.506
931,1965,estimates,male,15_17,5272.422
931,1965,estimates,female,15_24,15167.119
931,1965,estimates,male,15_24,15369.463
931,1965,estimates,female,15_49,38700.072
931,1965,estimates,male,15_49,38887.335
