country,variant,year,dependencyratio2069
316,estimates,1950,66.3923679879494
316,estimates,1955,79.1187739463602
316,estimates,1960,94.0483805314881
316,estimates,1965,95.3911635679967
316,estimates,1970,96.5231245021321
316,estimates,1975,91.4364810827438
316,estimates,1980,85.673020344846
316,estimates,1985,76.9708378242983
316,estimates,1990,69.6929499434279
316,estimates,1995,70.7612355266708
316,estimates,2000,71.4077621690816
316,estimates,2005,72.0889555222389
316,estimates,2010,70.0203674675027
316,constantfertility,2015,65.230457998191
316,constantmortality,2015,65.230457998191
316,estimates,2015,65.230457998191
316,highvariant,2015,65.230457998191
316,instantreplacement,2015,65.230457998191
316,lowvariant,2015,65.230457998191
316,mediumvariant,2015,65.230457998191
316,nochange,2015,65.230457998191
316,zeromigration,2015,65.230457998191
316,constantfertility,2020,63.6315970276085
316,constantmortality,2020,62.9002463054187
316,highvariant,2020,64.4931204686398
316,instantreplacement,2020,61.7431159485798
316,lowvariant,2020,61.6292104359146
316,mediumvariant,2020,63.0611654522772
316,nochange,2020,63.4707331208345
316,zeromigration,2020,63.0611654522772
316,constantfertility,2025,64.064723374886
316,constantmortality,2025,61.8849968763104
316,highvariant,2025,66.062831775462
316,instantreplacement,2025,60.3922938625267
316,lowvariant,2025,58.8031799320047
316,mediumvariant,2025,62.4330058537334
316,nochange,2025,63.518729300208
316,zeromigration,2025,62.4330058537334
316,constantfertility,2030,66.6811010433603
316,constantmortality,2030,62.3708496958021
316,highvariant,2030,69.8700089057381
316,instantreplacement,2030,61.2788313057119
316,lowvariant,2030,57.2900410971216
316,mediumvariant,2030,63.5804335215249
316,nochange,2030,65.4869223739781
316,zeromigration,2030,63.5804335215249
316,constantfertility,2035,70.9957364217761
316,constantmortality,2035,63.8048694226302
316,highvariant,2035,75.0023863310955
316,instantreplacement,2035,63.7882210697127
316,lowvariant,2035,57.1319482007064
316,mediumvariant,2035,66.052849279328
316,nochange,2035,68.778786100684
316,zeromigration,2035,66.052849279328
316,constantfertility,2040,73.4149456772645
316,constantmortality,2040,63.5971234293235
316,highvariant,2040,76.7005568583716
316,instantreplacement,2040,66.8840562710645
316,lowvariant,2040,57.4482407733553
316,mediumvariant,2040,67.1011937898188
316,nochange,2040,69.9730273312649
316,zeromigration,2040,67.1011937898188
316,constantfertility,2045,74.2631929538894
316,constantmortality,2045,62.1371810319845
316,highvariant,2045,76.3114241229283
316,instantreplacement,2045,68.0745503054025
316,lowvariant,2045,57.5696006203955
316,mediumvariant,2045,66.9657202060091
316,nochange,2045,69.5666228152603
316,zeromigration,2045,66.9657202060091
