country,variant,year,dependencyratio2069
31,Estimates,1950,92.1052998165844
31,Estimates,1955,91.5176981040644
31,Estimates,1960,97.3384871635202
31,Estimates,1965,120.548124640326
31,Estimates,1970,132.36651566451
31,Estimates,1975,126.299270244157
31,Estimates,1980,104.946929498341
31,Estimates,1985,88.8223969082738
31,Estimates,1990,86.7470827330767
31,Estimates,1995,82.0128580971627
31,Estimates,2000,78.3468840701819
31,Estimates,2005,69.0327053115018
31,Estimates,2010,59.0112841675146
31,Constant_fertility,2015,50.2137557689417
31,Constant_mortality,2015,50.2137557689417
31,Estimates,2015,50.2137557689417
31,High_variant,2015,50.2137557689417
31,Instant_replacement,2015,50.2137557689417
31,Low_variant,2015,50.2137557689417
31,Medium_variant,2015,50.2137557689417
31,No_change,2015,50.2137557689417
31,Zero_migration,2015,50.2137557689417
31,Constant_fertility,2020,49.3353380618778
31,Constant_mortality,2020,48.7060287648003
31,High_variant,2020,50.1804183054959
31,Instant_replacement,2020,48.7838924419555
31,Low_variant,2020,47.3494801143276
31,Medium_variant,2020,48.7649346828934
31,No_change,2020,49.2753420960027
31,Zero_migration,2020,48.7019758709649
31,Constant_fertility,2025,54.5869431670166
31,Constant_mortality,2025,52.96140422314
31,High_variant,2025,56.5125540104781
31,Instant_replacement,2025,53.4515524976983
31,Low_variant,2025,49.7711083888786
31,Medium_variant,2025,53.1418239399616
31,No_change,2025,54.4010092490256
31,Zero_migration,2025,52.9566622869382
31,Constant_fertility,2030,58.9043778682473
31,Constant_mortality,2030,56.1606398050537
31,High_variant,2030,62.1860606774357
31,Instant_replacement,2030,57.3035954269446
31,Low_variant,2030,50.8983204276342
31,Medium_variant,2030,56.5421832558203
31,No_change,2030,58.5114005308387
31,Zero_migration,2030,56.2370913429326
31,Constant_fertility,2035,59.2451741434576
31,Constant_mortality,2035,55.0595666540866
31,High_variant,2035,63.8291962563296
31,Instant_replacement,2035,57.1765686885245
31,Low_variant,2035,47.8468758796555
31,Medium_variant,2035,55.8098081823709
31,No_change,2035,58.4871728474104
31,Zero_migration,2035,55.4525839992708
31,Constant_fertility,2040,57.7102540709932
31,Constant_mortality,2040,52.4121297796391
31,High_variant,2040,62.2396764146424
31,Instant_replacement,2040,55.6571745024478
31,Low_variant,2040,44.9278101501024
31,Medium_variant,2040,53.5520514277029
31,No_change,2040,56.6144498296881
31,Zero_migration,2040,53.1489846740955
31,Constant_fertility,2045,58.6385559705319
31,Constant_mortality,2045,52.1325533740026
31,High_variant,2045,63.0199240123556
31,Instant_replacement,2045,56.3597487865792
31,Low_variant,2045,44.6300416222124
31,Medium_variant,2045,53.7195700819085
31,No_change,2045,57.2203872575324
31,Zero_migration,2045,53.2005721492275
31,Constant_fertility,2050,60.3341714247273
31,Constant_mortality,2050,52.5264950388767
31,High_variant,2050,64.5047095527279
31,Instant_replacement,2050,57.6431224185401
31,Low_variant,2050,45.0925167347301
31,Medium_variant,2050,54.5397672528692
31,No_change,2050,58.6781937824408
31,Zero_migration,2050,53.8923578550366
31,Constant_fertility,2055,64.5328948524167
31,Constant_mortality,2055,55.4124060904345
31,High_variant,2055,68.6221392652251
31,Instant_replacement,2055,61.563193025489
31,Low_variant,2055,48.3986489326169
31,Medium_variant,2055,58.0504492093715
31,No_change,2055,62.5051354645296
31,Zero_migration,2055,57.2039685650929
31,Constant_fertility,2060,68.1414231224201
31,Constant_mortality,2060,58.1091937134327
31,High_variant,2060,72.0182653990464
31,Instant_replacement,2060,65.387261226095
31,Low_variant,2060,52.5203994833181
31,Medium_variant,2060,61.612901285708
31,No_change,2060,65.5410516954851
31,Zero_migration,2060,60.5880808087812
31,Constant_fertility,2065,69.8648878690006
31,Constant_mortality,2065,59.1164143804944
31,High_variant,2065,73.2212173849133
31,Instant_replacement,2065,67.5501272455972
31,Low_variant,2065,55.7946745612588
31,Medium_variant,2065,63.6475543927204
31,No_change,2065,66.5671210959449
31,Zero_migration,2065,62.558283604043
31,Constant_fertility,2070,68.2817619082663
31,Constant_mortality,2070,56.8666497119165
31,High_variant,2070,71.0103333349642
31,Instant_replacement,2070,66.1828344458974
31,Low_variant,2070,55.4850867773154
31,Medium_variant,2070,62.1755427085395
31,No_change,2070,64.5718387536297
31,Zero_migration,2070,61.2566168070526
31,Constant_fertility,2075,65.3405397783889
31,Constant_mortality,2075,53.5709900914605
31,High_variant,2075,67.5906309417759
31,Instant_replacement,2075,63.2589237933117
31,Low_variant,2075,53.4138563908188
31,Medium_variant,2075,59.2042144573288
31,No_change,2075,61.6686447799714
31,Zero_migration,2075,58.5517935231419
31,Constant_fertility,2080,63.2448439263426
31,Constant_mortality,2080,51.7878903019016
31,High_variant,2080,65.2162764521102
31,Instant_replacement,2080,61.4137576184779
31,Low_variant,2080,52.9892343693804
31,Medium_variant,2080,57.4679026313702
31,No_change,2080,59.8517638247074
31,Zero_migration,2080,56.9885557649983
31,Constant_fertility,2085,66.3524407127109
31,Constant_mortality,2085,55.6293969827579
31,High_variant,2085,67.5241692073439
31,Instant_replacement,2085,65.3636160465515
31,Low_variant,2085,62.0548173741856
31,Medium_variant,2085,62.0952003200338
31,No_change,2085,62.5680744241201
31,Zero_migration,2085,61.4164908268458
31,Constant_fertility,2090,69.0167708595664
31,Constant_mortality,2090,58.1674231320891
31,High_variant,2090,69.9643573165977
31,Instant_replacement,2090,68.1740339467019
31,Low_variant,2090,68.5399933482011
31,Medium_variant,2090,65.8269725353471
31,No_change,2090,64.4065030766508
31,Zero_migration,2090,65.0064494672954
31,Constant_fertility,2095,69.7077609230704
31,Constant_mortality,2095,57.8908214602517
31,High_variant,2095,70.5047242170448
31,Instant_replacement,2095,68.6587058761511
31,Low_variant,2095,70.3634725483658
31,Medium_variant,2095,66.8080813050463
31,No_change,2095,64.1664680971735
31,Zero_migration,2095,66.0382871739174
31,Constant_fertility,2100,69.083265564154
31,Constant_mortality,2100,56.3927276295911
31,High_variant,2100,70.0113337821859
31,Instant_replacement,2100,67.9464541168614
31,Low_variant,2100,69.4816111861848
31,Medium_variant,2100,66.3161232262401
31,No_change,2100,62.837257965044
31,Zero_migration,2100,65.6964571909491
