variant,continent,year,noofbirth
estimates,903,1950,11203.897
estimates,903,1951,11309.725
estimates,903,1952,11526.679
estimates,903,1953,11754.225
estimates,903,1954,11992.367
estimates,903,1955,12241.022
estimates,903,1956,12499.907
estimates,903,1957,12768.728
estimates,903,1958,13046.876
estimates,903,1959,13333.222
estimates,903,1960,13626.586
estimates,903,1961,13925.907
estimates,903,1962,14230.43
estimates,903,1963,14540.245
estimates,903,1964,14856.483
estimates,903,1965,15181.258
estimates,903,1966,15517.238
estimates,903,1967,15867.104
estimates,903,1968,16233.002
estimates,903,1969,16616.078
estimates,903,1970,17017.212
estimates,903,1971,17436.424
estimates,903,1972,17871.872
estimates,903,1973,18321.469
estimates,903,1974,18783.744
estimates,903,1975,19258.264
estimates,903,1976,19745.144
estimates,903,1977,20243.18
estimates,903,1978,20749.958
estimates,903,1979,21262.198
estimates,903,1980,21776.674
estimates,903,1981,22290.583
estimates,903,1982,22801.281
estimates,903,1983,23305.84
estimates,903,1984,23801.233
estimates,903,1985,24282.809
estimates,903,1986,24746.372
estimates,903,1987,25192.585
estimates,903,1988,25624.339
estimates,903,1989,26045.351
estimates,903,1990,26460.617
estimates,903,1991,26875.911
estimates,903,1992,27298.206
estimates,903,1993,27734.319
estimates,903,1994,28189.602
estimates,903,1995,28668.249
estimates,903,1996,29172.162
estimates,903,1997,29699.576
estimates,903,1998,30248.96
estimates,903,1999,30820.571
estimates,903,2000,31414.647
estimates,903,2001,32031.009
estimates,903,2002,32668.088
estimates,903,2003,33323.941
estimates,903,2004,33996.87
estimates,903,2005,34689.845
estimates,903,2006,35407.519
estimates,903,2007,36148.443
estimates,903,2008,36906.109
estimates,903,2009,37670.372
estimates,903,2010,38424.565
estimates,903,2011,39150.286
estimates,903,2012,39835.447
estimates,903,2013,40473.223
estimates,903,2014,41062.247
estimates,903,2015,41606.836
medium_variant,903,2015,41606.836
medium_variant,903,2016,42117.217
medium_variant,903,2017,42610.724
medium_variant,903,2018,43102.792
medium_variant,903,2019,43601.954
medium_variant,903,2020,44114.034
medium_variant,903,2021,44640.659
medium_variant,903,2022,45177.727
medium_variant,903,2023,45722.145
medium_variant,903,2024,46274.506
medium_variant,903,2025,46835.94
medium_variant,903,2026,47407.387
medium_variant,903,2027,47987.91
medium_variant,903,2028,48575.686
medium_variant,903,2029,49168.69
medium_variant,903,2030,49765.19
medium_variant,903,2031,50363.626
medium_variant,903,2032,50961.469
medium_variant,903,2033,51555.505
medium_variant,903,2034,52142.359
medium_variant,903,2035,52718.991
medium_variant,903,2036,53283.23
medium_variant,903,2037,53834.05
medium_variant,903,2038,54370.237
medium_variant,903,2039,54890.018
medium_variant,903,2040,55391.887
medium_variant,903,2041,55875.086
medium_variant,903,2042,56340.417
medium_variant,903,2043,56788.773
medium_variant,903,2044,57220.559
medium_variant,903,2045,57636.207
medium_variant,903,2046,58036.233
medium_variant,903,2047,58421.655
medium_variant,903,2048,58793.678
medium_variant,903,2049,59153.377
medium_variant,903,2050,59501.316
medium_variant,903,2051,59837.669
medium_variant,903,2052,60162.749
medium_variant,903,2053,60477.381
medium_variant,903,2054,60782.87
medium_variant,903,2055,61081.042
medium_variant,903,2056,61373.7
medium_variant,903,2057,61661.643
medium_variant,903,2058,61945.215
medium_variant,903,2059,62224.368
medium_variant,903,2060,62498.762
medium_variant,903,2061,62767.602
medium_variant,903,2062,63029.052
medium_variant,903,2063,63281.206
medium_variant,903,2064,63522.641
medium_variant,903,2065,63752.019
medium_variant,903,2066,63968.402
medium_variant,903,2067,64171.56
medium_variant,903,2068,64361.246
medium_variant,903,2069,64536.99
medium_variant,903,2070,64698.465
medium_variant,903,2071,64845.626
medium_variant,903,2072,64979.039
medium_variant,903,2073,65099.29
medium_variant,903,2074,65206.733
medium_variant,903,2075,65301.516
medium_variant,903,2076,65383.689
medium_variant,903,2077,65453.552
medium_variant,903,2078,65511.641
medium_variant,903,2079,65558.69
medium_variant,903,2080,65595.476
medium_variant,903,2081,65622.7
medium_variant,903,2082,65640.878
medium_variant,903,2083,65650.467
medium_variant,903,2084,65651.888
medium_variant,903,2085,65645.319
medium_variant,903,2086,65630.617
medium_variant,903,2087,65607.418
medium_variant,903,2088,65575.5
medium_variant,903,2089,65534.941
medium_variant,903,2090,65485.888
medium_variant,903,2091,65428.531
medium_variant,903,2092,65363.038
medium_variant,903,2093,65289.561
medium_variant,903,2094,65208.237
medium_variant,903,2095,65119.14
medium_variant,903,2096,65022.318
medium_variant,903,2097,64917.79
medium_variant,903,2098,64805.564
medium_variant,903,2099,64685.639
