variant,continent,year,noofbirth
estimates,909,1950,347.356
estimates,909,1951,353.151
estimates,909,1952,364.341
estimates,909,1953,374.72
estimates,909,1954,384.283
estimates,909,1955,393.034
estimates,909,1956,400.977
estimates,909,1957,408.135
estimates,909,1958,414.54
estimates,909,1959,420.252
estimates,909,1960,425.332
estimates,909,1961,429.894
estimates,909,1962,434.064
estimates,909,1963,438.007
estimates,909,1964,441.894
estimates,909,1965,446.088
estimates,909,1966,450.956
estimates,909,1967,456.538
estimates,909,1968,462.685
estimates,909,1969,469.085
estimates,909,1970,474.997
estimates,909,1971,479.479
estimates,909,1972,481.959
estimates,909,1973,482.261
estimates,909,1974,480.599
estimates,909,1975,477.679
estimates,909,1976,474.516
estimates,909,1977,472.211
estimates,909,1978,471.584
estimates,909,1979,472.958
estimates,909,1980,476.323
estimates,909,1981,481.306
estimates,909,1982,487.12
estimates,909,1983,493.114
estimates,909,1984,499.045
estimates,909,1985,504.852
estimates,909,1986,510.665
estimates,909,1987,516.692
estimates,909,1988,523.002
estimates,909,1989,529.465
estimates,909,1990,535.806
estimates,909,1991,541.7
estimates,909,1992,546.916
estimates,909,1993,551.326
estimates,909,1994,554.916
estimates,909,1995,557.658
estimates,909,1996,559.586
estimates,909,1997,561.025
estimates,909,1998,562.4
estimates,909,1999,564.098
estimates,909,2000,566.809
estimates,909,2001,571.252
estimates,909,2002,577.656
estimates,909,2003,585.966
estimates,909,2004,595.903
estimates,909,2005,606.806
estimates,909,2006,617.753
estimates,909,2007,627.84
estimates,909,2008,636.4
estimates,909,2009,643.175
estimates,909,2010,648.201
estimates,909,2011,651.847
estimates,909,2012,654.834
estimates,909,2013,657.749
estimates,909,2014,660.81
estimates,909,2015,664.136
medium_variant,909,2015,664.136
medium_variant,909,2016,667.694
medium_variant,909,2017,671.255
medium_variant,909,2018,674.649
medium_variant,909,2019,677.839
medium_variant,909,2020,680.788
medium_variant,909,2021,683.456
medium_variant,909,2022,685.872
medium_variant,909,2023,688.065
medium_variant,909,2024,690.078
medium_variant,909,2025,691.944
medium_variant,909,2026,693.694
medium_variant,909,2027,695.386
medium_variant,909,2028,697.101
medium_variant,909,2029,698.908
medium_variant,909,2030,700.883
medium_variant,909,2031,703.098
medium_variant,909,2032,705.577
medium_variant,909,2033,708.324
medium_variant,909,2034,711.352
medium_variant,909,2035,714.673
medium_variant,909,2036,718.283
medium_variant,909,2037,722.127
medium_variant,909,2038,726.123
medium_variant,909,2039,730.21
medium_variant,909,2040,734.326
medium_variant,909,2041,738.417
medium_variant,909,2042,742.435
medium_variant,909,2043,746.323
medium_variant,909,2044,750.027
medium_variant,909,2045,753.495
medium_variant,909,2046,756.701
medium_variant,909,2047,759.64
medium_variant,909,2048,762.328
medium_variant,909,2049,764.747
medium_variant,909,2050,766.886
medium_variant,909,2051,768.735
medium_variant,909,2052,770.316
medium_variant,909,2053,771.653
medium_variant,909,2054,772.78
medium_variant,909,2055,773.715
medium_variant,909,2056,774.475
medium_variant,909,2057,775.091
medium_variant,909,2058,775.597
medium_variant,909,2059,776.036
medium_variant,909,2060,776.439
medium_variant,909,2061,776.838
medium_variant,909,2062,777.247
medium_variant,909,2063,777.675
medium_variant,909,2064,778.139
medium_variant,909,2065,778.662
medium_variant,909,2066,779.259
medium_variant,909,2067,779.91
medium_variant,909,2068,780.604
medium_variant,909,2069,781.322
medium_variant,909,2070,782.056
medium_variant,909,2071,782.79
medium_variant,909,2072,783.504
medium_variant,909,2073,784.176
medium_variant,909,2074,784.778
medium_variant,909,2075,785.296
medium_variant,909,2076,785.71
medium_variant,909,2077,786.018
medium_variant,909,2078,786.212
medium_variant,909,2079,786.274
medium_variant,909,2080,786.191
medium_variant,909,2081,785.941
medium_variant,909,2082,785.529
medium_variant,909,2083,784.962
medium_variant,909,2084,784.251
medium_variant,909,2085,783.398
medium_variant,909,2086,782.416
medium_variant,909,2087,781.329
medium_variant,909,2088,780.159
medium_variant,909,2089,778.932
medium_variant,909,2090,777.659
medium_variant,909,2091,776.372
medium_variant,909,2092,775.065
medium_variant,909,2093,773.753
medium_variant,909,2094,772.437
medium_variant,909,2095,771.116
medium_variant,909,2096,769.805
medium_variant,909,2097,768.49
medium_variant,909,2098,767.179
medium_variant,909,2099,765.874
