region,variant,freq,year,under40mortalityper1000livebirth
931,estimates,5yearly,1950,296.678341345238
931,estimates,5yearly,1955,267.244414952164
931,estimates,5yearly,1960,238.167139460207
931,estimates,5yearly,1965,211.149671190835
931,estimates,5yearly,1970,183.66226693015
931,estimates,5yearly,1975,162.134254002864
931,estimates,5yearly,1980,140.396715149768
931,estimates,5yearly,1985,122.463420218598
931,estimates,5yearly,1990,108.554362467331
931,estimates,5yearly,1995,96.9349544786159
931,estimates,5yearly,2000,84.2737142908819
931,estimates,5yearly,2005,72.7807803383527
931,estimates,5yearly,2010,66.7064547168634
931,medium_variant,5yearly,2015,60.6534937613006
931,medium_variant,5yearly,2020,54.3916330787398
931,medium_variant,5yearly,2025,48.7369394954583
931,medium_variant,5yearly,2030,43.5441313503505
931,medium_variant,5yearly,2035,38.8177854953005
931,medium_variant,5yearly,2040,34.5132779373114
931,medium_variant,5yearly,2045,30.6460960059874
931,medium_variant,5yearly,2050,27.3342215486809
931,medium_variant,5yearly,2055,24.4618382932081
931,medium_variant,5yearly,2060,21.9562461267138
931,medium_variant,5yearly,2065,19.7901649076288
931,medium_variant,5yearly,2070,17.86729723487
931,medium_variant,5yearly,2075,16.1484755266573
931,medium_variant,5yearly,2080,14.6101647798378
931,medium_variant,5yearly,2085,13.2259900365076
931,medium_variant,5yearly,2090,11.9830188700694
931,medium_variant,5yearly,2095,10.8315630579332
931,estimates,5yearly,Regi,South America
931,medium_variant,5yearly,Regi,South America
