country,variant,freq,year,lifeexpectancyat15
860,estimates,5yearly,1950,52.813944
860,estimates,5yearly,1955,53.956662
860,estimates,5yearly,1960,55.071998
860,estimates,5yearly,1965,56.17694
860,estimates,5yearly,1970,56.806848
860,estimates,5yearly,1975,57.23886
860,estimates,5yearly,1980,57.825126
860,estimates,5yearly,1985,58.177288
860,estimates,5yearly,1990,56.957602
860,estimates,5yearly,1995,57.007749
860,estimates,5yearly,2000,57.258237
860,estimates,5yearly,2005,57.817603
860,estimates,5yearly,2010,58.685596
860,medium_variant,5yearly,2015,59.02272
860,medium_variant,5yearly,2020,59.370076
860,medium_variant,5yearly,2025,59.742806
860,medium_variant,5yearly,2030,60.181639
860,medium_variant,5yearly,2035,60.631754
860,medium_variant,5yearly,2040,61.105332
860,medium_variant,5yearly,2045,61.585452
860,medium_variant,5yearly,2050,62.081748
860,medium_variant,5yearly,2055,62.604996
860,medium_variant,5yearly,2060,63.145904
860,medium_variant,5yearly,2065,63.748327
860,medium_variant,5yearly,2070,64.359687
860,medium_variant,5yearly,2075,64.999806
860,medium_variant,5yearly,2080,65.662053
860,medium_variant,5yearly,2085,66.328454
860,medium_variant,5yearly,2090,67.01415
860,medium_variant,5yearly,2095,67.685581
