country,variant,freq,year,lifeexpectancyat15
670,estimates,5Yearly,1950,48.2460984641371
670,estimates,5Yearly,1955,53.8548613296812
670,estimates,5Yearly,1960,56.3263663180537
670,estimates,5Yearly,1965,56.0718550243359
670,estimates,5Yearly,1970,55.7230051133174
670,estimates,5Yearly,1975,55.2761600700095
670,estimates,5Yearly,1980,56.8594134859192
670,estimates,5Yearly,1985,57.4437910275752
670,estimates,5Yearly,1990,57.8143618457804
670,estimates,5Yearly,1995,57.8245069510781
670,estimates,5Yearly,2000,57.9410641194213
670,estimates,5Yearly,2005,58.8385099141294
670,estimates,5Yearly,2010,59.5360310940118
670,medium variant,5Yearly,2015,59.9636867435287
670,medium variant,5Yearly,2020,60.3766877634151
670,medium variant,5Yearly,2025,60.8149636784558
670,medium variant,5Yearly,2030,61.2885461159355
670,medium variant,5Yearly,2035,61.7234164210489
670,medium variant,5Yearly,2040,62.228515705852
670,medium variant,5Yearly,2045,62.7380202423142
670,medium variant,5Yearly,2050,63.3005437140961
670,medium variant,5Yearly,2055,63.8728245157447
670,medium variant,5Yearly,2060,64.4249066663114
670,medium variant,5Yearly,2065,65.0099823035397
670,medium variant,5Yearly,2070,65.6298778635682
670,medium variant,5Yearly,2075,66.2120796706918
670,medium variant,5Yearly,2080,66.8400105714144
670,medium variant,5Yearly,2085,67.4623897150809
670,medium variant,5Yearly,2090,68.1064548827195
670,medium variant,5Yearly,2095,68.7175310188608
