country,variant,freq,year,lifeexpectancyat15
356,estimates,5yearly,1950,38.88427
356,estimates,5yearly,1955,41.100929
356,estimates,5yearly,1960,43.583094
356,estimates,5yearly,1965,46.281651
356,estimates,5yearly,1970,48.77444
356,estimates,5yearly,1975,50.495971
356,estimates,5yearly,1980,51.294697
356,estimates,5yearly,1985,51.743863
356,estimates,5yearly,1990,52.996787
356,estimates,5yearly,1995,54.184656
356,estimates,5yearly,2000,54.905624
356,estimates,5yearly,2005,55.770224
356,estimates,5yearly,2010,56.810476
356,medium_variant,5yearly,2015,57.534036
356,medium_variant,5yearly,2020,58.145495
356,medium_variant,5yearly,2025,58.692285
356,medium_variant,5yearly,2030,59.226305
356,medium_variant,5yearly,2035,59.737816
356,medium_variant,5yearly,2040,60.295509
356,medium_variant,5yearly,2045,60.853388
356,medium_variant,5yearly,2050,61.420932
356,medium_variant,5yearly,2055,61.989024
356,medium_variant,5yearly,2060,62.580508
356,medium_variant,5yearly,2065,63.16443
356,medium_variant,5yearly,2070,63.798153
356,medium_variant,5yearly,2075,64.441584
356,medium_variant,5yearly,2080,65.092845
356,medium_variant,5yearly,2085,65.775816
356,medium_variant,5yearly,2090,66.445713
356,medium_variant,5yearly,2095,67.149125
